ID,Date (GMT),Time (24hr),Duration (hrs),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),CFluidTemp,DilaFDBK (mL),ISCO Volume (V),DnStream Flow (SCCM),Schu DIA 01,Schu DIA 02
1,2015-07-09T18:53:04.000,12:53:04 PM,72.3996,-1.02832,-1.07642,-29008.1,-0.0996732,-0.615336,21.3,21.6,21.5,21.6,21.7,21.2,68.9902,507.213,1.93931,0.518274,-0.483209
2,2015-07-09T18:53:14.000,12:53:14 PM,72.4022,-1.02832,-1.07642,-29008.1,-0.0996732,-0.614959,21.2,21.7,21.5,21.6,21.7,21.2,68.9902,507.213,1.93931,0.518274,-0.483209
3,2015-07-09T18:53:24.000,12:53:24 PM,72.4051,-1.02832,-1.07642,-29008.1,-0.0996732,-0.614393,21.1,21.7,21.5,21.6,21.7,21.2,68.9902,507.213,1.93931,0.518274,-0.483209
4,2015-07-09T18:53:33.000,12:53:33 PM,72.4077,-1.02832,-1.07642,-29008.1,-0.0996732,-0.614204,21.2,21.6,21.4,21.7,21.8,21.2,68.9902,507.213,1.85121,0.518274,-0.483209
5,2015-07-09T18:53:43.000,12:53:44 PM,0.00258972,-1.02832,-1.07642,-29008.1,-0.0996732,-0.614204,21.3,21.6,21.4,21.7,21.8,21.2,68.9902,507.213,1.93931,0.518274,-0.483209
6,2015-07-09T18:53:53.000,12:53:54 PM,0.00530639,-1.02832,-1.07642,-29008.1,-0.0996732,-0.614204,21.3,21.6,21.4,21.7,21.8,21.2,68.9902,507.213,1.93931,0.518274,-0.483209
7,2015-07-09T18:54:03.000,12:54:04 PM,0.00799861,-0.10498,-1.07642,-29008.1,-0.0996732,-0.614204,21.2,21.6,21.4,21.7,21.7,21.2,68.9902,507.213,1.85121,0.518274,-0.483209
8,2015-07-09T18:54:13.000,12:54:14 PM,0.0108942,-0.10498,-1.07642,-29008.1,-0.0996732,-0.61477,21.3,21.6,21.4,21.6,21.7,21.2,68.9902,507.213,1.85121,0.518274,-0.483209
9,2015-07-09T19:17:55.000,1:17:56 PM,0.404443,-0.10498,-0.153076,-29008.1,-0.0996732,-0.614393,21.6,21.6,21.6,21.7,21.7,22,69.0019,507.213,1.85121,-0.47808,-0.465846
10,2015-07-09T19:18:05.000,1:18:06 PM,0.407088,-0.10498,-1.07642,-29008.1,-0.0996732,-0.614204,21.4,21.6,21.6,21.6,21.7,22,69.0019,507.213,1.85121,-0.47808,-0.465846
11,2015-07-09T19:18:15.000,1:18:16 PM,0.40999,-0.10498,-1.07642,-29008.1,-0.0996732,-0.614204,21.5,21.4,21.6,21.7,21.7,22,69.0019,507.213,1.93931,-0.47808,-0.465846
