Analysis by Brandon Lampe, performed on: 2016/08/19 14:20:56
Experimental results below begin at: 2016/08/11 14:48:51
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
8.856000e+04,1.025000e+00,0.000000e+00,0.000000e+00,8.220726e-01,8.216380e-01,-5.287844e-04,3.319129e-06,2.997069e+01,1.962952e+01,1.034117e+01,3.220891e+01,1.704750e+02
8.857000e+04,1.025116e+00,1.000066e+01,1.157483e-04,8.221233e-01,8.216653e-01,-4.955910e-04,3.315386e-06,2.996458e+01,1.963562e+01,1.032896e+01,3.219939e+01,1.704000e+02
8.858000e+04,1.025231e+00,2.000131e+01,2.314967e-04,8.222256e-01,8.216925e-01,-4.624724e-04,3.307918e-06,2.995852e+01,1.964169e+01,1.031683e+01,3.218913e+01,1.703821e+02
8.859000e+04,1.025347e+00,3.000197e+01,3.472450e-04,8.222435e-01,8.217196e-01,-4.294283e-04,3.300484e-06,2.995422e+01,1.964690e+01,1.030733e+01,3.218251e+01,1.703000e+02
8.860000e+04,1.025463e+00,4.000262e+01,4.629933e-04,8.223306e-01,8.217467e-01,-3.964584e-04,3.293083e-06,2.996115e+01,1.964765e+01,1.031350e+01,3.218944e+01,1.702882e+02
8.861000e+04,1.025579e+00,5.000328e+01,5.787416e-04,8.221795e-01,8.217738e-01,-3.635623e-04,3.285715e-06,2.997119e+01,1.965432e+01,1.031687e+01,3.220252e+01,1.702000e+02
8.862000e+04,1.025694e+00,6.000393e+01,6.944900e-04,8.221752e-01,8.218007e-01,-3.307398e-04,3.278380e-06,2.996312e+01,1.965959e+01,1.030354e+01,3.219163e+01,1.701777e+02
8.863000e+04,1.025810e+00,7.000459e+01,8.102383e-04,8.222756e-01,8.218277e-01,-2.979904e-04,3.271078e-06,2.995331e+01,1.966278e+01,1.029053e+01,3.217748e+01,1.700748e+02
8.864001e+04,1.025926e+00,8.000525e+01,9.259866e-04,8.222723e-01,8.218545e-01,-2.653139e-04,3.263808e-06,2.995604e+01,1.967820e+01,1.027784e+01,3.217752e+01,1.700000e+02
8.865001e+04,1.026042e+00,9.000590e+01,1.041735e-03,8.222691e-01,8.218813e-01,-2.327100e-04,3.256570e-06,2.997280e+01,1.970425e+01,1.026855e+01,3.219232e+01,1.699819e+02
