ID,Date (GMT),Time (24hr),Duration (hrs),Step Int (hrs),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),DilaFBK (in),ISCO Volume (V),DnStream Flow (SCCM),DwnStream Temp (C)
1,2014-11-18T15:38:23.000,8:38:23 AM,0,,205.149,16.1577,1786.66,-0.000325978,-0.000549495,51.3,49.8,50.7,24.1,0,1.55487,,-0.0458307,
2,2014-11-18T15:38:24.000,8:38:24 AM,0,,205.149,16.1577,1786.66,-0.000325978,-0.000549495,51.3,49.9,50.7,24.3,0,1.55487,,-0.0458307,
3,2014-11-18T15:38:25.000,8:38:25 AM,0,,205.149,16.1577,1786.66,-0.000325978,-0.000549495,51.3,49.9,50.7,24.3,0,1.55487,,-0.0458307,
4,2014-11-18T15:38:26.000,8:38:26 AM,0,,205.149,16.1577,1786.66,-0.000325978,-0.000549495,51.2,49.7,50.6,24.1,0,1.55487,,-0.0458307,
5,2014-11-18T15:38:27.000,8:38:27 AM,0,,205.149,17.0811,1786.66,-0.000325978,-0.000549495,51.2,49.8,50.6,24.3,0,1.55487,,-0.0458307,
6,2014-11-18T15:38:28.000,8:38:28 AM,0,,205.149,16.1577,1776.09,-0.000325978,-0.000549495,51.2,50,50.7,24.1,0,1.55487,,-0.0458307,
7,2014-11-18T15:38:29.000,8:38:29 AM,0,,205.149,16.1577,1776.09,-0.000325978,-0.000549495,51.2,49.9,50.6,24.3,0,1.55487,,-0.0458307,
8,2014-11-18T15:38:30.000,8:38:30 AM,0,,205.149,16.1577,1786.66,-0.000325978,-0.000549495,51.2,50,50.7,24.3,0,1.55487,,-0.0458307,
9,2014-11-18T15:38:31.000,8:38:31 AM,0,,205.149,16.1577,1786.66,-0.000307523,-0.000549495,51.2,50,50.6,24.1,0,1.55487,,-0.0458307,
10,2014-11-18T15:38:32.000,8:38:32 AM,0,,205.149,16.1577,1786.66,-0.000325978,-0.000549495,51.2,50.1,50.6,24.3,0,1.55487,,-0.0458307,
11,2014-11-18T15:38:33.000,8:38:33 AM,0,,205.149,16.1577,1786.66,-0.000325978,-0.000549495,51.2,50.2,50.7,24.3,0,1.55487,,-0.0458307,
12,2014-11-18T15:38:34.000,8:38:34 AM,0,,205.149,16.1577,1786.66,-0.000307523,-0.000549495,51.2,50.1,50.6,24.3,0,1.55487,,-0.0458307,
13,2014-11-18T15:38:35.000,8:38:35 AM,0,,205.149,16.1577,1786.66,-0.000307523,-0.000549495,51.2,50.1,50.7,24.3,0,1.55487,,-0.0458307,
14,2014-11-18T15:38:36.000,8:38:36 AM,0,,205.149,16.1577,1786.66,-0.000307523,-0.000549495,51.2,50.2,50.6,24.1,0,1.55487,,-0.0458307,
15,2014-11-18T15:38:37.000,8:38:37 AM,0,,205.149,16.1577,1786.66,-0.000307523,-0.000549495,51.2,50.2,50.7,24.3,0,1.55487,,-0.0458307,
16,2014-11-18T15:38:38.000,8:38:38 AM,0,,205.149,16.1577,1786.66,-0.000307523,-0.000549495,51.2,50.2,50.7,24.3,0,1.55487,,-0.0458307,
17,2014-11-18T15:38:39.000,8:38:39 AM,0,,205.149,16.1577,1776.09,-0.000307523,-0.000549495,51.2,50.4,50.7,24.3,0,1.55487,,-0.0458307,
18,2014-11-18T15:38:40.000,8:38:40 AM,0,,205.149,16.1577,1786.66,-0.000307523,-0.00036633,51.2,50.5,50.7,24.3,0,1.55487,,-0.0458307,
19,2014-11-18T15:38:41.000,8:38:41 AM,0,,205.149,16.1577,1786.66,-0.000307523,-0.000549495,51.2,50.5,50.7,24.1,0,1.55487,,-0.0458307,
20,2014-11-18T15:38:42.000,8:38:42 AM,0,,205.149,16.1577,1786.66,-0.000289068,-0.000549495,51.2,50.6,50.7,24.3,0,1.55487,,-0.0458307,
