ID,Date (GMT),Time (24hr),Duration (hrs),Step Int (hrs),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),DilaFBK (in),ISCO Volume (V),DnStream Flow (SCCM),DwnStream Temp (C)
1,2014-11-24T16:43:06.000,9:43:06 AM,106.654,94.5344,2903.3,238.662,26867.1,-3.69027E-005,0.325238,250.2,249.8,188.3,27.3,0,2.99927,6.07971,0.00915527,
2,2014-11-24T16:43:07.000,9:43:07 AM,106.654,94.5347,2903.3,238.662,26881.1,-3.69027E-005,0.325238,250.2,249.8,188.3,27.2,0,2.99927,6.07971,0.00915527,
3,2014-11-24T16:43:08.000,9:43:08 AM,106.655,94.535,2904.22,239.893,26891.7,-3.69027E-005,0.325238,250.1,249.8,188.3,27.2,0,2.99927,6.07971,0.00915527,
4,2014-11-24T16:43:09.000,9:43:09 AM,106.655,94.535,2904.22,239.893,26902.3,-3.69027E-005,0.325238,250.1,249.8,188.3,27.2,0,2.99927,6.07971,0.00915527,
5,2014-11-24T16:43:10.000,9:43:10 AM,106.655,94.5353,2904.22,238.662,26912.9,-3.69027E-005,0.325238,250,249.8,188.3,27.2,0,2.99927,6.07971,0.00915527,
6,2014-11-24T16:43:11.000,9:43:11 AM,106.655,94.5356,2905.15,239.893,26912.9,-3.69027E-005,0.325238,249.9,249.8,188.3,27.2,0,3.00049,6.07971,0.00915527,
7,2014-11-24T16:43:12.000,9:43:12 AM,106.656,94.5358,2904.22,239.893,26934,-3.69027E-005,0.325238,249.9,249.8,188.4,27.2,0,2.99927,6.07971,0.00915527,
8,2014-11-24T16:43:13.000,9:43:13 AM,106.656,94.5361,2905.15,239.893,26944.6,-3.69027E-005,0.325238,249.9,249.8,188.3,27.2,0,2.99927,6.07971,0.00915527,
9,2014-11-24T16:43:14.000,9:43:14 AM,106.656,94.5361,2905.15,239.893,26955.1,-3.69027E-005,0.325055,249.9,249.8,188.3,27.3,0,2.99927,6.07971,0.00915527,
10,2014-11-24T16:43:15.000,9:43:15 AM,106.656,94.5364,2905.15,239.893,26965.7,-1.84476E-005,0.325238,249.8,249.8,188.4,27.2,0,2.99927,6.07971,0.00915527,
11,2014-11-24T16:43:16.000,9:43:16 AM,106.656,94.5367,2906.07,239.893,26965.7,-1.84476E-005,0.325238,249.8,249.8,188.3,27.2,0,2.99927,6.07971,0.00915527,
12,2014-11-24T16:43:17.000,9:43:17 AM,106.657,94.5369,2906.07,239.893,26979.8,-1.84476E-005,0.325238,249.7,249.8,188.3,27.3,0,2.99927,6.07971,0.00915527,
13,2014-11-24T16:43:18.000,9:43:18 AM,106.657,94.5372,2906.07,239.893,26990.4,-3.69027E-005,0.325238,249.6,249.8,188.3,27.3,0,2.99927,6.07971,0.00915527,
14,2014-11-24T16:43:19.000,9:43:19 AM,106.657,94.5372,2906.07,239.893,27000.9,-3.69027E-005,0.325238,249.6,249.9,188.4,27.3,0,2.99927,6.07971,0.00915527,
15,2014-11-24T16:43:20.000,9:43:20 AM,106.657,94.5375,2906.07,238.662,27000.9,-1.84476E-005,0.325238,249.6,249.8,188.4,27.2,0,2.99927,6.07971,0.00915527,
