ID,Date (GMT),Time (24hr),Duration (hrs),Step Int (hrs),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),DilaFBK (in),ISCO Volume (V),DnStream Flow (SCCM),DwnStream Temp (C)
1,`,7:10:16 AM,11.8072,11.8072,195.609,19.2354,2124.87,0.19648,0.405464,252.6,249.2,193.1,26.8,0,4.63409,4.40491,27.0047,
2,2014-11-19T14:10:16.000,7:10:17 AM,11.8072,11.8072,195.609,19.2354,2114.3,0.19648,0.405708,252.6,249.2,193.1,26.9,0,4.63409,4.3927,27.0047,
3,2014-11-19T14:10:17.000,7:10:18 AM,11.8075,11.8075,195.609,19.2354,2093.16,0.19648,0.405708,252.5,249.3,193.1,26.9,0,4.63409,4.38812,27.0047,
4,2014-11-19T14:10:18.000,7:10:19 AM,11.8078,11.8078,195.609,22.9282,2082.59,0.19648,0.405708,252.5,249.3,193.1,26.9,0,4.63409,4.38049,27.0047,
5,2014-11-19T14:10:19.000,7:10:20 AM,11.8081,11.8081,195.609,24.7749,2138.96,0.19648,0.405464,252.5,249.3,193.1,26.9,0,4.63409,4.37592,27.0047,
6,2014-11-19T14:10:20.000,7:10:21 AM,11.8081,11.8081,196.532,24.7749,2248.17,0.19648,0.405708,252.5,249.3,193.1,26.9,0,4.63409,4.36829,27.0047,
7,2014-11-19T14:10:21.000,7:10:22 AM,11.8083,11.8083,196.532,22.9282,2311.59,0.19648,0.405708,252.4,249.3,193.1,26.9,0,4.63409,4.3631,27.0047,
8,2014-11-19T14:10:22.000,7:10:23 AM,11.8086,11.8086,196.532,22.0051,2311.59,0.19648,0.405708,252.3,249.3,193.1,26.9,0,4.63409,4.3576,27.0047,
9,2014-11-19T14:10:23.000,7:10:24 AM,11.8089,11.8089,196.532,22.0051,2301.02,0.19648,0.405708,252.3,249.3,193.1,26.9,0,4.63409,4.35089,27.0047,
10,2014-11-19T14:10:24.000,7:10:25 AM,11.8092,11.8092,196.532,21.0818,2290.45,0.19648,0.405708,252.2,249.3,193.1,26.9,0,4.63409,4.34631,27.0047,
11,2014-11-19T14:10:25.000,7:10:26 AM,11.8092,11.8092,196.532,21.0818,2290.45,0.19648,0.405708,252.2,249.3,193.1,26.9,0,4.63409,4.33411,27.0047,
12,2014-11-19T14:10:26.000,7:10:27 AM,11.8094,11.8094,196.532,21.0818,2279.88,0.19648,0.405708,252.1,249.3,193.1,26.9,0,4.63409,4.32648,27.0047,
13,2014-11-19T14:10:27.000,7:10:28 AM,11.8097,11.8097,197.456,21.0818,2269.31,0.19648,0.405708,252,249.3,193.1,26.8,0,4.63409,4.3219,27.0047,
14,2014-11-19T14:10:28.000,7:10:29 AM,11.81,11.81,197.456,20.1584,2258.74,0.19648,0.405464,251.9,249.4,193.1,26.9,0,4.63409,4.3161,27.0047,
15,2014-11-19T14:10:29.000,7:10:30 AM,11.8103,11.8103,197.456,20.1584,2248.17,0.19648,0.405708,251.9,249.4,193.1,26.8,0,4.63409,4.31,27.0047,
16,2014-11-19T14:10:30.000,7:10:31 AM,11.8103,11.8103,197.456,20.1584,2237.61,0.19648,0.405708,251.9,249.4,193.1,26.8,0,4.63409,4.30542,27.0047,
17,2014-11-19T14:10:31.000,7:10:32 AM,11.8106,11.8106,197.456,20.1584,2212.94,0.19648,0.405708,251.8,249.5,193.1,26.8,0,4.63409,4.29779,27.0047,
18,2014-11-19T14:10:32.000,7:10:33 AM,11.8108,11.8108,197.456,20.1584,2191.8,0.19648,0.405708,251.8,249.4,193.1,26.8,0,4.63409,4.2923,27.0047,
19,2014-11-19T14:10:33.000,7:10:34 AM,11.8111,11.8111,197.456,19.2354,2181.24,0.19648,0.405708,251.7,249.4,193.1,26.9,0,4.63409,4.28009,27.0047,
20,2014-11-19T14:10:34.000,7:10:35 AM,11.8111,11.8111,197.456,19.2354,2160.1,0.19648,0.405708,251.8,249.4,193.1,26.8,0,4.63409,4.27429,27.0047,
21,2014-11-19T14:10:35.000,7:10:36 AM,11.8114,11.8114,197.456,19.2354,2149.53,0.19648,0.405708,251.8,249.4,193.1,26.8,0,4.63409,4.26819,27.0047,
22,2014-11-19T14:10:36.000,7:10:37 AM,11.8117,11.8117,197.456,19.2354,2138.96,0.19648,0.405708,251.8,249.5,193.1,26.8,0,4.63409,4.26361,27.0047,
23,2014-11-19T14:10:37.000,7:10:38 AM,11.8119,11.8119,197.456,19.2354,2114.3,0.19648,0.405708,251.8,249.5,193.1,26.8,0,4.63409,4.25598,27.0047,
24,2014-11-19T14:10:38.000,7:10:39 AM,11.8119,11.8119,197.456,22.0051,2103.73,0.19648,0.405708,251.8,249.5,193.1,26.8,0,4.63409,4.2514,27.0047,
25,2014-11-19T14:10:39.000,7:10:40 AM,11.8122,11.8122,197.456,23.8516,2149.53,0.19648,0.405708,251.9,249.5,193.1,26.8,0,4.63409,4.24377,27.0047,
26,2014-11-19T14:10:40.000,7:10:41 AM,11.8125,11.8125,197.456,24.7749,2325.68,0.19648,0.405708,251.9,249.5,193.1,26.7,0,4.63409,4.2392,27.0047,
27,2014-11-19T14:10:41.000,7:10:42 AM,11.8128,11.8128,197.456,22.9282,2336.25,0.19648,0.405708,252,249.5,193.1,26.7,0,4.63409,4.23248,27.0047,
28,2014-11-19T14:10:42.000,7:10:43 AM,11.8131,11.8131,198.379,22.0051,2325.68,0.19648,0.405708,252,249.5,193.1,26.7,0,4.63409,4.22699,27.0047,
29,2014-11-19T14:10:43.000,7:10:44 AM,11.8131,11.8131,197.456,22.0051,2325.68,0.19648,0.405708,252.1,249.5,193.1,26.7,0,4.63409,4.21417,27.0047,
30,2014-11-19T14:10:44.000,7:10:45 AM,11.8133,11.8133,198.379,22.0051,2311.59,0.19648,0.405708,252.2,249.5,193.1,26.7,0,4.63409,4.20959,27.0047,
31,2014-11-19T14:10:45.000,7:10:46 AM,11.8136,11.8136,198.379,21.0818,2311.59,0.19648,0.405708,252.3,249.5,193.1,26.7,0,4.63409,4.20959,27.0047,
32,2014-11-19T14:10:46.000,7:10:47 AM,11.8139,11.8139,198.379,21.0818,2301.02,0.19648,0.405708,252.4,249.6,193.1,26.8,0,4.63409,4.19739,27.0047,
33,2014-11-19T14:10:47.000,7:10:48 AM,11.8139,11.8139,198.379,21.0818,2290.45,0.19648,0.405708,252.5,249.5,193.1,26.8,0,4.63409,4.19067,27.0047,
34,2014-11-19T14:10:48.000,7:10:49 AM,11.8142,11.8142,198.379,21.0818,2279.88,0.19648,0.405708,252.6,249.5,193.1,26.8,0,4.63409,4.18518,27.0047,
35,2014-11-19T14:10:49.000,7:10:50 AM,11.8144,11.8144,198.379,20.1584,2269.31,0.19648,0.405708,252.6,249.5,193.1,26.8,0,4.63409,4.17908,27.0047,
36,2014-11-19T14:10:50.000,7:10:51 AM,11.8147,11.8147,198.379,20.1584,2258.74,0.19648,0.405708,252.7,249.5,193.1,26.8,0,4.63409,4.17297,27.0047,
37,2014-11-19T14:10:51.000,7:10:52 AM,11.815,11.815,198.379,20.1584,2248.17,0.19648,0.405708,252.8,249.6,193.1,26.8,0,4.63409,4.16779,27.0047,
38,2014-11-19T14:10:52.000,7:10:53 AM,11.815,11.815,199.61,20.1584,2237.61,0.19648,0.405708,252.8,249.6,193.1,26.8,0,4.63409,4.16107,27.0047,
39,2014-11-19T14:10:53.000,7:10:54 AM,11.8153,11.8153,199.61,19.2354,2202.38,0.19648,0.405708,252.9,249.6,193.1,26.8,0,4.63409,4.15649,27.0047,
40,2014-11-19T14:10:54.000,7:10:55 AM,11.8156,11.8156,199.61,19.2354,2181.24,0.19648,0.405708,252.9,249.6,193.1,26.7,0,4.63409,4.14886,27.0047,
41,2014-11-19T14:10:55.000,7:10:56 AM,11.8158,11.8158,199.61,19.2354,2170.67,0.19648,0.405708,253,249.6,193.1,26.7,0,4.63409,4.13727,27.0047,
42,2014-11-19T14:10:56.000,7:10:57 AM,11.8158,11.8158,199.61,19.2354,2149.53,0.19648,0.405708,253,249.6,193.1,26.7,0,4.63409,4.13116,27.0047,
43,2014-11-19T14:10:57.000,7:10:58 AM,11.8161,11.8161,199.61,19.2354,2138.96,0.19648,0.405708,253,249.6,193.1,26.7,0,4.63409,4.12689,27.0047,
44,2014-11-19T14:10:58.000,7:10:59 AM,11.8164,11.8164,199.61,22.0051,2114.3,0.19648,0.405708,253,249.6,193.1,26.7,0,4.63409,4.11926,27.0047,
45,2014-11-19T14:10:59.000,7:11:00 AM,11.8167,11.8167,200.533,23.8516,2149.53,0.19648,0.405892,252.9,249.6,193.1,26.7,0,4.63409,4.11469,27.0047,
46,2014-11-19T14:11:00.000,7:11:01 AM,11.8169,11.8169,200.533,25.698,2223.51,0.19648,0.405892,252.9,249.6,193.1,26.7,0,4.63409,4.10706,27.0047,
47,2014-11-19T14:11:01.000,7:11:02 AM,11.8169,11.8169,200.533,25.698,2445.46,0.19648,0.405892,252.9,249.6,193.1,26.7,0,4.63409,4.10248,27.0047,
48,2014-11-19T14:11:02.000,7:11:03 AM,11.8172,11.8172,200.533,23.8516,2445.46,0.19648,0.405892,252.8,249.7,193.1,26.7,0,4.63409,4.09637,4067.56,
49,2014-11-19T14:11:03.000,7:11:04 AM,11.8175,11.8175,201.456,22.9282,2434.89,0.19648,0.405892,252.8,249.7,193.1,26.7,0,4.63409,4.09027,4067.06,
50,2014-11-19T14:11:04.000,7:11:05 AM,11.8178,11.8178,201.456,22.9282,2424.32,0.19648,0.405892,252.8,249.6,193.1,26.7,0,4.63409,4.07806,4067.56,
51,2014-11-19T14:11:05.000,7:11:06 AM,11.8178,11.8178,201.456,22.0051,2424.32,0.19648,0.406075,252.7,249.7,193.1,26.7,0,4.63409,4.07288,4067.06,
