ID,Date (GMT),Time (24hr),Duration (hrs),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),DilaFBK (in),ISCO Volume (V),DnStream Flow (SCCM),Schu DIA 01,Schu DIA 02
1,2015-01-16T21:21:14.000,2:21:14 PM,0,96.8291,11.5415,1092.62,-0.107718,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.0100064,0.164717
2,2015-01-16T21:21:15.000,2:21:15 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00305176,0.00915527,-0.00993305,0.164717
3,2015-01-16T21:21:16.000,2:21:16 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00305176,0.00915527,-0.00993305,0.164717
4,2015-01-16T21:21:17.000,2:21:17 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00305176,0.00915527,-0.00981081,0.164645
5,2015-01-16T21:21:18.000,2:21:18 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00305176,0.00915527,-0.00993305,0.164645
6,2015-01-16T21:21:19.000,2:21:19 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00993305,0.164645
7,2015-01-16T21:21:20.000,2:21:20 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82538,0.00213623,0.00915527,-0.00981081,0.164645
8,2015-01-16T21:21:21.000,2:21:21 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.7,0,3.82629,0.00213623,0.00915527,-0.00976193,0.164645
9,2015-01-16T21:21:22.000,2:21:22 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.7,0,3.82629,0.00213623,0.00915527,-0.00988415,0.164766
10,2015-01-16T21:21:23.000,2:21:23 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.7,0,3.82538,0.00213623,0.00915527,-0.00988415,0.164766
11,2015-01-16T21:21:24.000,2:21:25 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82538,0.00305176,0.00915527,-0.00981081,0.164766
12,2015-01-16T21:21:25.000,2:21:26 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.7,0,3.82629,0.00213623,0.00915527,-0.00988415,0.1637
13,2015-01-16T21:21:26.000,2:21:27 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.7,0,3.82629,0.00213623,0.00915527,-0.00988415,0.164766
14,2015-01-16T21:21:27.000,2:21:28 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.7,0,3.82538,0.00213623,0.00915527,-0.00993305,0.164717
15,2015-01-16T21:21:28.000,2:21:29 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.7,0,3.82538,0.00305176,0.00915527,-0.00981081,0.164717
16,2015-01-16T21:21:29.000,2:21:30 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00988415,0.164717
17,2015-01-16T21:21:30.000,2:21:31 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00988415,0.164717
18,2015-01-16T21:21:31.000,2:21:32 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,22,22,21.8,0,3.82538,0.00213623,0.00915527,-0.00981081,0.164645
19,2015-01-16T21:21:32.000,2:21:33 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00993305,0.164766
20,2015-01-16T21:21:33.000,2:21:34 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00993305,0.164766
21,2015-01-16T21:21:34.000,2:21:35 PM,0,96.8291,11.5415,1092.62,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82538,0.00213623,0.00915527,-0.00993305,0.164717
22,2015-01-16T21:21:35.000,2:21:36 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00981081,0.164645
23,2015-01-16T21:21:36.000,2:21:37 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00993305,0.164645
24,2015-01-16T21:21:37.000,2:21:38 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00305176,0.00915527,-0.00981081,0.164717
25,2015-01-16T21:21:38.000,2:21:39 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00981081,0.164645
26,2015-01-16T21:21:39.000,2:21:40 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00305176,0.00915527,-0.00988415,0.164645
27,2015-01-16T21:21:40.000,2:21:41 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82538,0.00305176,0.00915527,-0.00988415,0.164645
28,2015-01-16T21:21:41.000,2:21:42 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00988415,0.164717
29,2015-01-16T21:21:42.000,2:21:43 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00981081,0.164645
30,2015-01-16T21:21:43.000,2:21:44 PM,0,96.8291,11.5415,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82538,0.00305176,0.00915527,-0.00981081,0.164717
31,2015-01-16T21:21:44.000,2:21:45 PM,0,96.8291,12.4648,1082.05,-0.107742,-1.24246,22.1,21.9,22,21.8,0,3.82629,0.00213623,0.00915527,-0.00988415,0.164717
32,2015-01-16T21:31:45.000,2:31:45 PM,0,167.914,13.3879,1413.22,-0.108659,-0.00280857,22.1,21.9,21.9,21.6,0,3.284,0.00305176,0.00915527,-0.0231587,0.146741
33,2015-01-16T21:41:45.000,2:41:45 PM,0,210.996,21.0818,1874.73,-0.102508,-0.0121499,22.1,21.9,21.9,21.6,0,5.63782,0.00305176,0.00915527,-0.0407359,0.125931
34,2015-01-16T21:51:45.000,2:51:46 PM,0,195.609,20.1584,2005.09,-0.125031,0.0180721,22.1,21.9,22,21.5,0,5.66467,0.00213623,0.00915527,-0.0444518,0.121764
35,2015-01-16T22:01:45.000,3:01:46 PM,0,193.763,20.1584,2015.65,-0.126913,0.0209417,22.1,21.9,22,21.4,0,5.65887,0.00305176,0.00915527,-0.0444518,0.121231
36,2015-01-16T22:11:45.000,3:11:45 PM,0,194.686,20.1584,2015.65,-0.1285,0.0232008,22.1,21.9,21.9,21.4,0,5.6311,0.00213623,0.00915527,-0.0443296,0.120819
37,2015-01-16T22:21:45.000,3:21:45 PM,0,191.917,20.1584,1994.52,-0.129478,0.0245439,22.1,21.9,22,21.6,0,5.61218,0.00213623,0.00915527,-0.0448674,0.120625
38,2015-01-16T22:31:45.000,3:31:46 PM,0,190.993,20.1584,1983.95,-0.130191,0.0255208,22.1,21.9,22,21.8,0,5.59418,0.00305176,0.00915527,-0.0452341,0.120383
39,2015-01-16T22:41:45.000,3:41:45 PM,0,190.993,20.1584,1983.95,-0.130825,0.0262535,22.1,21.9,21.9,21.8,0,5.57617,0.00305176,0.00915527,-0.0456008,0.119971
40,2015-01-16T22:51:45.000,3:51:45 PM,0,190.993,20.1584,1973.38,-0.131397,0.0270472,22.2,21.8,21.9,21.7,0,5.55908,0.00213623,0.00915527,-0.0456741,0.119656
41,2015-01-16T23:01:45.000,4:01:46 PM,0,190.993,20.1584,1983.95,-0.131913,0.0277799,22.1,21.8,21.9,21.6,0,5.54382,0.00305176,0.00915527,-0.0460897,0.119365
42,2015-01-16T23:11:45.000,4:11:46 PM,0,191.917,20.1584,1994.52,-0.132473,0.0285125,22.1,21.9,21.9,21.6,0,5.52765,0.00213623,0.00915527,-0.0458453,0.11905
43,2015-01-16T23:21:45.000,4:21:45 PM,0,192.84,19.2354,1983.95,-0.133026,0.0293062,22.1,21.9,22,21.7,0,5.51239,0.00213623,0.00915527,-0.0470676,0.119171
44,2015-01-16T23:31:45.000,4:31:45 PM,0,193.763,20.1584,2015.65,-0.133371,0.0296726,22.3,21.9,22,21.6,0,5.4953,0.00213623,0.00915527,-0.0472387,0.119002
45,2015-01-16T23:41:45.000,4:41:46 PM,0,196.532,19.2354,2026.22,-0.133814,0.0302831,22.3,21.9,22,21.7,0,5.47913,0.00213623,0.00915527,-0.0474343,0.118881
46,2015-01-16T23:51:45.000,4:51:45 PM,0,191.917,19.2354,1973.38,-0.134158,0.0308326,22.3,21.8,22,21.6,0,5.47913,0.00305176,0.00915527,-0.0460897,0.118711
47,2015-01-17T00:01:45.000,5:01:45 PM,0,191.917,20.1584,2005.09,-0.134367,0.0310158,22.3,21.9,22,21.8,0,5.47058,0.00213623,0.00915527,-0.047801,0.118517
48,2015-01-17T00:11:45.000,5:11:46 PM,0,193.763,20.1584,2015.65,-0.134773,0.0313821,22.3,21.9,22,21.8,0,5.45227,0.00305176,0.00915527,-0.0480944,0.118469
49,2015-01-17T00:21:45.000,5:21:46 PM,0,190.993,20.1584,1994.52,-0.135001,0.0317484,22.3,21.9,21.9,21.8,0,5.45227,0.00305176,0.00915527,-0.04829,0.118348
50,2015-01-17T00:31:45.000,5:31:45 PM,0,191.917,19.2354,1983.95,-0.135271,0.0321758,22.2,21.9,21.9,21.6,0,5.44373,0.00305176,0.00915527,-0.0482166,0.118275
51,2015-01-17T00:41:45.000,5:41:45 PM,0,193.763,19.2354,1994.52,-0.13556,0.0325421,22.3,21.9,22,21.6,0,5.42938,0.00305176,0.00915527,-0.0484611,0.117984
52,2015-01-17T00:51:45.000,5:51:46 PM,0,190.993,20.1584,1994.52,-0.135806,0.0327253,22.3,21.9,22,21.5,0,5.42938,0.00305176,0.00915527,-0.0483388,0.117912
53,2015-01-17T01:01:46.000,6:01:46 PM,0,191.917,19.2354,1983.95,-0.136059,0.0330916,22.1,21.9,22,21.7,0,5.41443,0.00213623,0.00915527,-0.0485833,0.117863
54,2015-01-17T01:11:45.000,6:11:45 PM,0,195.609,20.1584,2036.79,-0.136305,0.0334579,22.3,21.9,22,21.6,0,5.39825,0.00213623,0.00915527,-0.0485833,0.11779
55,2015-01-17T01:21:45.000,6:21:46 PM,0,192.84,20.1584,2015.65,-0.136538,0.0338853,22.1,21.9,22,21.7,0,5.39825,0.00213623,0.00915527,-0.0487789,0.117548
56,2015-01-17T01:31:45.000,6:31:46 PM,0,197.456,20.1584,2036.79,-0.13671,0.0340685,22.1,21.9,22,21.6,0,5.37231,0.00305176,0.00915527,-0.0487789,0.117379
57,2015-01-17T01:41:45.000,6:41:45 PM,0,193.763,19.2354,2005.09,-0.137055,0.0344348,22.3,21.9,22,21.6,0,5.37231,0.00305176,0.00915527,-0.0489011,0.117185
58,2015-01-17T01:51:45.000,6:51:45 PM,0,191.917,19.2354,1983.95,-0.13719,0.034618,22.1,21.9,22,21.6,0,5.37231,0.00305176,0.00915527,-0.04939,0.117136
59,2015-01-17T02:01:45.000,7:01:46 PM,0,194.686,20.1584,2005.09,-0.137362,0.0349843,22.1,22,21.9,21.5,0,5.35431,0.00305176,0.00915527,-0.0490722,0.116942
60,2015-01-17T02:11:46.000,7:11:46 PM,0,192.84,20.1584,2015.65,-0.137553,0.0352286,22.2,21.8,21.9,21.9,0,5.35431,0.00213623,0.00915527,-0.0493167,0.116894
61,2015-01-17T02:21:45.000,7:21:45 PM,0,190.993,19.2354,1983.95,-0.137744,0.0354117,22.1,21.9,22,21.7,0,5.35431,0.00213623,0.00915527,-0.04939,0.116894
62,2015-01-17T02:31:45.000,7:31:46 PM,0,194.686,20.1584,2005.09,-0.138014,0.0355949,22.3,21.9,22,21.4,0,5.33813,0.00305176,0.00915527,-0.049439,0.1167
63,2015-01-17T02:41:45.000,7:41:46 PM,0,191.917,20.1584,1994.52,-0.138125,0.035778,22.1,21.9,22,21.5,0,5.33722,0.00213623,0.00915527,-0.0495612,0.116652
64,2015-01-17T02:51:45.000,7:51:45 PM,0,194.686,20.1584,2015.65,-0.138359,0.0361443,22.1,21.8,21.9,21.5,0,5.32196,0.00305176,0.00915527,-0.0495612,0.116531
65,2015-01-17T03:01:45.000,8:01:45 PM,0,191.917,20.1584,2005.09,-0.138451,0.0363275,22.1,21.9,21.9,21.5,0,5.32196,0.00305176,0.00915527,-0.0497568,0.116409
66,2015-01-17T03:11:45.000,8:11:46 PM,0,192.84,20.1584,2005.09,-0.138568,0.0365106,22.1,21.9,21.9,21.7,0,5.31525,0.00213623,0.00915527,-0.0498056,0.116458
67,2015-01-17T03:21:46.000,8:21:46 PM,0,190.993,20.1584,2005.09,-0.138722,0.0366938,22.3,21.9,22,21.8,0,5.31525,0.00305176,0.00915527,-0.0499279,0.116337
68,2015-01-17T03:31:45.000,8:31:45 PM,0,192.84,20.1584,2015.65,-0.138839,0.0369381,22.2,21.9,21.9,21.8,0,5.30579,0.00213623,0.00915527,-0.049879,0.116167
69,2015-01-17T03:41:45.000,8:41:46 PM,0,190.993,20.1584,2015.65,-0.138992,0.0371212,22.2,21.8,21.9,21.8,0,5.30579,0.00305176,0.00915527,-0.050099,0.116216
70,2015-01-17T03:51:45.000,8:51:46 PM,0,194.686,19.2354,2015.65,-0.139183,0.0373044,22.1,21.8,21.9,21.7,0,5.2887,0.00305176,0.00915527,-0.0502946,0.116095
71,2015-01-17T04:01:46.000,9:01:46 PM,0,192.84,20.1584,2015.65,-0.139294,0.0374876,22.1,21.9,22,21.8,0,5.28961,0.00305176,0.00915527,-0.0500501,0.115925
72,2015-01-17T04:11:45.000,9:11:45 PM,0,191.917,20.1584,2015.65,-0.13941,0.0376707,22.1,21.9,22,21.8,0,5.2887,0.00305176,0.00915527,-0.0500501,0.115925
73,2015-01-17T04:21:45.000,9:21:46 PM,0,196.532,20.1584,2036.79,-0.139546,0.0378539,22.1,21.9,22,21.8,0,5.27344,0.00213623,0.00915527,-0.0502212,0.115804
74,2015-01-17T04:31:46.000,9:31:46 PM,0,194.686,20.1584,2050.88,-0.139736,0.0380371,22.2,21.9,22,21.8,0,5.27252,0.00305176,0.00915527,-0.0504168,0.115683
75,2015-01-17T04:41:45.000,9:41:45 PM,0,192.84,19.2354,1994.52,-0.139773,0.0380371,22.2,21.9,22,21.7,0,5.27344,0.00213623,0.00915527,-0.0504168,0.115683
76,2015-01-17T04:51:45.000,9:51:46 PM,0,191.917,19.2354,1983.95,-0.13989,0.0382202,22.2,21.9,22,21.8,0,5.27344,0.00213623,0.00915527,-0.0504657,0.115634
77,2015-01-17T05:01:45.000,10:01:46 PM,0,190.993,20.1584,1994.52,-0.140007,0.0384034,22.1,21.9,22,21.7,0,5.27252,0.00213623,0.00915527,-0.0507102,0.115562
78,2015-01-17T05:11:46.000,10:11:46 PM,0,194.686,19.2354,1994.52,-0.140161,0.0386476,22.2,21.9,22.1,21.7,0,5.25818,0.00305176,0.00915527,-0.0509546,0.115634
79,2015-01-17T05:21:45.000,10:21:45 PM,0,192.84,19.2354,1983.95,-0.140235,0.0388308,22.2,21.9,22.1,21.7,0,5.25818,0.00213623,0.00915527,-0.0506613,0.115562
80,2015-01-17T05:31:45.000,10:31:46 PM,0,191.917,18.0042,1983.95,-0.140333,0.0388308,22.2,21.9,22,21.8,0,5.25818,0.00213623,0.00915527,-0.0510769,0.11544
81,2015-01-17T05:41:46.000,10:41:46 PM,0,190.993,19.2354,1973.38,-0.140407,0.0390139,22.2,22,22.1,21.8,0,5.25818,0.00213623,0.00915527,-0.0509546,0.115513
82,2015-01-17T05:51:46.000,10:51:46 PM,0,194.686,20.1584,2036.79,-0.140524,0.0391971,22.2,21.9,22.1,21.6,0,5.24292,0.00213623,0.00915527,-0.050539,0.115319
83,2015-01-17T06:01:45.000,11:01:46 PM,0,192.84,19.2354,1983.95,-0.140598,0.0391971,22.2,21.8,22.1,21.5,0,5.24292,0.00213623,0.00915527,-0.0508324,0.11515
84,2015-01-17T06:11:45.000,11:11:46 PM,0,191.917,19.2354,1983.95,-0.140714,0.0393803,22.2,21.9,21.9,21.6,0,5.24292,0.00305176,0.00915527,-0.0509057,0.115198
85,2015-01-17T06:21:46.000,11:21:46 PM,0,189.762,19.2354,1983.95,-0.140794,0.0395634,22.2,22,21.9,21.6,0,5.24292,0.00305176,0.00915527,-0.051028,0.115029
86,2015-01-17T06:31:45.000,11:31:45 PM,0,193.763,19.2354,2005.09,-0.140942,0.0397466,22.2,21.9,22.1,21.8,0,5.22888,0.00213623,0.00915527,-0.0511502,0.11515
87,2015-01-17T06:41:45.000,11:41:46 PM,0,192.84,19.2354,2005.09,-0.140985,0.0399297,22.2,22,22.1,21.8,0,5.22888,0.00305176,0.00915527,-0.0511502,0.114835
88,2015-01-17T06:51:46.000,11:51:46 PM,0,191.917,19.2354,1994.52,-0.141077,0.0399297,22.2,21.9,22.1,21.7,0,5.22888,0.00305176,0.00915527,-0.051028,0.114786
89,2015-01-17T07:01:46.000,12:01:46 AM,0,190.993,20.1584,2005.09,-0.141157,0.0401739,22.2,21.9,22.1,21.8,0,5.22888,0.00213623,0.00915527,-0.0512725,0.114907
90,2015-01-17T07:11:45.000,12:11:46 AM,0,194.686,20.1584,2015.65,-0.141249,0.0401739,22.2,22,22.1,21.8,0,5.21454,0.00213623,0.00915527,-0.0513947,0.114956
91,2015-01-17T07:21:45.000,12:21:46 AM,0,193.763,20.1584,2026.22,-0.141348,0.0403571,22.2,22,22.1,21.6,0,5.21454,0.00213623,0.00915527,-0.0515658,0.114907
92,2015-01-17T07:31:46.000,12:31:46 AM,0,192.84,19.2354,1983.95,-0.141446,0.0405403,22.2,21.8,21.9,21.6,0,5.21454,0.00213623,0.00915527,-0.0514436,0.114907
93,2015-01-17T07:41:45.000,12:41:45 AM,0,191.917,19.2354,1994.52,-0.141539,0.0405403,22.2,21.9,21.9,21.6,0,5.21454,0.00305176,0.00915527,-0.0515658,0.114786
