ID,Duration (hrs),Date,Time,ConfP,ActP,Load,SmallLVDT,LargeLVDT,LVTemp,UVTemp,PistonTemp,LCTemp,AmbTemp,DilaFBK
3757969,0,2014-12-04T22:04:34.000,3:04:34 PM,2014.1,203.015,22471.4,-0.104686,0.62546,41.6,39.7,30.2,22.1,0,6.22162
3757970,0,2014-12-04T22:04:35.000,3:04:35 PM,2014.1,202.092,22471.4,-0.104686,0.62546,41.6,39.7,30.2,22.1,0,6.22162
3757971,0,2014-12-04T22:04:36.000,3:04:36 PM,2014.1,202.092,22471.4,-0.104686,0.62546,41.6,39.7,30.2,22.2,0,6.22253
3757972,0,2014-12-04T22:04:37.000,3:04:37 PM,2014.1,203.015,22471.4,-0.104686,0.62546,41.6,39.7,30.3,22.2,0,6.22162
3757973,0,2014-12-04T22:04:38.000,3:04:38 PM,2015.04,203.015,22471.4,-0.104686,0.62546,41.6,39.7,30.2,22.2,0,6.22162
3757974,0,2014-12-04T22:04:39.000,3:04:39 PM,2012.24,202.092,22471.4,-0.104686,0.62546,41.6,39.7,30.2,22.2,0,6.22253
3757975,0,2014-12-04T22:04:40.000,3:04:40 PM,2014.1,203.015,22471.4,-0.104686,0.62546,41.6,39.7,30.2,22.1,0,6.22253
3757976,0,2014-12-04T22:04:41.000,3:04:41 PM,2014.1,202.092,22471.4,-0.104686,0.62546,41.6,39.7,30.2,22.2,0,6.22253
3757977,0,2014-12-04T22:04:42.000,3:04:42 PM,2014.1,203.015,22471.4,-0.104686,0.62546,41.6,39.7,30.2,22.2,0,6.22253
3757978,0,2014-12-04T22:04:43.000,3:04:43 PM,2014.1,202.092,22471.4,-0.104686,0.62546,41.5,39.7,30.2,22.2,0,6.22253
3757979,0,2014-12-04T22:04:44.000,3:04:44 PM,2014.1,203.015,22471.4,-0.104686,0.62546,41.5,39.7,30.2,22.2,0,6.22253
3757980,0,2014-12-04T22:04:45.000,3:04:45 PM,2014.1,203.015,22471.4,-0.104686,0.62546,41.5,39.7,30.2,22.2,0,6.22253
3757981,0,2014-12-04T22:04:46.000,3:04:46 PM,2014.1,202.092,22471.4,-0.104686,0.62546,41.5,39.7,30.2,22.2,0,6.22253
3757982,0,2014-12-04T22:04:47.000,3:04:47 PM,2014.1,203.015,22471.4,-0.104686,0.62546,41.5,39.7,30.2,22.2,0,6.22253
3757983,0,2014-12-04T22:04:48.000,3:04:48 PM,2014.1,202.092,22471.4,-0.104686,0.62546,41.5,39.7,30.2,22.1,0,6.22253
3757984,0,2014-12-04T22:04:49.000,3:04:49 PM,2014.1,203.015,22471.4,-0.104686,0.62546,41.5,39.7,30.2,22.2,0,6.22253
3757985,0,2014-12-04T22:04:50.000,3:04:50 PM,2014.1,203.015,22471.4,-0.104686,0.62546,41.5,39.7,30.2,22.1,0,6.22253
