ID,Date (GMT),Time (24hr),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),CFluidTemp,DilaFDBK (mL),Isco Vol (mL),DnStream Flow (SCCM),Schu01 (in),Schu02 (in),PorePress(psig)
1,12/19/2016,2:22:21 PM,9.229,1.69336,-29008.1,0.0508822,-0.61477,22.1,21.9,21.8,21.8,22.3,22,3.19905,396.301,0,4.06115,3.98142,-0.322266
2,12/19/2016,2:22:32 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615776,22.1,21.8,21.8,21.8,22.3,22,3.19905,396.301,0,4.06115,3.98142,-0.322266
3,12/19/2016,2:22:42 PM,9.229,1.69336,-28997.5,0.0508822,-0.615336,22.1,21.8,21.8,21.8,22.3,22,3.19905,396.301,0,4.06109,3.98142,-0.322266
4,12/19/2016,2:22:52 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615148,22,21.8,21.8,21.8,22.3,22,3.19905,396.301,0,4.06109,3.98142,-0.322266
5,12/19/2016,3:43:49 PM,13.1965,1.69336,-29008.1,0.0508822,-0.615965,137.7,152.4,57.2,22.1,22.4,70.2,3.19905,396.301,0,4.06162,3.98142,-0.322266
6,12/19/2016,4:17:09 PM,13.1965,1.69336,-28997.5,0.0508822,-0.61477,175.5,182.2,98.8,22.3,22.4,130.7,3.19905,396.301,0,4.06283,3.98142,-0.322266
7,12/19/2016,4:50:29 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615965,183.9,170.2,128.8,22.5,22.3,151.6,3.19905,396.301,0,4.06323,3.98142,-1.24048
8,12/19/2016,5:23:49 PM,11.3652,2.92456,-28997.5,0.0508822,-0.615776,187.2,182,145,22.6,22.4,163.3,3.19905,396.301,0,4.06343,3.98142,-1.24048
9,12/19/2016,5:57:08 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615965,185.5,181.6,154,22.5,22.3,166.9,3.19905,396.301,0,4.06336,3.98142,-1.24048
10,12/19/2016,6:30:29 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615965,181.3,187.7,159.3,22.7,22.3,168.9,3.19905,396.301,0,4.06308,3.98122,-1.24048
11,12/19/2016,7:03:49 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615776,180.2,183.9,162.6,22.6,22.2,172.7,3.19905,396.301,0,4.06283,3.98081,-1.24048
12,12/19/2016,7:37:09 PM,10.1445,1.69336,-28997.5,0.0508822,-0.615776,183.1,184.7,164.1,22.6,22.3,173,3.19905,396.301,0,4.06283,3.98048,-1.24048
13,12/19/2016,8:10:29 PM,10.1445,1.69336,-28997.5,0.0508822,-0.61477,173.1,193.5,165.5,22.6,22.3,173.3,3.19905,396.301,0,4.06248,3.98002,-1.24048
14,12/19/2016,8:43:49 PM,10.1445,2.92456,-29008.1,0.0509006,-0.615336,177.7,181.8,165.5,22.8,22.3,173.6,3.19905,396.301,0,4.06235,3.97989,-1.24048
15,12/19/2016,9:17:09 PM,10.1445,1.69336,-28997.5,0.0509006,-0.615336,186.1,184.5,166.4,22.9,22.3,174.9,3.19905,396.301,0,4.06235,3.97983,-1.24048
16,12/19/2016,9:50:29 PM,10.1445,1.69336,-28997.5,0.0508822,-0.615965,197.1,187.5,166.4,23,22.4,173.6,3.19905,396.301,0,4.06216,3.97961,-1.24048
17,12/19/2016,10:23:49 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615965,176.6,184.4,167.2,23.2,22.4,174.4,3.19905,396.301,0,4.06203,3.9795,-1.24048
18,12/19/2016,10:57:09 PM,10.1445,1.69336,-29008.1,0.0508822,-0.61477,189.8,179.8,167.5,23.1,22.3,174.6,3.19905,396.301,0,4.06216,3.97972,-1.24048
19,12/19/2016,11:30:29 PM,10.1445,1.69336,-29008.1,0.0508822,-0.615525,196,196.3,167.7,23.3,22.4,175.4,3.19905,396.301,0,4.06223,3.9795,-2.15869
20,12/20/2016,12:03:49 AM,10.1445,1.69336,-28997.5,0.0509006,-0.615148,193.5,194.6,168,23.3,22.4,175.7,3.19905,396.301,0,4.06188,3.97961,-1.24048
21,12/20/2016,12:37:09 AM,10.1445,1.69336,-29008.1,0.0508822,-0.615776,185.8,182,167.8,23.1,22.4,175.2,3.19905,396.301,0,4.06169,3.9792,-1.24048
22,12/20/2016,1:10:28 AM,10.1445,1.69336,-28997.5,0.0508822,-0.615965,192.2,189.6,167.9,23.2,22.4,175.5,3.19905,396.301,0,4.06156,3.97972,-1.24048
23,12/20/2016,1:43:49 AM,10.1445,1.69336,-28997.5,0.0508822,-0.615776,184.1,181.2,167.7,23.2,22.4,174.9,3.19905,396.301,0,4.06169,3.97942,-1.24048
24,12/20/2016,2:17:09 AM,10.1445,1.69336,-28997.5,0.0508822,-0.615965,177.9,190.2,168,23,22.4,175.7,3.19905,396.301,0,4.06109,3.97903,-1.24048
25,12/20/2016,2:50:29 AM,9.229,1.69336,-28997.5,0.0508822,-0.615965,187,189.8,167.8,23.1,22.4,174.3,3.19905,396.301,0,4.06134,3.9792,-1.24048
26,12/20/2016,3:23:49 AM,9.229,1.69336,-29008.1,0.0508822,-0.615525,191.7,196.9,167.8,23.1,22.4,175.3,3.19905,396.301,0,4.06115,3.97896,-1.24048
27,12/20/2016,3:57:09 AM,9.229,1.69336,-28997.5,0.0509006,-0.614959,190.2,184.5,167.7,23,22.5,173.8,3.19905,396.301,0,4.06109,3.97937,-1.24048
28,12/20/2016,4:30:29 AM,9.229,2.92456,-29008.1,0.0508822,-0.615965,186.2,184.5,167.7,23.1,22.4,175.4,3.19905,396.301,0,4.06096,3.97896,-1.24048
29,12/20/2016,5:03:49 AM,10.1445,1.69336,-28997.5,0.0508822,-0.615965,192.2,189.1,167.5,23,22.4,175.1,3.19905,396.301,0,4.06074,3.97903,-1.24048
30,12/20/2016,5:37:09 AM,9.229,1.69336,-29008.1,0.0508822,-0.61477,183.9,175.4,167.7,23.2,22.4,174.8,3.19905,396.301,0,4.06068,3.97885,-1.24048
31,12/20/2016,6:10:29 AM,10.1445,2.92456,-28997.5,0.0508822,-0.615148,190.1,182.3,167.9,23.2,22.4,175.5,3.19905,396.301,0,4.06068,3.97909,-1.24048
32,12/20/2016,6:43:49 AM,10.1445,1.69336,-28997.5,0.0508822,-0.614959,180.4,182.1,167.7,23.1,22.4,175.4,3.19905,396.301,0,4.06068,3.97915,-2.15869
33,12/20/2016,7:17:09 AM,9.229,1.69336,-28997.5,0.0508822,-0.615525,189,190.2,167.4,23.2,22.7,175.5,3.19905,396.301,0,4.06087,3.97915,-1.24048
34,12/20/2016,7:50:29 AM,9.229,1.69336,-29008.1,0.0508822,-0.616154,196.6,193.6,167.4,23,22.3,175.2,3.19905,396.301,0,4.06049,3.97896,-2.15869
35,12/20/2016,8:23:48 AM,10.1445,1.69336,-29008.1,0.0509006,-0.615776,194,182.1,167.6,23,22.3,175.7,3.19905,396.301,0,4.06042,3.9789,-1.24048
36,12/20/2016,8:57:09 AM,10.1445,1.69336,-28997.5,0.0509006,-0.615525,190.4,184.2,167.7,23.2,22.3,175.7,3.19905,396.301,0,4.06049,3.9792,-1.24048
37,12/20/2016,9:30:29 AM,9.229,1.69336,-29008.1,0.0508822,-0.615336,196.7,184.4,167.9,23.1,22.3,174.3,3.19905,396.301,0,4.06042,3.97955,-1.24048
38,12/20/2016,9:55:59 AM,10.1445,1.69336,-29008.1,0.0508822,-0.615148,191.3,182.2,167.3,23.1,22.4,175.5,3.19905,507.076,0,4.06027,3.97857,-1.24048
39,12/20/2016,9:56:08 AM,10.1445,1.69336,-28997.5,0.0508822,-0.614959,189.3,182.1,167.3,23,22.4,175.6,3.19905,507.076,0,4.06036,3.97844,-1.24048
