Analysis by Brandon Lampe, performed on: 2016/07/04 16:17:5
Time (sec),Time (day),Confining Pressure (MPa),Pore Pressure (MPa),Fractional Density,Volume Strain,Volume Strain Rate (1/sec),Mean Particle Size (mm),Added Water (percent by weight),Temperature (C)
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.797860e-01,-0.000000e+00,0.000000e+00,2.340000e+00,0.000000e+00,1.620605e+02
1.000000e+01,1.157407e-04,7.939410e-01,0.000000e+00,8.797860e-01,-0.000000e+00,0.000000e+00,2.340000e+00,0.000000e+00,1.620605e+02
2.000000e+01,2.314815e-04,1.587882e+00,0.000000e+00,8.797860e-01,-0.000000e+00,0.000000e+00,2.340000e+00,0.000000e+00,1.620605e+02
3.000000e+01,3.472222e-04,2.381823e+00,0.000000e+00,8.797860e-01,-0.000000e+00,0.000000e+00,2.340000e+00,0.000000e+00,1.620605e+02
4.000000e+01,4.629630e-04,3.175764e+00,0.000000e+00,8.797860e-01,-0.000000e+00,6.050715e-16,2.340000e+00,0.000000e+00,1.620605e+02
5.000000e+01,5.787037e-04,3.969705e+00,0.000000e+00,8.797860e-01,1.210143e-14,3.949674e-13,2.340000e+00,0.000000e+00,1.620605e+02
6.000000e+01,6.944444e-04,4.763646e+00,0.000000e+00,8.797860e-01,7.899348e-12,5.991379e-11,2.340000e+00,0.000000e+00,1.620605e+02
7.000000e+01,8.101852e-04,5.557587e+00,0.000000e+00,8.797860e-01,1.198288e-09,2.927079e-09,2.340000e+00,0.000000e+00,1.620605e+02
8.000000e+01,9.259259e-04,6.351528e+00,0.000000e+00,8.797860e-01,5.854948e-08,5.942949e-08,2.340000e+00,0.000000e+00,1.620605e+02
9.000000e+01,1.041667e-03,7.145469e+00,0.000000e+00,8.797870e-01,1.189788e-06,6.098781e-07,2.340000e+00,0.000000e+00,1.620605e+02
1.000000e+02,1.157407e-03,7.939410e+00,0.000000e+00,8.797967e-01,1.225611e-05,3.670404e-06,2.340000e+00,0.000000e+00,1.620605e+02
1.100000e+02,1.273148e-03,8.733351e+00,0.000000e+00,8.798516e-01,7.459787e-05,1.449090e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.200000e+02,1.388889e-03,9.527291e+00,0.000000e+00,8.800518e-01,3.020741e-04,4.087262e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.300000e+02,1.504630e-03,1.032123e+01,0.000000e+00,8.805711e-01,8.920502e-04,8.802749e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.400000e+02,1.620370e-03,1.111517e+01,0.000000e+00,8.816025e-01,2.062624e-03,1.526790e-04,2.340000e+00,0.000000e+00,1.620605e+02
1.500000e+02,1.736111e-03,1.190911e+01,0.000000e+00,8.832641e-01,3.945630e-03,2.226999e-04,2.340000e+00,0.000000e+00,1.620605e+02
1.600000e+02,1.851852e-03,1.270306e+01,0.000000e+00,8.855379e-01,6.516622e-03,2.830068e-04,2.340000e+00,0.000000e+00,1.620605e+02
1.700000e+02,1.967593e-03,1.349700e+01,0.000000e+00,8.882777e-01,9.605766e-03,3.224841e-04,2.340000e+00,0.000000e+00,1.620605e+02
1.800000e+02,2.083333e-03,1.429094e+01,0.000000e+00,8.912678e-01,1.296631e-02,3.372516e-04,2.340000e+00,0.000000e+00,1.620605e+02
1.900000e+02,2.199074e-03,1.508488e+01,0.000000e+00,8.942894e-01,1.635080e-02,3.297789e-04,2.340000e+00,0.000000e+00,1.620605e+02
2.000000e+02,2.314815e-03,1.587882e+01,0.000000e+00,8.971657e-01,1.956188e-02,3.060112e-04,2.340000e+00,0.000000e+00,1.620605e+02
2.100000e+02,2.430556e-03,1.667276e+01,0.000000e+00,8.997794e-01,2.247102e-02,2.726203e-04,2.340000e+00,0.000000e+00,1.620605e+02
2.200000e+02,2.546296e-03,1.746670e+01,0.000000e+00,9.020707e-01,2.501429e-02,2.353141e-04,2.340000e+00,0.000000e+00,1.620605e+02
2.300000e+02,2.662037e-03,1.826064e+01,0.000000e+00,9.040240e-01,2.717730e-02,1.981963e-04,2.340000e+00,0.000000e+00,1.620605e+02
