ID,Date (GMT),Time (24hr),Duration (hrs),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),CFluidTemp,DilaFDBK (mL),ISCO Volume (V),DnStream Flow (SCCM),Schu DIA 01,Schu DIA 02
1,2015-07-14T17:14:37.000,11:14:38 AM,117.908,-1.02832,-1.07642,-29008.1,0.0508268,-0.614959,21.3,21.6,21.7,21.6,21.8,21.3,9.80392,162.425,1.85121,0.518274,-0.483209
2,2015-07-14T17:14:47.000,11:14:48 AM,117.911,-1.02832,-1.07642,-29008.1,0.0508268,-0.614581,21.3,21.6,21.7,21.6,21.8,21.3,9.80392,162.378,1.85121,0.518274,-0.483209
3,2015-07-14T19:56:22.000,1:56:23 PM,120.594,66.0564,-0.153076,-29008.1,0.0508268,-0.615525,21.5,21.6,21.7,21.8,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
4,2015-07-14T19:56:32.000,1:56:33 PM,120.596,66.0564,-0.153076,-29008.1,0.0508268,-0.61477,21.6,21.6,21.7,21.8,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
5,2015-07-14T19:56:43.000,1:56:43 PM,0.00229917,66.0564,-1.07642,-29008.1,0.0508268,-0.615336,21.5,21.6,21.7,21.8,21.7,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
6,2015-07-14T19:56:53.000,1:56:53 PM,0.00498,66.0564,-0.153076,-29008.1,0.0508268,-0.61477,21.5,21.6,21.7,21.8,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
7,2015-07-14T19:57:03.000,1:57:03 PM,0.00788889,66.0564,-0.153076,-29008.1,0.0508268,-0.614959,21.6,21.6,21.7,21.7,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
8,2015-07-14T19:57:12.000,1:57:12 PM,0.0106108,66.0564,-0.153076,-29008.1,0.0508268,-0.615525,21.4,21.6,21.7,21.8,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
9,2015-07-14T19:57:22.000,1:57:23 PM,0.0133103,66.0564,-0.153076,-29008.1,0.0508268,-0.615148,21.4,21.6,21.7,21.8,21.7,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
10,2015-07-14T19:57:32.000,1:57:33 PM,0.0162161,66.0564,-0.153076,-29008.1,0.0508268,-0.615336,21.4,21.6,21.7,21.8,21.7,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
11,2015-07-14T19:57:42.000,1:57:43 PM,0.0188244,66.0564,-0.153076,-29008.1,0.0508268,-0.614959,21.4,21.6,21.7,21.8,21.7,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
12,2015-07-14T19:57:53.000,1:57:53 PM,0.0217056,66.0564,-0.153076,-29008.1,0.0508268,-0.615525,21.5,21.5,21.7,21.8,21.7,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
13,2015-07-14T19:58:03.000,1:58:03 PM,0.0244364,65.1331,-0.153076,-29008.1,0.0508268,-0.615525,21.5,21.6,21.7,21.8,21.7,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
14,2015-07-14T19:58:13.000,1:58:13 PM,0.0271503,66.0564,-0.153076,-29008.1,0.0508268,-0.61477,21.5,21.6,21.7,21.8,21.7,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
15,2015-07-14T19:58:23.000,1:58:23 PM,0.0298978,66.0564,-0.153076,-29008.1,0.0508268,-0.615525,21.5,21.7,21.7,21.8,21.7,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
16,2015-07-14T19:58:32.000,1:58:33 PM,0.0328033,66.0564,-0.153076,-29008.1,0.0508268,-0.614581,21.5,21.6,21.7,21.6,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
17,2015-07-14T19:58:42.000,1:58:43 PM,0.0353858,65.1331,-0.153076,-29008.1,0.0508268,-0.614581,21.5,21.6,21.7,21.8,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
18,2015-07-14T19:58:52.000,1:58:53 PM,0.0382756,66.0564,-0.153076,-29008.1,0.0508084,-0.615525,21.5,21.6,21.7,21.8,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
19,2015-07-14T19:59:02.000,1:59:03 PM,0.0410581,66.0564,-0.153076,-29008.1,0.0508268,-0.61477,21.5,21.6,21.7,21.8,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
20,2015-07-14T19:59:13.000,1:59:13 PM,0.0437042,65.1331,-1.07642,-29008.1,0.0508084,-0.614959,21.5,21.6,21.7,21.6,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
21,2015-07-14T19:59:23.000,1:59:23 PM,0.0466458,66.0564,-1.07642,-29008.1,0.0508268,-0.615525,21.5,21.6,21.7,21.8,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
22,2015-07-14T19:59:33.000,1:59:33 PM,0.0493858,66.0564,-0.153076,-29008.1,0.0508268,-0.614959,21.5,21.6,21.7,21.8,21.8,21.9,9.82732,507.213,1.85121,0.518274,-0.483209
