Analysis by Brandon Lampe, performed on: 2016/07/04 12:27:14
Experimental results below begin at: 2015/07/17 16:07:44
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
3.024000e+02,3.500000e-03,0.000000e+00,0.000000e+00,8.726040e-01,8.663727e-01,-7.166662e-03,8.175377e-04,1.990570e+01,0.000000e+00,1.990570e+01,2.281184e+01,1.694000e+02
3.124001e+02,3.615742e-03,1.000010e+01,1.157419e-04,8.744880e-01,8.734847e-01,1.008799e-03,5.945998e-04,1.986051e+01,0.000000e+00,1.986051e+01,2.271102e+01,1.693760e+02
3.224002e+02,3.731484e-03,2.000021e+01,2.314839e-04,8.757055e-01,8.767372e-01,4.725457e-03,3.075308e-04,1.988932e+01,0.000000e+00,1.988932e+01,2.271234e+01,1.692782e+02
3.324003e+02,3.847226e-03,3.000031e+01,3.472258e-04,8.769680e-01,8.788738e-01,7.159478e-03,2.123536e-04,1.988477e+01,0.000000e+00,1.988477e+01,2.267445e+01,1.691860e+02
3.424004e+02,3.962968e-03,4.000041e+01,4.629677e-04,8.780980e-01,8.804687e-01,8.972574e-03,1.629271e-04,1.989663e+01,0.000000e+00,1.989663e+01,2.265878e+01,1.690860e+02
3.524005e+02,4.078710e-03,5.000051e+01,5.787096e-04,8.788260e-01,8.817424e-01,1.041805e-02,1.323791e-04,1.989206e+01,0.000000e+00,1.989206e+01,2.263481e+01,1.689860e+02
3.624006e+02,4.194452e-03,6.000062e+01,6.944516e-04,8.796934e-01,8.828030e-01,1.162018e-02,1.115579e-04,1.989752e+01,0.000000e+00,1.989752e+01,2.261870e+01,1.689000e+02
3.724007e+02,4.310193e-03,7.000072e+01,8.101935e-04,8.803440e-01,8.837119e-01,1.264923e-02,9.643240e-05,1.989752e+01,0.000000e+00,1.989752e+01,2.260198e+01,1.688760e+02
3.824008e+02,4.425935e-03,8.000082e+01,9.259354e-04,8.809921e-01,8.845072e-01,1.354885e-02,8.493724e-05,1.989906e+01,0.000000e+00,1.989906e+01,2.258710e+01,1.687520e+02
3.924009e+02,4.541677e-03,9.000092e+01,1.041677e-03,8.816873e-01,8.852144e-01,1.434800e-02,7.590115e-05,1.990393e+01,0.000000e+00,1.990393e+01,2.257482e+01,1.686000e+02
4.024010e+02,4.657419e-03,1.000010e+02,1.157419e-03,8.820981e-01,8.858510e-01,1.506689e-02,6.860914e-05,1.990095e+01,0.000000e+00,1.990095e+01,2.256093e+01,1.686000e+02
4.124011e+02,4.773161e-03,1.100011e+02,1.273161e-03,8.827560e-01,8.864299e-01,1.572019e-02,6.259955e-05,1.988388e+01,0.000000e+00,1.988388e+01,2.252477e+01,1.685860e+02
4.224012e+02,4.888903e-03,1.200012e+02,1.388903e-03,8.831701e-01,8.869608e-01,1.631889e-02,5.756075e-05,1.989296e+01,0.000000e+00,1.989296e+01,2.252450e+01,1.684860e+02
4.324013e+02,5.004645e-03,1.300013e+02,1.504645e-03,8.836420e-01,8.874510e-01,1.687142e-02,5.327470e-05,1.990393e+01,0.000000e+00,1.990393e+01,2.252488e+01,1.683860e+02
4.424014e+02,5.120387e-03,1.400014e+02,1.620387e-03,8.839779e-01,8.879063e-01,1.738440e-02,4.958418e-05,1.990393e+01,0.000000e+00,1.990393e+01,2.251632e+01,1.682844e+02
4.524015e+02,5.236129e-03,1.500015e+02,1.736129e-03,8.844720e-01,8.883315e-01,1.786311e-02,4.637299e-05,1.990545e+01,0.000000e+00,1.990545e+01,2.250547e+01,1.682000e+02
4.624016e+02,5.351871e-03,1.600016e+02,1.851871e-03,8.847961e-01,8.887302e-01,1.831187e-02,4.355331e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.250267e+01,1.681760e+02
4.724017e+02,5.467613e-03,1.700017e+02,1.967613e-03,8.851655e-01,8.891056e-01,1.873419e-02,4.105760e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.249328e+01,1.680782e+02
4.824018e+02,5.583355e-03,1.800018e+02,2.083355e-03,8.854421e-01,8.894603e-01,1.913303e-02,3.883300e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.248625e+01,1.680000e+02
4.924019e+02,5.699097e-03,1.900019e+02,2.199097e-03,8.857561e-01,8.897964e-01,1.951086e-02,3.683757e-05,1.991117e+01,0.000000e+00,1.991117e+01,2.247929e+01,1.679860e+02
5.024021e+02,5.814839e-03,2.000021e+02,2.314839e-03,8.861421e-01,8.901159e-01,1.986979e-02,3.503760e-05,1.991573e+01,0.000000e+00,1.991573e+01,2.247465e+01,1.679000e+02
5.124022e+02,5.930580e-03,2.100022e+02,2.430580e-03,8.864280e-01,8.904202e-01,2.021162e-02,3.340571e-05,1.991117e+01,0.000000e+00,1.991117e+01,2.246225e+01,1.679000e+02
5.224023e+02,6.046322e-03,2.200023e+02,2.546322e-03,8.866312e-01,8.907108e-01,2.053791e-02,3.191938e-05,1.991662e+01,0.000000e+00,1.991662e+01,2.246325e+01,1.679000e+02
5.324024e+02,6.162064e-03,2.300024e+02,2.662064e-03,8.869201e-01,8.909888e-01,2.085001e-02,3.055996e-05,1.991662e+01,0.000000e+00,1.991662e+01,2.245594e+01,1.679000e+02
5.424025e+02,6.277806e-03,2.400025e+02,2.777806e-03,8.873437e-01,8.912553e-01,2.114911e-02,2.931185e-05,1.991662e+01,0.000000e+00,1.991662e+01,2.244522e+01,1.679000e+02
5.524026e+02,6.393548e-03,2.500026e+02,2.893548e-03,8.875421e-01,8.915113e-01,2.143625e-02,2.816191e-05,1.991662e+01,0.000000e+00,1.991662e+01,2.244020e+01,1.679000e+02
5.624027e+02,6.509290e-03,2.600027e+02,3.009290e-03,8.878281e-01,8.917575e-01,2.171236e-02,2.709899e-05,1.991662e+01,0.000000e+00,1.991662e+01,2.243297e+01,1.679000e+02
5.724028e+02,6.625032e-03,2.700028e+02,3.125032e-03,8.880140e-01,8.919946e-01,2.197824e-02,2.611356e-05,1.991573e+01,0.000000e+00,1.991573e+01,2.242727e+01,1.679000e+02
5.824029e+02,6.740774e-03,2.800029e+02,3.240774e-03,8.881281e-01,8.922233e-01,2.223463e-02,2.519746e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.241825e+01,1.679000e+02
5.924030e+02,6.856516e-03,2.900030e+02,3.356516e-03,8.883624e-01,8.924442e-01,2.248219e-02,2.434361e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.241234e+01,1.679000e+02
6.024031e+02,6.972258e-03,3.000031e+02,3.472258e-03,8.887481e-01,8.926578e-01,2.272151e-02,2.354586e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.240261e+01,1.679000e+02
6.124032e+02,7.088000e-03,3.100032e+02,3.588000e-03,8.889437e-01,8.928646e-01,2.295312e-02,2.279888e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.239768e+01,1.678563e+02
6.224033e+02,7.203742e-03,3.200033e+02,3.703742e-03,8.891000e-01,8.930650e-01,2.317749e-02,2.209795e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.239374e+01,1.677281e+02
6.324034e+02,7.319484e-03,3.300034e+02,3.819484e-03,8.891421e-01,8.932593e-01,2.339508e-02,2.143894e-05,1.991117e+01,0.000000e+00,1.991117e+01,2.239368e+01,1.678860e+02
6.424035e+02,7.435226e-03,3.400035e+02,3.935226e-03,8.894281e-01,8.934480e-01,2.360628e-02,2.081821e-05,1.991573e+01,0.000000e+00,1.991573e+01,2.239161e+01,1.678000e+02
6.524036e+02,7.550967e-03,3.500036e+02,4.050967e-03,8.896000e-01,8.936313e-01,2.381145e-02,2.023250e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.238116e+01,1.677860e+02
6.624037e+02,7.666709e-03,3.600037e+02,4.166709e-03,8.896421e-01,8.938096e-01,2.401093e-02,1.967895e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.238010e+01,1.677000e+02
6.724038e+02,7.782451e-03,3.700038e+02,4.282451e-03,8.899156e-01,8.939831e-01,2.420503e-02,1.915496e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.237322e+01,1.677000e+02
6.824039e+02,7.898193e-03,3.800039e+02,4.398193e-03,8.900656e-01,8.941521e-01,2.439403e-02,1.865823e-05,1.991166e+01,0.000000e+00,1.991166e+01,2.237101e+01,1.677000e+02
6.924040e+02,8.013935e-03,3.900040e+02,4.513935e-03,8.903140e-01,8.943168e-01,2.457820e-02,1.818670e-05,1.991573e+01,0.000000e+00,1.991573e+01,2.236933e+01,1.676860e+02
7.024041e+02,8.129677e-03,4.000041e+02,4.629677e-03,8.904281e-01,8.944774e-01,2.475777e-02,1.773848e-05,1.991028e+01,0.000000e+00,1.991028e+01,2.236034e+01,1.675860e+02
