Analysis by Brandon Lampe, performed on: 2016/07/04 12:28:18
Time (sec),Time (day),Confining Pressure (MPa),Pore Pressure (MPa),Fractional Density,Volume Strain,Volume Strain Rate (1/sec),Mean Particle Size (mm),Added Water (percent by weight),Temperature (C)
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.990397e-01,-0.000000e+00,4.373151e-10,3.150000e+00,0.000000e+00,1.795300e+02
1.000000e+01,1.157407e-04,6.397333e-01,0.000000e+00,7.990397e-01,4.373151e-09,2.212887e-09,3.150000e+00,0.000000e+00,1.795300e+02
2.000000e+01,2.314815e-04,1.279467e+00,0.000000e+00,7.990397e-01,4.425775e-08,1.541400e-08,3.150000e+00,0.000000e+00,1.795300e+02
3.000000e+01,3.472222e-04,1.919200e+00,0.000000e+00,7.990399e-01,3.126532e-07,8.268946e-08,3.150000e+00,0.000000e+00,1.795300e+02
4.000000e+01,4.629630e-04,2.558933e+00,0.000000e+00,7.990410e-01,1.698047e-06,3.529982e-07,3.150000e+00,0.000000e+00,1.795300e+02
5.000000e+01,5.787037e-04,3.198667e+00,0.000000e+00,7.990456e-01,7.372617e-06,1.233671e-06,3.150000e+00,0.000000e+00,1.795300e+02
6.000000e+01,6.944444e-04,3.838400e+00,0.000000e+00,7.990608e-01,2.637146e-05,3.617851e-06,3.150000e+00,0.000000e+00,1.795300e+02
7.000000e+01,8.101852e-04,4.478133e+00,0.000000e+00,7.991034e-01,7.972963e-05,9.096874e-06,3.150000e+00,0.000000e+00,1.795300e+02
8.000000e+01,9.259259e-04,5.117867e+00,0.000000e+00,7.992062e-01,2.083089e-04,1.998615e-05,3.150000e+00,0.000000e+00,1.795300e+02
9.000000e+01,1.041667e-03,5.757600e+00,0.000000e+00,7.994229e-01,4.794527e-04,3.900882e-05,3.150000e+00,0.000000e+00,1.795300e+02
1.000000e+02,1.157407e-03,6.397333e+00,0.000000e+00,7.998299e-01,9.884853e-04,6.863057e-05,3.150000e+00,0.000000e+00,1.795300e+02
1.100000e+02,1.273148e-03,7.037067e+00,0.000000e+00,8.005209e-01,1.852064e-03,1.102428e-04,3.150000e+00,0.000000e+00,1.795300e+02
1.200000e+02,1.388889e-03,7.676800e+00,0.000000e+00,8.015954e-01,3.193340e-03,1.635097e-04,3.150000e+00,0.000000e+00,1.795300e+02
1.300000e+02,1.504630e-03,8.316533e+00,0.000000e+00,8.031431e-01,5.122258e-03,2.261480e-04,3.150000e+00,0.000000e+00,1.795300e+02
1.400000e+02,1.620370e-03,8.956267e+00,0.000000e+00,8.052292e-01,7.716300e-03,2.942243e-04,3.150000e+00,0.000000e+00,1.795300e+02
1.500000e+02,1.736111e-03,9.596000e+00,0.000000e+00,8.078831e-01,1.100674e-02,3.628555e-04,3.150000e+00,0.000000e+00,1.795300e+02
1.600000e+02,1.851852e-03,1.023573e+01,0.000000e+00,8.110941e-01,1.497341e-02,4.270695e-04,3.150000e+00,0.000000e+00,1.795300e+02
1.700000e+02,1.967593e-03,1.087547e+01,0.000000e+00,8.148131e-01,1.954813e-02,4.825788e-04,3.150000e+00,0.000000e+00,1.795300e+02
1.800000e+02,2.083333e-03,1.151520e+01,0.000000e+00,8.189603e-01,2.462499e-02,5.262980e-04,3.150000e+00,0.000000e+00,1.795300e+02
1.900000e+02,2.199074e-03,1.215493e+01,0.000000e+00,8.234351e-01,3.007409e-02,5.565514e-04,3.150000e+00,0.000000e+00,1.795300e+02
2.000000e+02,2.314815e-03,1.279467e+01,0.000000e+00,8.281271e-01,3.575601e-02,5.730079e-04,3.150000e+00,0.000000e+00,1.795300e+02
2.100000e+02,2.430556e-03,1.343440e+01,0.000000e+00,8.329261e-01,4.153425e-02,5.764352e-04,3.150000e+00,0.000000e+00,1.795300e+02
2.200000e+02,2.546296e-03,1.407413e+01,0.000000e+00,8.377296e-01,4.728472e-02,5.683703e-04,3.150000e+00,0.000000e+00,1.795300e+02
2.300000e+02,2.662037e-03,1.471387e+01,0.000000e+00,8.424483e-01,5.290166e-02,5.507885e-04,3.150000e+00,0.000000e+00,1.795300e+02
2.400000e+02,2.777778e-03,1.535360e+01,0.000000e+00,8.470088e-01,5.830049e-02,5.258205e-04,3.150000e+00,0.000000e+00,1.795300e+02
2.500000e+02,2.893519e-03,1.599333e+01,0.000000e+00,8.513546e-01,6.341807e-02,4.955398e-04,3.150000e+00,0.000000e+00,1.795300e+02
2.600000e+02,3.009259e-03,1.663307e+01,0.000000e+00,8.554451e-01,6.821128e-02,4.618248e-04,3.150000e+00,0.000000e+00,1.795300e+02
2.700000e+02,3.125000e-03,1.727280e+01,0.000000e+00,8.592545e-01,7.265456e-02,4.262827e-04,3.150000e+00,0.000000e+00,1.795300e+02
2.800000e+02,3.240741e-03,1.791253e+01,0.000000e+00,8.627695e-01,7.673694e-02,3.902229e-04,3.150000e+00,0.000000e+00,1.795300e+02
2.900000e+02,3.356481e-03,1.855227e+01,0.000000e+00,8.659868e-01,8.045902e-02,3.546633e-04,3.150000e+00,0.000000e+00,1.795300e+02
