Analysis by Brandon Lampe, performed on: 2016/07/04 12:28:18
Time (sec),Time (day),Confining Pressure (MPa),Pore Pressure (MPa),Fractional Density,Volume Strain,Volume Strain Rate (1/sec),Mean Particle Size (mm),Added Water (percent by weight),Temperature (C)
2.000000e+01,2.314815e-04,1.919200e+01,0.000000e+00,8.767372e-01,9.279663e-02,3.075333e-04,3.150000e+00,0.000000e+00,1.795300e+02
3.000000e+01,3.472222e-04,1.919200e+01,0.000000e+00,8.788738e-01,9.523065e-02,2.123555e-04,3.150000e+00,0.000000e+00,1.795300e+02
4.000000e+01,4.629630e-04,1.919200e+01,0.000000e+00,8.804687e-01,9.704374e-02,1.629286e-04,3.150000e+00,0.000000e+00,1.795300e+02
5.000000e+01,5.787037e-04,1.919200e+01,0.000000e+00,8.817423e-01,9.848922e-02,1.323803e-04,3.150000e+00,0.000000e+00,1.795300e+02
6.000000e+01,6.944444e-04,1.919200e+01,0.000000e+00,8.828029e-01,9.969134e-02,1.115590e-04,3.150000e+00,0.000000e+00,1.795300e+02
7.000000e+01,8.101852e-04,1.919200e+01,0.000000e+00,8.837118e-01,1.007204e-01,9.643333e-05,3.150000e+00,0.000000e+00,1.795300e+02
8.000000e+01,9.259259e-04,1.919200e+01,0.000000e+00,8.845072e-01,1.016200e-01,8.493806e-05,3.150000e+00,0.000000e+00,1.795300e+02
9.000000e+01,1.041667e-03,1.919200e+01,0.000000e+00,8.852143e-01,1.024192e-01,7.590188e-05,3.150000e+00,0.000000e+00,1.795300e+02
1.000000e+02,1.157407e-03,1.919200e+01,0.000000e+00,8.858509e-01,1.031380e-01,6.860981e-05,3.150000e+00,0.000000e+00,1.795300e+02
1.100000e+02,1.273148e-03,1.919200e+01,0.000000e+00,8.864298e-01,1.037914e-01,6.260016e-05,3.150000e+00,0.000000e+00,1.795300e+02
1.200000e+02,1.388889e-03,1.919200e+01,0.000000e+00,8.869607e-01,1.043901e-01,5.756132e-05,3.150000e+00,0.000000e+00,1.795300e+02
1.300000e+02,1.504630e-03,1.919200e+01,0.000000e+00,8.874509e-01,1.049426e-01,5.327523e-05,3.150000e+00,0.000000e+00,1.795300e+02
1.400000e+02,1.620370e-03,1.919200e+01,0.000000e+00,8.879063e-01,1.054556e-01,4.958468e-05,3.150000e+00,0.000000e+00,1.795300e+02
1.500000e+02,1.736111e-03,1.919200e+01,0.000000e+00,8.883314e-01,1.059343e-01,4.637345e-05,3.150000e+00,0.000000e+00,1.795300e+02
1.600000e+02,1.851852e-03,1.919200e+01,0.000000e+00,8.887301e-01,1.063830e-01,4.355375e-05,3.150000e+00,0.000000e+00,1.795300e+02
1.700000e+02,1.967593e-03,1.919200e+01,0.000000e+00,8.891056e-01,1.068053e-01,4.105801e-05,3.150000e+00,0.000000e+00,1.795300e+02
