Analysis by Brandon Lampe, performed on: 2016/07/02 12:43:4
Experimental results below begin at: 2015/07/17 16:02:42
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.972000e-01,7.990397e-01,2.305029e-03,3.767593e-12,4.596579e-02,0.000000e+00,4.596579e-02,5.765905e-02,1.688000e+02
1.004651e+01,1.162791e-04,1.004651e+01,1.162791e-04,7.975019e-01,7.990397e-01,2.305029e-03,1.325847e-11,6.547127e-02,0.000000e+00,6.547127e-02,8.209544e-02,1.688000e+02
2.009302e+01,2.325581e-04,2.009302e+01,2.325581e-04,7.979037e-01,7.990397e-01,2.305029e-03,5.739624e-10,1.587932e-01,0.000000e+00,1.587932e-01,1.990129e-01,1.688000e+02
3.013953e+01,3.488372e-04,3.013953e+01,3.488372e-04,7.983063e-01,7.990397e-01,2.305041e-03,5.486067e-08,8.943733e-01,0.000000e+00,8.943733e-01,1.120338e+00,1.688013e+02
4.018605e+01,4.651163e-04,4.018605e+01,4.651163e-04,7.987630e-01,7.990406e-01,2.306132e-03,1.196898e-06,2.386861e+00,0.000000e+00,2.386861e+00,2.988196e+00,1.688926e+02
5.023256e+01,5.813953e-04,5.023256e+01,5.813953e-04,7.995386e-01,7.990589e-01,2.329090e-03,3.096924e-06,3.789229e+00,0.000000e+00,3.789229e+00,4.739269e+00,1.690847e+02
6.027907e+01,6.976744e-04,6.027907e+01,6.976744e-04,7.999084e-01,7.990903e-01,2.368358e-03,7.057429e-06,4.337305e+00,0.000000e+00,4.337305e+00,5.422252e+00,1.691056e+02
7.032558e+01,8.139535e-04,7.032558e+01,8.139535e-04,8.002065e-01,7.991722e-01,2.470895e-03,1.915445e-05,4.957702e+00,0.000000e+00,4.957702e+00,6.195529e+00,1.693033e+02
8.037209e+01,9.302326e-04,8.037209e+01,9.302326e-04,8.004074e-01,7.993979e-01,2.753229e-03,4.114466e-05,5.702369e+00,0.000000e+00,5.702369e+00,7.124333e+00,1.694000e+02
9.041860e+01,1.046512e-03,9.041860e+01,1.046512e-03,8.006126e-01,7.998332e-01,3.297616e-03,6.613338e-05,6.401268e+00,0.000000e+00,6.401268e+00,7.995463e+00,1.694084e+02
