Analysis by Brandon Lampe, performed on: 2016/07/04 10:07:1
Experimental results below begin at: 2015/07/19 12:41:49
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
1.607472e+05,1.860500e+00,0.000000e+00,0.000000e+00,9.420000e-01,9.420247e-01,2.617446e-05,-2.161695e-06,5.481436e+00,0.000000e+00,5.481436e+00,5.818934e+00,1.815279e+02
1.607575e+05,1.860619e+00,1.028571e+01,1.190476e-04,9.420000e-01,9.420037e-01,3.939885e-06,-2.153641e-06,5.319814e+00,0.000000e+00,5.319814e+00,5.647361e+00,1.815071e+02
1.607678e+05,1.860738e+00,2.057143e+01,2.380952e-04,9.419865e-01,9.419829e-01,-1.812902e-05,-2.141419e-06,5.159399e+00,0.000000e+00,5.159399e+00,5.477148e+00,1.814932e+02
1.607781e+05,1.860857e+00,3.085714e+01,3.571429e-04,9.419659e-01,9.419622e-01,-4.011216e-05,-2.137274e-06,4.999612e+00,0.000000e+00,4.999612e+00,5.307636e+00,1.814829e+02
1.607883e+05,1.860976e+00,4.114286e+01,4.761905e-04,9.419453e-01,9.419415e-01,-6.209579e-05,-2.137321e-06,4.839824e+00,0.000000e+00,4.839824e+00,5.138116e+00,1.814727e+02
1.607986e+05,1.861095e+00,5.142857e+01,5.952381e-04,9.419247e-01,9.419208e-01,-8.407991e-05,-2.137368e-06,4.680037e+00,0.000000e+00,4.680037e+00,4.968589e+00,1.814624e+02
1.608089e+05,1.861214e+00,6.171429e+01,7.142857e-04,9.419042e-01,9.419001e-01,-1.060645e-04,-2.137415e-06,4.520249e+00,0.000000e+00,4.520249e+00,4.799054e+00,1.814521e+02
1.608192e+05,1.861333e+00,7.200000e+01,8.333333e-04,9.418836e-01,9.418794e-01,-1.280496e-04,-2.137462e-06,4.360462e+00,0.000000e+00,4.360462e+00,4.629512e+00,1.814418e+02
1.608295e+05,1.861452e+00,8.228571e+01,9.523810e-04,9.418630e-01,9.418587e-01,-1.500351e-04,-2.137509e-06,4.200674e+00,0.000000e+00,4.200674e+00,4.459963e+00,1.814315e+02
1.608398e+05,1.861571e+00,9.257143e+01,1.071429e-03,9.418425e-01,9.418380e-01,-1.720212e-04,-2.137556e-06,4.040886e+00,0.000000e+00,4.040886e+00,4.290406e+00,1.814212e+02
1.608501e+05,1.861690e+00,1.028571e+02,1.190476e-03,9.418219e-01,9.418173e-01,-1.940077e-04,-2.137603e-06,3.881099e+00,0.000000e+00,3.881099e+00,4.120842e+00,1.814109e+02
1.608603e+05,1.861810e+00,1.131429e+02,1.309524e-03,9.418013e-01,9.417966e-01,-2.159947e-04,-2.070674e-06,3.721311e+00,0.000000e+00,3.721311e+00,3.951270e+00,1.814007e+02
1.608706e+05,1.861929e+00,1.234286e+02,1.428571e-03,9.417807e-01,9.417771e-01,-2.366044e-04,-1.999172e-06,3.571536e+00,0.000000e+00,3.571536e+00,3.792322e+00,1.813807e+02
1.608809e+05,1.862048e+00,1.337143e+02,1.547619e-03,9.417602e-01,9.417578e-01,-2.571206e-04,-1.994642e-06,3.422445e+00,0.000000e+00,3.422445e+00,3.634094e+00,1.813602e+02
1.608912e+05,1.862167e+00,1.440000e+02,1.666667e-03,9.417396e-01,9.417385e-01,-2.776371e-04,-1.994683e-06,3.273353e+00,0.000000e+00,3.273353e+00,3.475858e+00,1.813396e+02
1.609015e+05,1.862286e+00,1.542857e+02,1.785714e-03,9.417190e-01,9.417192e-01,-2.981540e-04,-1.994724e-06,3.124261e+00,0.000000e+00,3.124261e+00,3.317615e+00,1.813190e+02
1.609118e+05,1.862405e+00,1.645714e+02,1.904762e-03,9.416985e-01,9.416999e-01,-3.186714e-04,-1.994765e-06,2.975169e+00,0.000000e+00,2.975169e+00,3.159365e+00,1.812985e+02
1.609221e+05,1.862524e+00,1.748571e+02,2.023810e-03,9.416779e-01,9.416805e-01,-3.391892e-04,-1.994806e-06,2.826078e+00,0.000000e+00,2.826078e+00,3.001109e+00,1.812779e+02
1.609323e+05,1.862643e+00,1.851429e+02,2.142857e-03,9.416573e-01,9.416612e-01,-3.597074e-04,-1.994847e-06,2.676986e+00,0.000000e+00,2.676986e+00,2.842845e+00,1.812573e+02
1.609426e+05,1.862762e+00,1.954286e+02,2.261905e-03,9.416367e-01,9.416419e-01,-3.802260e-04,-1.994887e-06,2.527894e+00,0.000000e+00,2.527894e+00,2.684575e+00,1.812367e+02
1.609529e+05,1.862881e+00,2.057143e+02,2.380952e-03,9.416162e-01,9.416226e-01,-4.007451e-04,-1.910900e-06,2.378803e+00,0.000000e+00,2.378803e+00,2.526298e+00,1.812162e+02
1.609632e+05,1.863000e+00,2.160000e+02,2.500000e-03,9.416044e-01,9.416049e-01,-4.195360e-04,-1.826892e-06,2.242270e+00,0.000000e+00,2.242270e+00,2.381330e+00,1.811978e+02
