Analysis by Brandon Lampe, performed on: 2017/05/08 12:34:45
Experimental results below begin at: 2015/08/15 12:49:33
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
1.728000e+05,2.000000e+00,0.000000e+00,0.000000e+00,8.306812e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.270165e-02,1.631604e+02
1.729000e+05,2.001157e+00,1.000000e+02,1.157407e-03,8.307044e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.269906e-02,1.631504e+02
1.730000e+05,2.002315e+00,2.000000e+02,2.314815e-03,8.307275e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.269648e-02,1.631404e+02
1.731000e+05,2.003472e+00,3.000000e+02,3.472222e-03,8.307507e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.269389e-02,1.631303e+02
1.732000e+05,2.004630e+00,4.000000e+02,4.629630e-03,8.307739e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.269131e-02,1.631203e+02
1.733000e+05,2.005787e+00,5.000000e+02,5.787037e-03,8.307971e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.268872e-02,1.631103e+02
1.734000e+05,2.006944e+00,6.000000e+02,6.944444e-03,8.308203e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.268613e-02,1.631003e+02
1.735000e+05,2.008102e+00,7.000000e+02,8.101852e-03,8.308057e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.268776e-02,1.630903e+02
1.736000e+05,2.009259e+00,8.000000e+02,9.259259e-03,8.307899e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.268952e-02,1.630803e+02
1.737000e+05,2.010417e+00,9.000000e+02,1.041667e-02,8.307742e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.269128e-02,1.630703e+02
1.738000e+05,2.011574e+00,1.000000e+03,1.157407e-02,8.307584e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.269304e-02,1.630603e+02
1.739000e+05,2.012731e+00,1.100000e+03,1.273148e-02,8.307426e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.269479e-02,1.630503e+02
1.740000e+05,2.013889e+00,1.200000e+03,1.388889e-02,8.307269e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.269655e-02,1.630403e+02
1.741000e+05,2.015046e+00,1.300000e+03,1.504630e-02,8.307111e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.269831e-02,1.630303e+02
1.742000e+05,2.016204e+00,1.400000e+03,1.620370e-02,8.306953e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.270007e-02,1.630203e+02
1.743000e+05,2.017361e+00,1.500000e+03,1.736111e-02,8.306796e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.270183e-02,1.630103e+02
1.744000e+05,2.018519e+00,1.600000e+03,1.851852e-02,8.306828e-01,nan,nan,nan,7.700552e-02,0.000000e+00,7.700552e-02,9.270147e-02,1.630003e+02
