ID,Date (Local),Time (MST),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),CFluidTemp,DilaFDBK (mL),Isco Vol (mL),DnStream Flow (SCCM),Schu01 (in),Schu02 (in),MM_PDiff (psid),MM_Press (psig)
1,8/10/2015,11:51:17 AM,15.2009,7.17383,-120.006,0.499804,-0.00390363,21.8,21.6,21.5,22.9,21.8,21.8,35.8198,0,0,0.9628,0.9796,0,0
2,8/10/2015,11:51:28 AM,14.2698,6.25,-120.006,0.499786,-0.00390363,21.8,21.6,21.5,22.9,21.8,21.8,35.8198,0,0,0.9628,0.9796,0,0
3,8/10/2015,11:51:38 AM,46.2397,6.25,-120.006,0.499804,-0.00390363,21.8,21.7,21.5,22.9,21.8,21.9,35.8198,0,0,0.9628,0.9796,0,0
4,8/10/2015,11:51:48 AM,56.793,6.25,-120.006,0.499804,-0.00390363,21.8,21.7,21.3,22.9,21.8,21.9,35.8198,0,0,0.9628,0.9796,0,0
5,8/10/2015,11:51:58 AM,20.1672,7.17383,-120.006,0.499804,-0.00390363,21.8,21.7,21.3,22.9,21.8,21.9,35.8198,0,0,0.9628,0.9796,0,0
6,8/10/2015,11:52:08 AM,45.3086,7.17383,-120.006,0.499804,-0.00390363,21.8,21.7,21.4,22.9,21.8,21.9,35.8198,0,0,0.9628,0.9796,0,0
7,8/10/2015,11:52:18 AM,41.2737,7.17383,-120.006,0.499804,-0.00390363,21.8,21.6,21.5,22.9,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
8,8/10/2015,11:52:27 AM,40.3423,7.17383,-120.006,0.499804,-0.00390363,21.8,21.7,21.5,22.9,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
9,8/10/2015,11:52:38 AM,40.3423,7.17383,-120.006,0.499804,-0.00390363,21.8,21.6,21.5,22.8,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
10,8/10/2015,11:52:48 AM,40.3423,7.17383,-120.006,0.499804,-0.00390363,21.8,21.7,21.5,22.9,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
11,8/10/2015,11:52:58 AM,39.4111,7.17383,-120.006,0.499804,-0.00390363,21.8,21.8,21.5,22.9,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
12,8/10/2015,11:53:08 AM,39.4111,7.17383,-120.006,0.499804,-0.00390363,21.8,21.7,21.6,22.7,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
13,8/10/2015,11:53:18 AM,40.3423,7.17383,-120.006,0.499804,-0.00390363,21.8,21.8,21.6,22.9,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
14,8/10/2015,11:53:28 AM,39.4111,7.17383,-120.006,0.499786,-0.00390363,21.8,21.8,21.4,22.9,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
15,8/10/2015,11:53:38 AM,39.4111,7.17383,-120.006,0.499786,-0.00390363,21.8,21.6,21.3,22.8,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
16,8/10/2015,11:53:48 AM,39.4111,7.17383,-120.006,0.499804,-0.00390363,21.8,21.6,21.5,22.9,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
17,8/10/2015,11:53:58 AM,39.4111,7.17383,-120.006,0.499804,-0.00390363,21.8,21.6,21.6,23,21.7,21.9,35.8198,0,0,0.9628,0.9796,0,0
18,8/10/2015,11:54:08 AM,39.4111,7.17383,-120.006,0.499804,-0.00390363,21.8,21.8,21.5,22.9,21.8,21.9,35.8198,0,0,0.9628,0.9796,0,0
19,8/10/2015,11:54:18 AM,39.4111,7.17383,-120.006,0.499786,-0.00390363,21.8,21.6,21.5,22.8,21.8,21.9,35.8198,0,0,0.9628,0.9796,0,0
