Seconds, Days, Fractional Density, Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa), Pore Pressure (MPa),Terzaghi Pressure (MPa), Solid Pressure (MPa),Temperature (C))
0.000000e+00,0.000000e+00,7.339048e-01,7.178232e-01,-2.215603e-02,2.026128e-03,9.139655e-01,-7.655586e-02,9.905214e-01,1.273103e+00,1.709000e+02
1.000048e+01,1.157463e-04,7.337667e-01,7.325163e-01,-1.893765e-03,1.153928e-03,1.099459e+00,-7.655586e-02,1.176015e+00,1.526154e+00,1.709000e+02
2.000096e+01,2.314926e-04,7.340589e-01,7.345830e-01,9.236522e-04,2.331198e-04,1.349133e+00,-7.655586e-02,1.425689e+00,1.865644e+00,1.710000e+02
3.000145e+01,3.472390e-04,7.342585e-01,7.359397e-01,2.768857e-03,1.638818e-04,1.623099e+00,-7.655586e-02,1.699655e+00,2.238235e+00,1.710000e+02
4.000193e+01,4.629853e-04,7.343911e-01,7.369948e-01,4.201447e-03,1.325471e-04,1.888033e+00,-7.655586e-02,1.964589e+00,2.598570e+00,1.710858e+02
5.000241e+01,5.787316e-04,7.346537e-01,7.378933e-01,5.419926e-03,1.161558e-04,2.212585e+00,-7.655586e-02,2.289140e+00,3.039389e+00,1.711000e+02
6.000289e+01,6.944779e-04,7.350520e-01,7.387090e-01,6.524674e-03,1.078748e-04,2.529842e+00,-7.655586e-02,2.606398e+00,3.469313e+00,1.711871e+02
7.000338e+01,8.102243e-04,7.355380e-01,7.394871e-01,7.577526e-03,1.048510e-04,2.856385e+00,-7.655586e-02,2.932940e+00,3.910920e+00,1.711089e+02
8.000386e+01,9.259706e-04,7.366608e-01,7.402597e-01,8.621795e-03,1.056453e-04,3.186714e+00,-7.655586e-02,3.263270e+00,4.353258e+00,1.711963e+02
9.000434e+01,1.041717e-03,7.378530e-01,7.410513e-01,9.690535e-03,1.094248e-04,3.434122e+00,-7.655586e-02,3.510678e+00,4.681408e+00,1.713000e+02
1.000048e+02,1.157463e-03,7.389961e-01,7.418816e-01,1.081040e-02,1.156452e-04,3.635791e+00,-7.655586e-02,3.712347e+00,4.946944e+00,1.713000e+02
1.100053e+02,1.273210e-03,7.403308e-01,7.427674e-01,1.200355e-02,1.239069e-04,3.841419e+00,-7.655586e-02,3.917975e+00,5.215639e+00,1.712140e+02
1.200058e+02,1.388956e-03,7.419671e-01,7.437225e-01,1.328865e-02,1.338828e-04,4.038556e+00,-7.655586e-02,4.115112e+00,5.469663e+00,1.712900e+02
1.300063e+02,1.504702e-03,7.436821e-01,7.447590e-01,1.468134e-02,1.452801e-04,4.208239e+00,-7.655586e-02,4.284794e+00,5.685038e+00,1.712127e+02
1.400068e+02,1.620449e-03,7.457131e-01,7.458867e-01,1.619440e-02,1.578186e-04,4.370793e+00,-7.655586e-02,4.447349e+00,5.887331e+00,1.712000e+02
