ID,Date (GMT),Time (24hr),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),CFluidTemp,DilaFDBK (mL),Isco Vol (mL),DnStream Flow (SCCM),Schu01 (in),Schu02 (in),PorePress(psig),US PorePressTemp(C),DS PorePressTemp(C)
1,4/4/2016,5:19:01 PM,0.223633,4.05566,-421.971,0.49973,-0.00445533,22.7,22.4,-270,22.4,22.1,22.6,35.7324,508.009,2.2776,0.170351,0.566516,-23.4045,94.3,120.8
2,4/4/2016,5:19:12 PM,0.223633,4.05566,-421.971,0.49973,-0.00445533,22.7,22.4,-270,22.4,22.1,22.6,35.7205,508.009,2.2776,0.170351,0.566516,-23.4045,111.2,110.3
3,4/4/2016,5:19:22 PM,0.223633,4.05566,-421.971,0.49973,-0.00427139,22.6,22.4,-270,22.4,22.1,22.6,35.7205,508.009,2.2776,0.170351,0.566516,-23.4045,61,62.8
4,4/5/2016,3:11:21 PM,29.968,4.05566,-433.154,0.499749,-0.00427139,132.4,104.3,58,22.4,22.1,60.8,35.7205,508.009,2.2776,0.103982,0.57917,-12.946,22.5,22.3
5,4/5/2016,3:28:02 PM,2.08276,4.05566,-433.154,0.499749,-0.00427139,186.3,141.6,82.6,22.6,21.8,94.1,35.7205,508.009,2.36659,0.0631701,0.581496,-12.946,22.7,22.4
6,4/5/2016,3:44:42 PM,2.08276,4.05566,-444.338,0.499749,-0.00445533,176.4,172.6,102.4,22.5,21.9,119.2,35.7324,508.009,2.36659,0.0300007,0.58314,-12.946,22.7,22.6
7,4/5/2016,4:01:21 PM,3.94165,6.22607,-421.971,0.499786,-0.00408757,189,183.3,117.8,22.6,22.1,136.7,35.7443,508.009,2.2776,0.00633895,0.013091,-11.1006,23.1,22.8
8,4/5/2016,4:18:01 PM,1.15308,4.05566,-455.521,0.49973,-0.00445533,182.9,185.8,129.5,22.7,22.3,147.5,35.7205,508.009,2.36659,-0.00451368,0.950881,-12.946,23.6,23.2
9,4/5/2016,4:34:41 PM,1.15308,4.05566,-455.521,0.499749,-0.00445533,182,187,138.2,22.7,22.3,153.9,35.7205,508.009,2.36659,-0.00824332,0.588568,-12.0232,24.1,23.6
10,4/5/2016,4:51:22 PM,1.15308,4.05566,-444.338,0.499749,-0.00445533,191.4,186.4,144.9,22.8,22.1,158.1,35.7324,508.009,2.2776,-0.010047,0.58925,-12.946,24.6,23.9
11,4/5/2016,5:08:02 PM,1.15308,4.05566,-455.521,0.499749,-0.00445533,186.6,185.6,149.8,22.9,22,161,35.7205,508.009,2.36659,-0.0101387,0.590491,-12.946,24.8,24.1
12,4/5/2016,5:24:41 PM,1.15308,4.05566,-444.338,0.499749,-0.00445533,185.3,184,153.5,23,22.2,163,35.7205,508.009,2.36659,-0.0110252,0.590584,-12.946,25.2,24.3
