Analysis by Brandon Lampe, performed on: 2016/07/04 17:26:46
Experimental results below begin at: 2016/04/08 09:26:02
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.337616e-01,7.312478e-01,-3.431766e-03,7.284568e-05,1.106276e+00,-7.655586e-02,1.182832e+00,1.535455e+00,1.709000e+02
1.001739e+01,1.159420e-04,1.001739e+01,1.159420e-04,7.340666e-01,7.317816e-01,-2.702043e-03,8.347779e-05,1.359664e+00,-7.655586e-02,1.436220e+00,1.879970e+00,1.710000e+02
2.003478e+01,2.318841e-04,2.003478e+01,2.318841e-04,7.342665e-01,7.324718e-01,-1.759307e-03,1.006278e-04,1.634093e+00,-7.655586e-02,1.710649e+00,2.253183e+00,1.710000e+02
3.005217e+01,3.478261e-04,3.005217e+01,3.478261e-04,7.343963e-01,7.332584e-01,-6.859870e-04,1.317812e-04,1.899066e+00,-7.655586e-02,1.975622e+00,2.613575e+00,1.710899e+02
4.006957e+01,4.637681e-04,4.006957e+01,4.637681e-04,7.346661e-01,7.344083e-01,8.808999e-04,1.668901e-04,2.227162e+00,-7.655586e-02,2.303718e+00,3.059179e+00,1.711000e+02
5.008696e+01,5.797101e-04,5.008696e+01,5.797101e-04,7.350705e-01,7.357143e-01,2.657620e-03,1.943891e-04,2.544097e+00,-7.655586e-02,2.620653e+00,3.488616e+00,1.711914e+02
6.010435e+01,6.956522e-04,6.010435e+01,6.956522e-04,7.355614e-01,7.372740e-01,4.775443e-03,2.266284e-04,2.871779e+00,-7.655586e-02,2.948335e+00,3.931723e+00,1.711040e+02
7.012174e+01,8.115942e-04,7.012174e+01,8.115942e-04,7.367183e-01,7.390623e-01,7.198072e-03,2.190895e-04,3.201596e+00,-7.655586e-02,3.278152e+00,4.373112e+00,1.712014e+02
8.013913e+01,9.275362e-04,8.013913e+01,9.275362e-04,7.379105e-01,7.405173e-01,9.164853e-03,1.856890e-04,3.444262e+00,-7.655586e-02,3.520818e+00,4.694778e+00,1.713000e+02
9.015652e+01,1.043478e-03,9.015652e+01,1.043478e-03,7.390555e-01,7.418169e-01,1.091831e-02,1.821161e-04,3.646271e+00,-7.655586e-02,3.722827e+00,4.960721e+00,1.713000e+02
1.001739e+02,1.159420e-03,1.001739e+02,1.159420e-03,7.404036e-01,7.432242e-01,1.281351e-02,1.896827e-04,3.852478e+00,-7.655586e-02,3.929034e+00,5.230055e+00,1.712088e+02
1.101913e+02,1.275362e-03,1.101913e+02,1.275362e-03,7.420603e-01,7.446414e-01,1.471856e-02,1.799158e-04,4.049383e+00,-7.655586e-02,4.125939e+00,5.483557e+00,1.712958e+02
1.202087e+02,1.391304e-03,1.202087e+02,1.391304e-03,7.437802e-01,7.459080e-01,1.641808e-02,1.696360e-04,4.217761e+00,-7.655586e-02,4.294317e+00,5.697082e+00,1.712072e+02
1.302261e+02,1.507246e-03,1.302261e+02,1.507246e-03,7.458352e-01,7.471765e-01,1.811718e-02,1.814468e-04,4.380300e+00,-7.655586e-02,4.456856e+00,5.899102e+00,1.712000e+02
1.402435e+02,1.623188e-03,1.402435e+02,1.623188e-03,7.478955e-01,7.486245e-01,2.005333e-02,2.057325e-04,4.559503e+00,-7.655586e-02,4.636059e+00,6.122249e+00,1.712000e+02
1.502609e+02,1.739130e-03,1.502609e+02,1.739130e-03,7.501944e-01,7.502625e-01,2.223899e-02,1.974911e-04,4.755294e+00,-7.655586e-02,4.831850e+00,6.364241e+00,1.712930e+02
1.602783e+02,1.855072e-03,1.602783e+02,1.855072e-03,7.518432e-01,7.515925e-01,2.401002e-02,1.860154e-04,4.909660e+00,-7.655586e-02,4.986216e+00,6.555434e+00,1.712038e+02
1.702957e+02,1.971014e-03,1.702957e+02,1.971014e-03,7.537154e-01,7.530638e-01,2.596577e-02,2.098554e-04,5.076343e+00,-7.655586e-02,5.152899e+00,6.760108e+00,1.711075e+02
1.803130e+02,2.086957e-03,1.803130e+02,2.086957e-03,7.557525e-01,7.547591e-01,2.821443e-02,2.196042e-04,5.263827e+00,-7.655586e-02,5.340383e+00,6.989756e+00,1.711000e+02
1.903304e+02,2.202899e-03,1.903304e+02,2.202899e-03,7.575960e-01,7.563844e-01,3.036549e-02,2.114266e-04,5.439679e+00,-7.655586e-02,5.516235e+00,7.204679e+00,1.711000e+02
2.003478e+02,2.318841e-03,2.003478e+02,2.318841e-03,7.594776e-01,7.579630e-01,3.245032e-02,2.217590e-04,5.607408e+00,-7.655586e-02,5.683964e+00,7.407489e+00,1.711000e+02
2.103652e+02,2.434783e-03,2.103652e+02,2.434783e-03,7.612268e-01,7.597524e-01,3.480838e-02,2.323315e-04,5.794486e+00,-7.655586e-02,5.871042e+00,7.636049e+00,1.711000e+02
2.203826e+02,2.550725e-03,2.203826e+02,2.550725e-03,7.632235e-01,7.614993e-01,3.710503e-02,2.571383e-04,5.974534e+00,-7.655586e-02,6.051090e+00,7.851777e+00,1.711000e+02
2.304000e+02,2.666667e-03,2.304000e+02,2.666667e-03,7.652040e-01,7.636765e-01,3.996009e-02,2.636309e-04,6.196111e+00,-7.655586e-02,6.272667e+00,8.120822e+00,1.711000e+02
2.404174e+02,2.782609e-03,2.404174e+02,2.782609e-03,7.670445e-01,7.655320e-01,4.238681e-02,2.495936e-04,6.383051e+00,-7.655586e-02,6.459607e+00,8.344868e+00,1.711000e+02
2.504348e+02,2.898551e-03,2.504348e+02,2.898551e-03,7.693124e-01,7.675049e-01,4.496065e-02,2.656870e-04,6.580460e+00,-7.655586e-02,6.657016e+00,8.576648e+00,1.711000e+02
2.604522e+02,3.014493e-03,2.604522e+02,3.014493e-03,7.711425e-01,7.696178e-01,4.770980e-02,2.680510e-04,6.790887e+00,-7.655586e-02,6.867443e+00,8.828987e+00,1.711000e+02
2.704696e+02,3.130435e-03,2.704696e+02,3.130435e-03,7.729567e-01,7.716377e-01,5.033099e-02,2.718405e-04,6.991618e+00,-7.655586e-02,7.068174e+00,9.067778e+00,1.711000e+02
2.804870e+02,3.246377e-03,2.804870e+02,3.246377e-03,7.749935e-01,7.738208e-01,5.315606e-02,2.733662e-04,7.208620e+00,-7.655586e-02,7.285176e+00,9.323750e+00,1.711000e+02
2.905043e+02,3.362319e-03,2.905043e+02,3.362319e-03,7.767681e-01,7.758755e-01,5.580782e-02,2.867095e-04,7.413426e+00,-7.655586e-02,7.489982e+00,9.565939e+00,1.711000e+02
3.005217e+02,3.478261e-03,3.005217e+02,3.478261e-03,7.793609e-01,7.782785e-01,5.890022e-02,2.752181e-04,7.654266e+00,-7.615141e-02,7.730418e+00,9.842768e+00,1.711000e+02
3.105391e+02,3.594203e-03,3.105391e+02,3.594203e-03,7.810980e-01,7.801654e-01,6.132176e-02,2.648955e-04,7.844817e+00,-7.047486e-02,7.915292e+00,1.006307e+01,1.711000e+02
3.205565e+02,3.710145e-03,3.205565e+02,3.710145e-03,7.830965e-01,7.824199e-01,6.420735e-02,2.753242e-04,8.074680e+00,-7.655586e-02,8.151236e+00,1.033242e+01,1.710999e+02
3.305739e+02,3.826087e-03,3.305739e+02,3.826087e-03,7.849635e-01,7.844807e-01,6.683782e-02,2.712336e-04,8.287373e+00,-7.655586e-02,8.363929e+00,1.057863e+01,1.710033e+02
3.405913e+02,3.942029e-03,3.405913e+02,3.942029e-03,7.866581e-01,7.866832e-01,6.964146e-02,2.692572e-04,8.517966e+00,-7.655586e-02,8.594522e+00,1.084880e+01,1.710000e+02
3.506087e+02,4.057971e-03,3.506087e+02,4.057971e-03,7.884579e-01,7.887241e-01,7.223232e-02,2.721299e-04,8.735182e+00,-7.655586e-02,8.811738e+00,1.109936e+01,1.710000e+02
3.606261e+02,4.173913e-03,3.606261e+02,4.173913e-03,7.905448e-01,7.909840e-01,7.509352e-02,2.715176e-04,8.980343e+00,-7.655586e-02,9.056899e+00,1.137997e+01,1.710000e+02
3.706435e+02,4.289855e-03,3.706435e+02,4.289855e-03,7.924501e-01,7.930262e-01,7.767212e-02,2.602983e-04,9.206684e+00,-7.655586e-02,9.283240e+00,1.163805e+01,1.710000e+02
3.806609e+02,4.405797e-03,3.806609e+02,4.405797e-03,7.944076e-01,7.951198e-01,8.030854e-02,2.741001e-04,9.444083e+00,-7.655586e-02,9.520639e+00,1.190802e+01,1.710000e+02
3.906783e+02,4.521739e-03,3.906783e+02,4.521739e-03,7.964231e-01,7.973932e-01,8.316366e-02,2.832677e-04,9.708885e+00,-7.655586e-02,9.785440e+00,1.221018e+01,1.710000e+02
4.006957e+02,4.637681e-03,4.006957e+02,4.637681e-03,7.982890e-01,7.996451e-01,8.598374e-02,2.615651e-04,9.979349e+00,-7.655586e-02,1.005591e+01,1.252027e+01,1.710000e+02
4.107130e+02,4.753623e-03,4.107130e+02,4.753623e-03,8.000682e-01,8.015828e-01,8.840406e-02,2.553010e-04,1.021945e+01,-7.655586e-02,1.029601e+01,1.279235e+01,1.710000e+02
4.207304e+02,4.869565e-03,4.207304e+02,4.869565e-03,8.020754e-01,8.037456e-01,9.109865e-02,2.521920e-04,1.049654e+01,-7.655586e-02,1.057309e+01,1.310561e+01,1.710000e+02
4.307478e+02,4.985507e-03,4.307478e+02,4.985507e-03,8.039786e-01,8.056431e-01,9.345667e-02,2.432473e-04,1.074852e+01,-7.655586e-02,1.082507e+01,1.338782e+01,1.710000e+02
4.407652e+02,5.101449e-03,4.407652e+02,5.101449e-03,8.060772e-01,8.076722e-01,9.597205e-02,2.273791e-04,1.102833e+01,-7.655586e-02,1.110489e+01,1.369990e+01,1.711000e+02
4.507826e+02,5.217391e-03,4.507826e+02,5.217391e-03,8.079009e-01,8.093216e-01,9.801216e-02,2.284225e-04,1.126465e+01,-7.655586e-02,1.134120e+01,1.396131e+01,1.711000e+02
4.608000e+02,5.333333e-03,4.608000e+02,5.333333e-03,8.100574e-01,8.113769e-01,1.005484e-01,2.328737e-04,1.157164e+01,-7.655586e-02,1.164819e+01,1.430291e+01,1.711000e+02
4.708174e+02,5.449275e-03,4.708174e+02,5.449275e-03,8.118438e-01,8.131064e-01,1.026777e-01,2.054761e-04,1.184210e+01,-7.655586e-02,1.191866e+01,1.460442e+01,1.711000e+02
4.808348e+02,5.565217e-03,4.808348e+02,5.565217e-03,8.137500e-01,8.147239e-01,1.046651e-01,2.063351e-04,1.210641e+01,-7.655586e-02,1.218297e+01,1.489483e+01,1.711000e+02
4.908522e+02,5.681159e-03,4.908522e+02,5.681159e-03,8.156601e-01,8.164746e-01,1.068116e-01,2.009073e-04,1.240642e+01,-7.655586e-02,1.248298e+01,1.522759e+01,1.711000e+02
5.008696e+02,5.797101e-03,5.008696e+02,5.797101e-03,8.175510e-01,8.180099e-01,1.086903e-01,2.007909e-04,1.268302e+01,-7.655586e-02,1.275957e+01,1.553051e+01,1.711000e+02
5.108870e+02,5.913043e-03,5.108870e+02,5.913043e-03,8.194386e-01,8.197657e-01,1.108344e-01,1.821798e-04,1.301699e+01,-7.655586e-02,1.309354e+01,1.590212e+01,1.711000e+02
