Analysis by Brandon Lampe, performed on: 2016/07/06 13:14:49
Experimental results below begin at: 2016/04/15 12:04:26
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
6.143040e+05,7.110000e+00,0.000000e+00,0.000000e+00,9.311430e-01,9.313247e-01,1.951097e-04,1.806871e-07,3.798772e+01,7.984690e+00,3.000303e+01,4.020641e+01,1.703667e+02
6.143140e+05,7.110116e+00,1.000051e+01,1.157467e-04,9.311180e-01,9.313264e-01,1.969167e-04,1.805328e-07,3.798596e+01,7.984690e+00,3.000127e+01,4.020539e+01,1.703000e+02
6.143240e+05,7.110231e+00,2.000102e+01,2.314933e-04,9.311170e-01,9.313281e-01,1.987205e-04,1.802247e-07,3.797713e+01,7.984690e+00,2.999244e+01,4.019594e+01,1.703000e+02
6.143340e+05,7.110347e+00,3.000153e+01,3.472400e-04,9.311227e-01,9.313298e-01,2.005213e-04,1.799178e-07,3.796333e+01,7.984690e+00,2.997864e+01,4.018092e+01,1.703000e+02
6.143440e+05,7.110463e+00,4.000205e+01,4.629866e-04,9.311928e-01,9.313314e-01,2.023191e-04,1.796121e-07,3.797785e+01,7.984690e+00,2.999316e+01,4.019408e+01,1.703000e+02
6.143540e+05,7.110579e+00,5.000256e+01,5.787333e-04,9.313490e-01,9.313331e-01,2.041138e-04,1.793075e-07,3.798772e+01,7.984690e+00,3.000303e+01,4.019929e+01,1.703000e+02
6.143640e+05,7.110694e+00,6.000307e+01,6.944800e-04,9.313953e-01,9.313348e-01,2.059054e-04,1.790042e-07,3.798772e+01,7.984690e+00,3.000303e+01,4.019769e+01,1.702687e+02
6.143740e+05,7.110810e+00,7.000358e+01,8.102266e-04,9.313797e-01,9.313364e-01,2.076940e-04,1.787020e-07,3.798987e+01,7.984690e+00,3.000518e+01,4.020054e+01,1.702000e+02
6.143840e+05,7.110926e+00,8.000409e+01,9.259733e-04,9.314576e-01,9.313381e-01,2.094796e-04,1.784010e-07,3.799591e+01,7.984690e+00,3.001122e+01,4.020432e+01,1.702277e+02
6.143940e+05,7.111042e+00,9.000460e+01,1.041720e-03,9.315115e-01,9.313398e-01,2.112622e-04,1.781011e-07,3.800182e+01,7.984690e+00,3.001713e+01,4.020880e+01,1.703000e+02
6.144040e+05,7.111157e+00,1.000051e+02,1.157467e-03,9.315007e-01,9.313414e-01,2.130418e-04,1.778024e-07,3.800697e+01,7.984690e+00,3.002228e+01,4.021470e+01,1.703000e+02
6.144140e+05,7.111273e+00,1.100056e+02,1.273213e-03,9.314417e-01,9.313431e-01,2.148185e-04,1.775049e-07,3.800697e+01,7.984690e+00,3.002228e+01,4.021674e+01,1.702789e+02
6.144240e+05,7.111389e+00,1.200061e+02,1.388960e-03,9.314520e-01,9.313447e-01,2.165921e-04,1.772085e-07,3.800697e+01,7.984690e+00,3.002228e+01,4.021638e+01,1.702263e+02
6.144340e+05,7.111505e+00,1.300066e+02,1.504707e-03,9.314593e-01,9.313464e-01,2.183628e-04,1.769132e-07,3.800697e+01,7.984690e+00,3.002228e+01,4.021613e+01,1.703000e+02
6.144440e+05,7.111620e+00,1.400072e+02,1.620453e-03,9.313597e-01,9.313480e-01,2.201306e-04,1.766190e-07,3.800697e+01,7.984690e+00,3.002228e+01,4.021958e+01,1.702663e+02
6.144540e+05,7.111736e+00,1.500077e+02,1.736200e-03,9.312950e-01,9.313497e-01,2.218954e-04,1.763260e-07,3.800697e+01,7.982328e+00,3.002464e+01,4.022199e+01,1.702000e+02
