Analysis by Brandon Lampe, performed on: 2016/07/06 15:57:34
Experimental results below begin at: 2016/04/23 09:43:18
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
1.297037e+06,1.501200e+01,0.000000e+00,0.000000e+00,9.485244e-01,9.484448e-01,-8.383710e-05,-2.709247e-06,2.892124e+01,8.056828e+00,2.086441e+01,3.005354e+01,1.694000e+02
1.297047e+06,1.501212e+01,1.018286e+01,1.178571e-04,9.484472e-01,9.484187e-01,-1.114250e-04,-3.674946e-06,2.869874e+01,8.050596e+00,2.064814e+01,2.982106e+01,1.694000e+02
1.297057e+06,1.501224e+01,2.036571e+01,2.357143e-04,9.483672e-01,9.483739e-01,-1.586800e-04,-4.362963e-06,2.831762e+01,8.050483e+00,2.026714e+01,2.942104e+01,1.693036e+02
1.297067e+06,1.501235e+01,3.054857e+01,3.535714e-04,9.483644e-01,9.483344e-01,-2.002798e-04,-2.736327e-06,2.798213e+01,8.056488e+00,1.992564e+01,2.906702e+01,1.693000e+02
1.297078e+06,1.501247e+01,4.073143e+01,4.714286e-04,9.483644e-01,9.483210e-01,-2.144072e-04,-1.253369e-06,2.786820e+01,8.051087e+00,1.981711e+01,2.894718e+01,1.693000e+02
1.297088e+06,1.501259e+01,5.091429e+01,5.892857e-04,9.483592e-01,9.483102e-01,-2.258056e-04,-1.729028e-06,2.777628e+01,8.056828e+00,1.971945e+01,2.885006e+01,1.693000e+02
1.297098e+06,1.501271e+01,6.109714e+01,7.071429e-04,9.482792e-01,9.482876e-01,-2.496201e-04,-3.027410e-06,2.758423e+01,8.056828e+00,1.952741e+01,2.864929e+01,1.692935e+02
1.297108e+06,1.501282e+01,7.128000e+01,8.250000e-04,9.482044e-01,9.482517e-01,-2.874609e-04,-3.537255e-06,2.727909e+01,8.056828e+00,1.922226e+01,2.832910e+01,1.692000e+02
1.297118e+06,1.501294e+01,8.146286e+01,9.428571e-04,9.481916e-01,9.482193e-01,-3.216589e-04,-2.471951e-06,2.700332e+01,8.056086e+00,1.894724e+01,2.803859e+01,1.692000e+02
1.297128e+06,1.501306e+01,9.164571e+01,1.060714e-03,9.481116e-01,9.482040e-01,-3.378040e-04,-1.678928e-06,2.687314e+01,8.050483e+00,1.882266e+01,2.790327e+01,1.691841e+02
1.297139e+06,1.501318e+01,1.018286e+02,1.178571e-03,9.480444e-01,9.481869e-01,-3.558514e-04,-2.268080e-06,2.672762e+01,8.050936e+00,1.867668e+01,2.775115e+01,1.691000e+02
1.297149e+06,1.501330e+01,1.120114e+02,1.296429e-03,9.480444e-01,9.481602e-01,-3.839951e-04,-3.068584e-06,2.650069e+01,8.056828e+00,1.844386e+01,2.751147e+01,1.691000e+02
1.297159e+06,1.501341e+01,1.221943e+02,1.414286e-03,9.480444e-01,9.481276e-01,-4.183453e-04,-2.731876e-06,2.622373e+01,8.055544e+00,1.816818e+01,2.721940e+01,1.691000e+02
1.297169e+06,1.501353e+01,1.323771e+02,1.532143e-03,9.480444e-01,9.481074e-01,-4.396317e-04,-2.171556e-06,2.605210e+01,8.050483e+00,1.800162e+01,2.703864e+01,1.691000e+02
