Analysis by Brandon Lampe, performed on: 2016/07/06 15:44:02
Experimental results below begin at: 2016/04/23 09:27:45
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
1.296104e+06,1.500120e+01,0.000000e+00,0.000000e+00,9.485244e-01,9.484696e-01,-5.768332e-05,-4.905873e-06,3.525953e+01,8.056828e+00,2.720271e+01,3.673580e+01,1.693000e+02
1.296114e+06,1.500132e+01,1.028571e+01,1.190476e-04,9.485244e-01,9.484218e-01,-1.081437e-04,-4.756361e-06,3.499166e+01,8.056828e+00,2.693483e+01,3.645339e+01,1.693000e+02
1.296124e+06,1.500144e+01,2.057143e+01,2.380952e-04,9.484546e-01,9.483768e-01,-1.555285e-04,-5.592939e-06,3.474012e+01,8.056828e+00,2.668329e+01,3.619027e+01,1.693000e+02
1.296135e+06,1.500156e+01,3.085714e+01,3.571429e-04,9.483038e-01,9.483127e-01,-2.231985e-04,-6.764545e-06,3.438092e+01,8.056828e+00,2.632410e+01,3.581596e+01,1.692129e+02
1.296145e+06,1.500168e+01,4.114286e+01,4.761905e-04,9.482136e-01,9.482449e-01,-2.946848e-04,-6.497482e-06,3.400149e+01,8.056828e+00,2.594467e+01,3.541846e+01,1.691115e+02
1.296155e+06,1.500180e+01,5.142857e+01,5.952381e-04,9.482044e-01,9.481859e-01,-3.568610e-04,-5.639021e-06,3.367150e+01,8.056828e+00,2.561468e+01,3.507070e+01,1.691000e+02
1.296165e+06,1.500191e+01,6.171429e+01,7.142857e-04,9.481288e-01,9.481349e-01,-4.106876e-04,-5.680548e-06,3.338584e+01,8.056828e+00,2.532901e+01,3.477157e+01,1.691000e+02
1.296176e+06,1.500203e+01,7.200000e+01,8.333333e-04,9.479688e-01,9.480751e-01,-4.737179e-04,-6.279123e-06,3.305136e+01,8.056828e+00,2.499453e+01,3.442323e+01,1.690056e+02
1.296186e+06,1.500215e+01,8.228571e+01,9.523810e-04,9.478844e-01,9.480124e-01,-5.398581e-04,-5.563637e-06,3.270039e+01,8.056828e+00,2.464356e+01,3.405532e+01,1.689000e+02
1.296196e+06,1.500227e+01,9.257143e+01,1.071429e-03,9.478844e-01,9.479666e-01,-5.881699e-04,-5.388554e-06,3.244404e+01,8.056828e+00,2.438722e+01,3.378488e+01,1.689000e+02
1.296207e+06,1.500239e+01,1.028571e+02,1.190476e-03,9.478844e-01,9.479073e-01,-6.507084e-04,-6.164628e-06,3.211223e+01,8.056828e+00,2.405540e+01,3.343482e+01,1.689000e+02
1.296217e+06,1.500251e+01,1.131429e+02,1.309524e-03,9.478720e-01,9.478464e-01,-7.149851e-04,-6.285328e-06,3.177121e+01,8.056828e+00,2.371438e+01,3.307538e+01,1.689000e+02
1.296227e+06,1.500263e+01,1.234286e+02,1.428571e-03,9.477920e-01,9.477848e-01,-7.800065e-04,-5.862711e-06,3.142626e+01,8.056828e+00,2.336943e+01,3.271354e+01,1.688845e+02
1.296237e+06,1.500275e+01,1.337143e+02,1.547619e-03,9.477244e-01,9.477321e-01,-8.355894e-04,-5.356160e-06,3.113141e+01,8.056828e+00,2.307458e+01,3.240418e+01,1.688000e+02
1.296248e+06,1.500287e+01,1.440000e+02,1.666667e-03,9.477085e-01,9.476804e-01,-8.901904e-04,-5.550058e-06,3.084177e+01,8.056828e+00,2.278495e+01,3.209897e+01,1.688000e+02
1.296258e+06,1.500299e+01,1.542857e+02,1.785714e-03,9.476285e-01,9.476239e-01,-9.497621e-04,-5.589133e-06,3.052579e+01,8.056828e+00,2.246897e+01,3.176756e+01,1.687802e+02
1.296268e+06,1.500310e+01,1.645714e+02,1.904762e-03,9.475485e-01,9.475714e-01,-1.005167e-03,-5.739960e-06,3.023193e+01,8.056828e+00,2.217510e+01,3.145943e+01,1.687000e+02
1.296279e+06,1.500322e+01,1.748571e+02,2.023810e-03,9.474685e-01,9.475120e-01,-1.067841e-03,-6.066593e-06,2.989953e+01,8.056828e+00,2.184271e+01,3.111058e+01,1.686802e+02
1.296289e+06,1.500334e+01,1.851429e+02,2.142857e-03,9.474044e-01,9.474532e-01,-1.129965e-03,-6.297873e-06,2.957007e+01,8.056828e+00,2.151325e+01,3.076439e+01,1.686000e+02
1.296299e+06,1.500346e+01,1.954286e+02,2.261905e-03,9.474044e-01,9.473893e-01,-1.197397e-03,-5.845761e-06,2.921249e+01,8.056828e+00,2.115566e+01,3.038695e+01,1.686000e+02
1.296309e+06,1.500358e+01,2.057143e+02,2.380952e-03,9.474044e-01,9.473392e-01,-1.250221e-03,-4.837608e-06,2.893238e+01,8.056828e+00,2.087556e+01,3.009130e+01,1.686000e+02
1.296320e+06,1.500370e+01,2.160000e+02,2.500000e-03,9.474044e-01,9.472950e-01,-1.296914e-03,-4.539596e-06,2.868480e+01,8.056828e+00,2.062797e+01,2.982998e+01,1.686000e+02
