Analysis by Brandon Lampe, performed on: 2016/09/01 07:46:53
Experimental results below begin at: 2016/04/08 09:26:02
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.337616e-01,7.316394e-01,-2.896381e-03,6.065947e-05,1.106276e+00,-7.655586e-02,1.182832e+00,1.535455e+00,1.709000e+02
1.010717e+01,1.169811e-04,1.010717e+01,1.169811e-04,7.340684e-01,7.320881e-01,-2.283285e-03,7.079738e-05,1.362124e+00,-7.655586e-02,1.438680e+00,1.883316e+00,1.710000e+02
2.021434e+01,2.339623e-04,2.021434e+01,2.339623e-04,7.342701e-01,7.326873e-01,-1.465259e-03,8.788921e-05,1.639012e+00,-7.655586e-02,1.715568e+00,2.259871e+00,1.710000e+02
3.032151e+01,3.509434e-04,3.032151e+01,3.509434e-04,7.343997e-01,7.333899e-01,-5.066629e-04,1.191692e-04,1.906172e+00,-7.655586e-02,1.982727e+00,2.623238e+00,1.710925e+02
4.042868e+01,4.679245e-04,4.042868e+01,4.679245e-04,7.346764e-01,7.344544e-01,9.436674e-04,1.546152e-04,2.239193e+00,-7.655586e-02,2.315749e+00,3.075510e+00,1.711000e+02
5.053585e+01,5.849057e-04,5.053585e+01,5.849057e-04,7.350889e-01,7.356857e-01,2.618780e-03,1.842650e-04,2.558252e+00,-7.655586e-02,2.634808e+00,3.507783e+00,1.711958e+02
6.064302e+01,7.018868e-04,6.064302e+01,7.018868e-04,7.355993e-01,7.371952e-01,4.668463e-03,2.173665e-04,2.889498e+00,-7.655586e-02,2.966054e+00,3.955604e+00,1.711017e+02
7.075019e+01,8.188679e-04,7.075019e+01,8.188679e-04,7.367933e-01,7.389254e-01,7.012701e-03,2.115629e-04,3.216997e+00,-7.655586e-02,3.293553e+00,4.393562e+00,1.712081e+02
8.085736e+01,9.358491e-04,8.085736e+01,9.358491e-04,7.379926e-01,7.403546e-01,8.945068e-03,1.826918e-04,3.458745e+00,-7.655586e-02,3.535301e+00,4.713873e+00,1.713000e+02
9.096453e+01,1.052830e-03,9.096453e+01,1.052830e-03,7.391531e-01,7.416592e-01,1.070569e-02,1.819775e-04,3.662674e+00,-7.655586e-02,3.739230e+00,4.982247e+00,1.712976e+02
