Analysis by Brandon Lampe, performed on: 2016/11/18 13:57:
Experimental results below begin at: 2016/04/14 14:14:02
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
5.356800e+05,6.200000e+00,0.000000e+00,0.000000e+00,9.300326e-01,9.302037e-01,1.839046e-04,3.639725e-08,2.996488e+01,-8.628787e-02,3.005117e+01,3.222566e+01,1.699529e+02
5.357800e+05,6.201158e+00,1.000289e+02,1.157742e-03,9.300987e-01,9.302071e-01,1.875454e-04,3.639718e-08,2.996231e+01,-8.883736e-02,3.005115e+01,3.222080e+01,1.699930e+02
5.358801e+05,6.202315e+00,2.000579e+02,2.315485e-03,9.300450e-01,9.302104e-01,1.911861e-04,3.639705e-08,2.995270e+01,-8.928276e-02,3.004199e+01,3.221237e+01,1.700000e+02
5.359801e+05,6.203473e+00,3.000868e+02,3.473227e-03,9.299659e-01,9.302138e-01,1.948269e-04,3.639692e-08,2.994161e+01,-8.928276e-02,3.003089e+01,3.220318e+01,1.700000e+02
5.360801e+05,6.204631e+00,4.001158e+02,4.630970e-03,9.299205e-01,9.302172e-01,1.984676e-04,3.639678e-08,2.993764e+01,-8.846584e-02,3.002610e+01,3.220043e+01,1.700000e+02
5.361801e+05,6.205789e+00,5.001447e+02,5.788712e-03,9.299467e-01,9.302206e-01,2.021084e-04,3.639665e-08,2.994877e+01,-8.591635e-02,3.003469e+01,3.221130e+01,1.700000e+02
5.362802e+05,6.206946e+00,6.001737e+02,6.946454e-03,9.299728e-01,9.302240e-01,2.057491e-04,3.639652e-08,2.995990e+01,-8.336685e-02,3.004327e+01,3.222217e+01,1.700000e+02
5.363802e+05,6.208104e+00,7.002026e+02,8.104197e-03,9.300103e-01,9.302274e-01,2.093898e-04,3.639639e-08,2.996399e+01,-8.291862e-02,3.004691e+01,3.222522e+01,1.700000e+02
5.364802e+05,6.209262e+00,8.002315e+02,9.261939e-03,9.300502e-01,9.302308e-01,2.130304e-04,3.639625e-08,2.996657e+01,-8.291862e-02,3.004948e+01,3.222661e+01,1.700000e+02
5.365803e+05,6.210420e+00,9.002605e+02,1.041968e-02,9.300633e-01,9.302342e-01,2.166711e-04,3.639612e-08,2.996742e+01,-8.291862e-02,3.005034e+01,3.222707e+01,1.699866e+02
5.366803e+05,6.211577e+00,1.000289e+03,1.157742e-02,9.300237e-01,9.302375e-01,2.203118e-04,3.639599e-08,2.996487e+01,-8.291862e-02,3.004778e+01,3.222570e+01,1.699468e+02
5.367803e+05,6.212735e+00,1.100318e+03,1.273517e-02,9.299841e-01,9.302409e-01,2.239524e-04,3.639586e-08,2.996231e+01,-8.291862e-02,3.004523e+01,3.222434e+01,1.699070e+02
5.368803e+05,6.213893e+00,1.200347e+03,1.389291e-02,9.300205e-01,9.302443e-01,2.275931e-04,3.639572e-08,2.996821e+01,-8.501704e-02,3.005322e+01,3.222956e+01,1.699330e+02
5.369804e+05,6.215051e+00,1.300376e+03,1.505065e-02,9.300733e-01,9.302477e-01,2.312337e-04,3.639559e-08,2.997591e+01,-8.756654e-02,3.006348e+01,3.223621e+01,1.699730e+02
5.370804e+05,6.216208e+00,1.400405e+03,1.620839e-02,9.300961e-01,9.302511e-01,2.348743e-04,3.639546e-08,2.997776e+01,-8.928276e-02,3.006704e+01,3.223753e+01,1.700000e+02
5.371804e+05,6.217366e+00,1.500434e+03,1.736614e-02,9.300570e-01,9.302545e-01,2.385149e-04,3.639533e-08,2.996751e+01,-8.928276e-02,3.005680e+01,3.222787e+01,1.700000e+02
5.372805e+05,6.218524e+00,1.600463e+03,1.852388e-02,9.300179e-01,9.302579e-01,2.421555e-04,3.639519e-08,2.995727e+01,-8.928276e-02,3.004655e+01,3.221822e+01,1.700000e+02
5.373805e+05,6.219682e+00,1.700492e+03,1.968162e-02,9.299895e-01,9.302612e-01,2.457960e-04,3.639506e-08,2.994841e+01,-8.718717e-02,3.003560e+01,3.220952e+01,1.699671e+02
5.374805e+05,6.220839e+00,1.800521e+03,2.083936e-02,9.299633e-01,9.302646e-01,2.494366e-04,3.639493e-08,2.993984e+01,-8.463768e-02,3.002448e+01,3.220103e+01,1.699270e+02
5.375805e+05,6.221997e+00,1.900550e+03,2.199711e-02,9.299713e-01,9.302680e-01,2.530771e-04,3.639480e-08,2.994104e+01,-8.374905e-02,3.002479e+01,3.220197e+01,1.698870e+02
5.376806e+05,6.223155e+00,2.000579e+03,2.315485e-02,9.300501e-01,9.302714e-01,2.567176e-04,3.639466e-08,2.996245e+01,-8.629855e-02,3.004875e+01,3.222245e+01,1.698469e+02
5.377806e+05,6.224313e+00,2.100608e+03,2.431259e-02,9.301290e-01,9.302748e-01,2.603582e-04,3.639453e-08,2.998387e+01,-8.884804e-02,3.007271e+01,3.224292e+01,1.698068e+02
5.378806e+05,6.225470e+00,2.200637e+03,2.547033e-02,9.300986e-01,9.302782e-01,2.639987e-04,3.639440e-08,2.998115e+01,-8.928276e-02,3.007043e+01,3.224108e+01,1.698331e+02
5.379807e+05,6.226628e+00,2.300666e+03,2.662808e-02,9.300459e-01,9.302816e-01,2.676391e-04,3.639427e-08,2.997346e+01,-8.928276e-02,3.006275e+01,3.223466e+01,1.698730e+02
5.380807e+05,6.227786e+00,2.400695e+03,2.778582e-02,9.300103e-01,9.302850e-01,2.712796e-04,3.639413e-08,2.996577e+01,-8.928276e-02,3.005506e+01,3.222762e+01,1.699000e+02
5.381807e+05,6.228944e+00,2.500724e+03,2.894356e-02,9.300105e-01,9.302883e-01,2.749201e-04,3.639400e-08,2.995807e+01,-8.928276e-02,3.004735e+01,3.221933e+01,1.699000e+02
5.382808e+05,6.230101e+00,2.600753e+03,3.010130e-02,9.300106e-01,9.302917e-01,2.785605e-04,3.639387e-08,2.995036e+01,-8.928276e-02,3.003964e+01,3.221104e+01,1.699000e+02
5.383808e+05,6.231259e+00,2.700781e+03,3.125904e-02,9.300762e-01,9.302951e-01,2.822010e-04,3.639374e-08,2.995755e+01,-8.717082e-02,3.004472e+01,3.221633e+01,1.699332e+02
5.384808e+05,6.232417e+00,2.800810e+03,3.241679e-02,9.301553e-01,9.302985e-01,2.858414e-04,3.639360e-08,2.996783e+01,-8.462133e-02,3.005245e+01,3.222444e+01,1.699732e+02
5.385808e+05,6.233575e+00,2.900839e+03,3.357453e-02,9.302271e-01,9.303019e-01,2.894818e-04,3.639347e-08,2.997724e+01,-8.291862e-02,3.006016e+01,3.223194e+01,1.699867e+02
5.386809e+05,6.234732e+00,3.000868e+03,3.473227e-02,9.302843e-01,9.303053e-01,2.931222e-04,3.639334e-08,2.998492e+01,-8.291862e-02,3.006784e+01,3.223821e+01,1.699468e+02
5.387809e+05,6.235890e+00,3.100897e+03,3.589001e-02,9.303415e-01,9.303087e-01,2.967626e-04,3.639321e-08,2.999260e+01,-8.291862e-02,3.007552e+01,3.224448e+01,1.699069e+02
5.388809e+05,6.237048e+00,3.200926e+03,3.704776e-02,9.302601e-01,9.303120e-01,3.004029e-04,3.639307e-08,2.998330e+01,-8.291862e-02,3.006622e+01,3.223731e+01,1.698669e+02
5.389810e+05,6.238205e+00,3.300955e+03,3.820550e-02,9.301498e-01,9.303154e-01,3.040433e-04,3.639294e-08,2.997046e+01,-8.291862e-02,3.005337e+01,3.222734e+01,1.698268e+02
5.390810e+05,6.239363e+00,3.400984e+03,3.936324e-02,9.300674e-01,9.303188e-01,3.076836e-04,3.639281e-08,2.995818e+01,-8.376257e-02,3.004194e+01,3.221706e+01,1.698133e+02
5.391810e+05,6.240521e+00,3.501013e+03,4.052098e-02,9.300413e-01,9.303222e-01,3.113239e-04,3.639268e-08,2.994704e+01,-8.631206e-02,3.003335e+01,3.220618e+01,1.698533e+02
5.392810e+05,6.241679e+00,3.601042e+03,4.167873e-02,9.300153e-01,9.303256e-01,3.149643e-04,3.639254e-08,2.993591e+01,-8.886155e-02,3.002477e+01,3.219531e+01,1.698934e+02
5.393811e+05,6.242836e+00,3.701071e+03,4.283647e-02,9.300441e-01,9.303290e-01,3.186046e-04,3.639241e-08,2.993906e+01,-8.928276e-02,3.002834e+01,3.219772e+01,1.699000e+02
5.394811e+05,6.243994e+00,3.801100e+03,4.399421e-02,9.300837e-01,9.303324e-01,3.222448e-04,3.639228e-08,2.994503e+01,-8.928276e-02,3.003431e+01,3.220277e+01,1.699000e+02
5.395811e+05,6.245152e+00,3.901129e+03,4.515195e-02,9.300971e-01,9.303358e-01,3.258851e-04,3.639215e-08,2.994790e+01,-8.928276e-02,3.003719e+01,3.220539e+01,1.698868e+02
5.396812e+05,6.246310e+00,4.001158e+03,4.630970e-02,9.300574e-01,9.303391e-01,3.295254e-04,3.639201e-08,2.994448e+01,-8.928276e-02,3.003376e+01,3.220309e+01,1.698467e+02
5.397812e+05,6.247467e+00,4.101187e+03,4.746744e-02,9.300176e-01,9.303425e-01,3.331656e-04,3.639188e-08,2.994105e+01,-8.928276e-02,3.003034e+01,3.220079e+01,1.698067e+02
5.398812e+05,6.248625e+00,4.201216e+03,4.862518e-02,9.300330e-01,9.303459e-01,3.368059e-04,3.639175e-08,2.994048e+01,-8.715731e-02,3.002764e+01,3.219948e+01,1.697666e+02
5.399812e+05,6.249783e+00,4.301245e+03,4.978292e-02,9.300595e-01,9.303493e-01,3.404461e-04,3.639162e-08,2.994048e+01,-8.460782e-02,3.002509e+01,3.219837e+01,1.697265e+02
5.400813e+05,6.250941e+00,4.401274e+03,5.094067e-02,9.301332e-01,9.303527e-01,3.440863e-04,3.639148e-08,2.994595e+01,-8.291862e-02,3.002887e+01,3.220157e+01,1.697135e+02
