Analysis by Brandon Lampe, performed on: 2016/07/06 15:15:37
Experimental results below begin at: 2016/04/19 09:20:16
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
9.500544e+05,1.099600e+01,0.000000e+00,0.000000e+00,9.437103e-01,9.434715e-01,-2.530836e-04,1.316861e-08,3.800029e+01,7.578419e+00,3.042187e+01,3.981486e+01,1.701917e+02
9.500644e+05,1.099612e+01,1.000112e+01,1.157537e-04,9.437250e-01,9.434716e-01,-2.529519e-04,1.316861e-08,3.800054e+01,7.892546e+00,3.010800e+01,3.979590e+01,1.701997e+02
9.500744e+05,1.099623e+01,2.000223e+01,2.315073e-04,9.437152e-01,9.434718e-01,-2.528202e-04,1.316861e-08,3.800055e+01,7.907180e+00,3.009337e+01,3.979537e+01,1.702039e+02
9.500844e+05,1.099635e+01,3.000335e+01,3.472610e-04,9.437045e-01,9.434719e-01,-2.526885e-04,1.316861e-08,3.800055e+01,7.910409e+00,3.009014e+01,3.979554e+01,1.702079e+02
9.500944e+05,1.099646e+01,4.000447e+01,4.630147e-04,9.436937e-01,9.434720e-01,-2.525568e-04,1.316861e-08,3.800055e+01,7.913638e+00,3.008691e+01,3.979571e+01,1.702119e+02
9.501044e+05,1.099658e+01,5.000559e+01,5.787684e-04,9.436830e-01,9.434721e-01,-2.524251e-04,1.316860e-08,3.800055e+01,7.916867e+00,3.008368e+01,3.979588e+01,1.702159e+02
9.501144e+05,1.099669e+01,6.000670e+01,6.945220e-04,9.436723e-01,9.434723e-01,-2.522934e-04,1.316860e-08,3.800055e+01,7.920096e+00,3.008046e+01,3.979605e+01,1.702199e+02
9.501244e+05,1.099681e+01,7.000782e+01,8.102757e-04,9.436616e-01,9.434724e-01,-2.521617e-04,1.316860e-08,3.800055e+01,7.923325e+00,3.007723e+01,3.979622e+01,1.702239e+02
9.501344e+05,1.099693e+01,8.000894e+01,9.260294e-04,9.436508e-01,9.434725e-01,-2.520300e-04,1.316860e-08,3.800055e+01,7.926554e+00,3.007400e+01,3.979639e+01,1.702279e+02
9.501444e+05,1.099704e+01,9.001006e+01,1.041783e-03,9.436401e-01,9.434726e-01,-2.518983e-04,1.316860e-08,3.800055e+01,7.929783e+00,3.007077e+01,3.979656e+01,1.702319e+02
9.501544e+05,1.099716e+01,1.000112e+02,1.157537e-03,9.436294e-01,9.434728e-01,-2.517666e-04,1.316860e-08,3.800055e+01,7.933013e+00,3.006754e+01,3.979673e+01,1.702359e+02
9.501644e+05,1.099727e+01,1.100123e+02,1.273290e-03,9.436186e-01,9.434729e-01,-2.516349e-04,1.316860e-08,3.800055e+01,7.936242e+00,3.006431e+01,3.979690e+01,1.702399e+02
9.501744e+05,1.099739e+01,1.200134e+02,1.389044e-03,9.436079e-01,9.434730e-01,-2.515032e-04,1.316860e-08,3.800055e+01,7.939471e+00,3.006108e+01,3.979707e+01,1.702439e+02
9.501844e+05,1.099750e+01,1.300145e+02,1.504798e-03,9.435972e-01,9.434731e-01,-2.513715e-04,1.316860e-08,3.800055e+01,7.942700e+00,3.005785e+01,3.979724e+01,1.702479e+02
9.501944e+05,1.099762e+01,1.400156e+02,1.620551e-03,9.435865e-01,9.434733e-01,-2.512398e-04,1.316860e-08,3.800055e+01,7.945929e+00,3.005462e+01,3.979741e+01,1.702519e+02
9.502044e+05,1.099774e+01,1.500168e+02,1.736305e-03,9.435757e-01,9.434734e-01,-2.511081e-04,1.316860e-08,3.800055e+01,7.949158e+00,3.005139e+01,3.979758e+01,1.702559e+02
9.502144e+05,1.099785e+01,1.600179e+02,1.852059e-03,9.435650e-01,9.434735e-01,-2.509764e-04,1.316860e-08,3.800055e+01,7.952387e+00,3.004816e+01,3.979774e+01,1.702599e+02
