Analysis by Brandon Lampe, performed on: 2016/07/13 09:47:59
Experimental results below begin at: 2016/07/03 11:21:14
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
7.437312e+06,8.608000e+01,0.000000e+00,0.000000e+00,8.224604e-01,8.226969e-01,2.875066e-04,3.042617e-06,8.992172e+00,-1.041338e-01,9.096306e+00,1.095574e+01,2.100000e+01
7.437322e+06,8.608012e+01,1.000772e+01,1.158301e-04,8.225039e-01,8.227219e-01,3.179562e-04,4.626394e-06,9.098767e+00,-1.041338e-01,9.202901e+00,1.108475e+01,2.100000e+01
7.437332e+06,8.608023e+01,2.001544e+01,2.316602e-04,8.226273e-01,8.227731e-01,3.801059e-04,6.015621e-06,9.316344e+00,-9.629098e-02,9.412635e+00,1.134587e+01,2.100000e+01
7.437342e+06,8.608035e+01,3.002317e+01,3.474903e-04,8.226820e-01,8.228210e-01,4.383615e-04,5.798612e-06,9.520301e+00,-1.026644e-01,9.622966e+00,1.159440e+01,2.108268e+01
7.437352e+06,8.608046e+01,4.003089e+01,4.633205e-04,8.227371e-01,8.228686e-01,4.961677e-04,4.815755e-06,9.722696e+00,-1.041338e-01,9.826830e+00,1.183994e+01,2.110000e+01
7.437362e+06,8.608058e+01,5.003861e+01,5.791506e-04,8.227903e-01,8.229003e-01,5.347510e-04,4.590470e-06,9.857794e+00,-1.041338e-01,9.961927e+00,1.200336e+01,2.118263e+01
7.437372e+06,8.608069e+01,6.004633e+01,6.949807e-04,8.227997e-01,8.229442e-01,5.880480e-04,5.405321e-06,1.004442e+01,-1.041338e-01,1.014855e+01,1.223004e+01,2.120000e+01
7.437382e+06,8.608081e+01,7.005405e+01,8.108108e-04,8.228500e-01,8.229893e-01,6.429409e-04,4.991718e-06,1.023664e+01,-1.041338e-01,1.034078e+01,1.246289e+01,2.120000e+01
7.437392e+06,8.608093e+01,8.006178e+01,9.266409e-04,8.229026e-01,8.230264e-01,6.879594e-04,4.718053e-06,1.039430e+01,-1.041338e-01,1.049843e+01,1.265367e+01,2.120000e+01
7.437402e+06,8.608104e+01,9.006950e+01,1.042471e-03,8.229087e-01,8.230671e-01,7.373748e-04,4.536312e-06,1.056735e+01,-9.622843e-02,1.066358e+01,1.286218e+01,2.129316e+01
7.437412e+06,8.608116e+01,1.000772e+02,1.158301e-03,8.229536e-01,8.231011e-01,7.787557e-04,4.529563e-06,1.071228e+01,-1.027173e-01,1.081500e+01,1.303897e+01,2.130000e+01
7.437422e+06,8.608127e+01,1.100849e+02,1.274131e-03,8.230620e-01,8.231417e-01,8.280360e-04,4.728968e-06,1.088488e+01,-9.747698e-02,1.098236e+01,1.324582e+01,2.130000e+01
7.437432e+06,8.608139e+01,1.200927e+02,1.389961e-03,8.230893e-01,8.231790e-01,8.734081e-04,4.920970e-06,1.104380e+01,-1.025879e-01,1.114639e+01,1.343955e+01,2.138178e+01
7.437442e+06,8.608151e+01,1.301004e+02,1.505792e-03,8.231415e-01,8.232228e-01,9.265314e-04,5.419372e-06,1.122988e+01,-9.600473e-02,1.132589e+01,1.366334e+01,2.140000e+01
7.437452e+06,8.608162e+01,1.401081e+02,1.621622e-03,8.231945e-01,8.232683e-01,9.818793e-04,4.848294e-06,1.142377e+01,-1.035413e-01,1.152731e+01,1.389960e+01,2.149302e+01
7.437462e+06,8.608174e+01,1.501158e+02,1.737452e-03,8.232466e-01,8.233027e-01,1.023572e-03,4.334550e-06,1.156982e+01,-9.653498e-02,1.166636e+01,1.407462e+01,2.150000e+01
7.437472e+06,8.608185e+01,1.601236e+02,1.853282e-03,8.232522e-01,8.233398e-01,1.068637e-03,4.608286e-06,1.172770e+01,-1.036155e-01,1.183131e+01,1.426782e+01,2.150000e+01
7.437482e+06,8.608197e+01,1.701313e+02,1.969112e-03,8.232980e-01,8.233786e-01,1.115809e-03,4.832099e-06,1.189296e+01,-1.041338e-01,1.199710e+01,1.446787e+01,2.158393e+01
7.437492e+06,8.608208e+01,1.801390e+02,2.084942e-03,8.233067e-01,8.234194e-01,1.165354e-03,4.876980e-06,1.206655e+01,-9.741964e-02,1.216397e+01,1.467711e+01,2.160000e+01
7.437502e+06,8.608220e+01,1.901467e+02,2.200772e-03,8.233517e-01,8.234590e-01,1.213424e-03,4.561092e-06,1.223498e+01,-9.564759e-02,1.233063e+01,1.488049e+01,2.160000e+01
7.437512e+06,8.608232e+01,2.001544e+02,2.316602e-03,8.234051e-01,8.234946e-01,1.256646e-03,4.952821e-06,1.238643e+01,-1.024791e-01,1.248891e+01,1.506491e+01,2.160000e+01
