Analysis by Brandon Lampe, performed on: 2017/07/17 20:34:
Experimental results below begin at: 2016/08/31 10:32:18
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.931000e-01,7.886522e-01,-5.623909e-03,0.000000e+00,9.101034e-02,2.521717e-02,6.579317e-02,1.081741e-01,1.710000e+02
1.009870e+01,1.168831e-04,1.009870e+01,1.168831e-04,7.930916e-01,7.886522e-01,-5.623909e-03,0.000000e+00,2.086987e-01,2.450430e-02,1.841944e-01,2.567529e-01,1.709831e+02
2.019740e+01,2.337662e-04,2.019740e+01,2.337662e-04,7.930331e-01,7.886522e-01,-5.623909e-03,0.000000e+00,3.968970e-01,1.956905e-02,3.773280e-01,4.953726e-01,1.708662e+02
3.029610e+01,3.506494e-04,3.029610e+01,3.506494e-04,7.930000e-01,7.886522e-01,-5.623909e-03,4.371722e-17,8.489410e-01,1.677241e-02,8.321685e-01,1.066165e+00,1.707494e+02
4.039481e+01,4.675325e-04,4.039481e+01,4.675325e-04,7.896234e-01,7.886522e-01,-5.623909e-03,1.836596e-15,1.606215e+00,2.247537e-02,1.583739e+00,2.028165e+00,1.705649e+02
5.049351e+01,5.844156e-04,5.049351e+01,5.844156e-04,7.880000e-01,7.886522e-01,-5.623909e-03,4.352058e-14,1.870678e+00,2.521717e-02,1.845461e+00,2.367172e+00,1.703312e+02
6.059221e+01,7.012987e-04,6.059221e+01,7.012987e-04,7.879000e-01,7.886522e-01,-5.623909e-03,7.133829e-13,2.213539e+00,2.521717e-02,2.188322e+00,2.802628e+00,1.701987e+02
7.069091e+01,8.181818e-04,7.069091e+01,8.181818e-04,7.879091e-01,7.886522e-01,-5.623909e-03,8.418129e-12,2.632599e+00,2.521717e-02,2.607382e+00,3.334460e+00,1.700909e+02
8.078961e+01,9.350649e-04,8.078961e+01,9.350649e-04,7.879675e-01,7.886522e-01,-5.623909e-03,7.424329e-11,2.815876e+00,2.521717e-02,2.790659e+00,3.566808e+00,1.700325e+02
9.088831e+01,1.051948e-03,9.088831e+01,1.051948e-03,7.879481e-01,7.886522e-01,-5.623908e-03,5.058736e-10,3.101385e+00,2.521717e-02,3.076168e+00,3.929241e+00,1.699481e+02
1.009870e+02,1.168831e-03,1.009870e+02,1.168831e-03,7.878312e-01,7.886522e-01,-5.623899e-03,2.741635e-09,3.475568e+00,2.521717e-02,3.450351e+00,4.404774e+00,1.698312e+02
1.110857e+02,1.285714e-03,1.110857e+02,1.285714e-03,7.879714e-01,7.886522e-01,-5.623852e-03,1.212501e-08,3.849507e+00,2.521717e-02,3.824290e+00,4.878553e+00,1.696286e+02
1.211844e+02,1.402597e-03,1.211844e+02,1.402597e-03,7.878000e-01,7.886524e-01,-5.623654e-03,4.475789e-08,4.251514e+00,2.499785e-02,4.226516e+00,5.389959e+00,1.695948e+02
1.312831e+02,1.519481e-03,1.312831e+02,1.519481e-03,7.877805e-01,7.886530e-01,-5.622948e-03,1.406858e-07,4.607409e+00,1.841822e-02,4.588990e+00,5.843632e+00,1.693610e+02
1.413818e+02,1.636364e-03,1.413818e+02,1.636364e-03,7.876818e-01,7.886546e-01,-5.620812e-03,3.832851e-07,4.930994e+00,2.521717e-02,4.905777e+00,6.253338e+00,1.691818e+02
1.514805e+02,1.753247e-03,1.514805e+02,1.753247e-03,7.876234e-01,7.886591e-01,-5.615207e-03,9.194531e-07,5.137644e+00,2.521717e-02,5.112427e+00,6.516170e+00,1.691234e+02
1.615792e+02,1.870130e-03,1.615792e+02,1.870130e-03,7.876701e-01,7.886693e-01,-5.602242e-03,1.969564e-06,5.446141e+00,2.521717e-02,5.420924e+00,6.907443e+00,1.689597e+02
1.716779e+02,1.987013e-03,1.716779e+02,1.987013e-03,7.877870e-01,7.886904e-01,-5.575427e-03,3.814873e-06,5.828034e+00,2.521717e-02,5.802817e+00,7.391188e+00,1.688130e+02
1.817766e+02,2.103896e-03,1.817766e+02,2.103896e-03,7.878000e-01,7.887301e-01,-5.525191e-03,6.756315e-06,6.203392e+00,1.710229e-02,6.186290e+00,7.869717e+00,1.685961e+02
1.918753e+02,2.220779e-03,1.918753e+02,2.220779e-03,7.877792e-01,7.887981e-01,-5.438967e-03,1.105062e-05,6.585853e+00,2.521717e-02,6.560636e+00,8.353230e+00,1.684792e+02
2.019740e+02,2.337662e-03,2.019740e+02,2.337662e-03,7.877188e-01,7.889061e-01,-5.301997e-03,1.684111e-05,6.902797e+00,2.521717e-02,6.877580e+00,8.756225e+00,1.683812e+02
2.120727e+02,2.454545e-03,2.120727e+02,2.454545e-03,7.877773e-01,7.890664e-01,-5.098820e-03,2.410476e-05,7.094687e+00,2.521717e-02,7.069469e+00,8.999161e+00,1.683227e+02
2.221714e+02,2.571429e-03,2.221714e+02,2.571429e-03,7.879429e-01,7.892903e-01,-4.815144e-03,3.263248e-05,7.399310e+00,1.918584e-02,7.380125e+00,9.385505e+00,1.683000e+02
2.322701e+02,2.688312e-03,2.322701e+02,2.688312e-03,7.881766e-01,7.895867e-01,-4.439729e-03,4.204787e-05,7.773847e+00,2.423023e-02,7.749617e+00,9.856565e+00,1.682117e+02
2.423688e+02,2.805195e-03,2.423688e+02,2.805195e-03,7.887312e-01,7.899609e-01,-3.965886e-03,5.185813e-05,8.181944e+00,2.521717e-02,8.156727e+00,1.036680e+01,1.682000e+02
2.524675e+02,2.922078e-03,2.524675e+02,2.922078e-03,7.894104e-01,7.904141e-01,-3.392329e-03,6.152239e-05,8.525944e+00,2.521717e-02,8.500727e+00,1.079367e+01,1.682000e+02
2.625662e+02,3.038961e-03,2.625662e+02,3.038961e-03,7.899558e-01,7.909431e-01,-2.723294e-03,7.052100e-05,8.843302e+00,2.357226e-02,8.819730e+00,1.118841e+01,1.682000e+02
2.726649e+02,3.155844e-03,2.726649e+02,3.155844e-03,7.904234e-01,7.915407e-01,-1.967988e-03,7.841237e-05,9.047485e+00,1.863754e-02,9.028847e+00,1.144144e+01,1.682000e+02
2.827636e+02,3.272727e-03,2.827636e+02,3.272727e-03,7.914000e-01,7.921967e-01,-1.139567e-03,8.486973e-05,9.334326e+00,2.291430e-02,9.311412e+00,1.178866e+01,1.682727e+02
