Analysis by Brandon Lampe, performed on: 2017/07/20 09:30:42
Experimental results below begin at: 2016/08/31 10:46:42
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
8.640000e+02,1.000000e-02,0.000000e+00,0.000000e+00,8.103000e-01,8.215757e-01,1.381955e-02,2.370148e-06,2.000621e+01,1.005979e+01,9.946414e+00,2.233477e+01,1.680000e+02
8.740005e+02,1.011575e-02,1.000048e+01,1.157463e-04,8.103000e-01,8.215952e-01,1.384326e-02,2.369651e-06,2.000621e+01,1.007348e+01,9.932725e+00,2.233157e+01,1.679000e+02
8.840010e+02,1.023149e-02,2.000096e+01,2.314926e-04,8.103945e-01,8.216147e-01,1.386695e-02,2.368656e-06,2.000621e+01,1.008280e+01,9.923405e+00,2.232796e+01,1.678370e+02
8.940014e+02,1.034724e-02,3.000145e+01,3.472390e-04,8.106472e-01,8.216341e-01,1.389063e-02,2.367661e-06,2.000621e+01,1.009295e+01,9.913260e+00,2.232177e+01,1.677000e+02
9.040019e+02,1.046299e-02,4.000193e+01,4.629853e-04,8.107630e-01,8.216536e-01,1.391431e-02,2.366668e-06,2.000621e+01,1.009662e+01,9.909588e+00,2.231917e+01,1.677000e+02
9.140024e+02,1.057873e-02,5.000241e+01,5.787316e-04,8.108787e-01,8.216730e-01,1.393797e-02,2.365675e-06,2.000621e+01,1.010941e+01,9.896794e+00,2.231444e+01,1.675425e+02
9.240029e+02,1.069448e-02,6.000289e+01,6.944779e-04,8.110890e-01,8.216924e-01,1.396162e-02,2.364682e-06,2.000621e+01,1.011855e+01,9.887661e+00,2.230915e+01,1.675000e+02
9.340034e+02,1.081022e-02,7.000338e+01,8.102243e-04,8.113102e-01,8.217119e-01,1.398526e-02,2.363691e-06,2.000707e+01,1.012654e+01,9.880528e+00,2.230502e+01,1.673898e+02
9.440039e+02,1.092597e-02,8.000386e+01,9.259706e-04,8.114260e-01,8.217313e-01,1.400890e-02,2.362700e-06,2.001244e+01,1.013956e+01,9.872875e+00,2.230688e+01,1.672740e+02
9.540043e+02,1.104172e-02,9.000434e+01,1.041717e-03,8.115417e-01,8.217507e-01,1.403252e-02,2.361709e-06,2.000621e+01,1.014553e+01,9.860677e+00,2.229608e+01,1.671791e+02
