Analysis by Brandon Lampe, performed on: 2017/07/20 12:51:37
Experimental results below begin at: 2016/10/13 13:12:
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
9.512640e+05,1.101000e+01,0.000000e+00,0.000000e+00,9.128100e-01,9.129004e-01,9.905967e-05,3.262176e-10,2.993394e+01,1.971593e+01,1.021800e+01,3.090994e+01,1.714223e+02
9.512740e+05,1.101012e+01,1.000011e+01,1.157421e-04,9.128112e-01,9.129004e-01,9.906293e-05,3.262176e-10,2.993419e+01,1.971600e+01,1.021819e+01,3.091020e+01,1.714333e+02
9.512840e+05,1.101023e+01,2.000023e+01,2.314841e-04,9.128124e-01,9.129004e-01,9.906620e-05,3.262176e-10,2.993444e+01,1.971606e+01,1.021838e+01,3.091045e+01,1.714443e+02
9.512940e+05,1.101035e+01,3.000034e+01,3.472262e-04,9.128137e-01,9.129004e-01,9.906946e-05,3.262176e-10,2.993469e+01,1.971612e+01,1.021857e+01,3.091071e+01,1.714554e+02
9.513040e+05,1.101046e+01,4.000046e+01,4.629682e-04,9.128149e-01,9.129004e-01,9.907272e-05,3.262176e-10,2.993495e+01,1.971619e+01,1.021876e+01,3.091096e+01,1.714664e+02
9.513140e+05,1.101058e+01,5.000057e+01,5.787103e-04,9.128161e-01,9.129004e-01,9.907598e-05,3.262176e-10,2.993520e+01,1.971625e+01,1.021895e+01,3.091122e+01,1.714774e+02
9.513240e+05,1.101069e+01,6.000068e+01,6.944524e-04,9.128174e-01,9.129004e-01,9.907924e-05,3.262176e-10,2.993545e+01,1.971632e+01,1.021914e+01,3.091148e+01,1.714884e+02
9.513340e+05,1.101081e+01,7.000080e+01,8.101944e-04,9.128186e-01,9.129004e-01,9.908251e-05,3.262176e-10,2.993570e+01,1.971638e+01,1.021933e+01,3.091173e+01,1.714994e+02
9.513440e+05,1.101093e+01,8.000091e+01,9.259365e-04,9.128198e-01,9.129004e-01,9.908577e-05,3.262176e-10,2.993596e+01,1.971644e+01,1.021951e+01,3.091199e+01,1.715104e+02
9.513540e+05,1.101104e+01,9.000103e+01,1.041679e-03,9.128210e-01,9.129004e-01,9.908903e-05,3.262176e-10,2.993621e+01,1.971651e+01,1.021970e+01,3.091224e+01,1.715214e+02
9.513640e+05,1.101116e+01,1.000011e+02,1.157421e-03,9.128223e-01,9.129004e-01,9.909229e-05,3.262176e-10,2.993646e+01,1.971657e+01,1.021989e+01,3.091250e+01,1.715325e+02
9.513740e+05,1.101127e+01,1.100013e+02,1.273163e-03,9.128235e-01,9.129004e-01,9.909556e-05,3.262176e-10,2.993672e+01,1.971663e+01,1.022008e+01,3.091275e+01,1.715435e+02
9.513840e+05,1.101139e+01,1.200014e+02,1.388905e-03,9.128247e-01,9.129004e-01,9.909882e-05,3.262176e-10,2.993697e+01,1.971670e+01,1.022027e+01,3.091301e+01,1.715545e+02
9.513940e+05,1.101150e+01,1.300015e+02,1.504647e-03,9.128260e-01,9.129004e-01,9.910208e-05,3.262176e-10,2.993722e+01,1.971676e+01,1.022046e+01,3.091327e+01,1.715655e+02
9.514040e+05,1.101162e+01,1.400016e+02,1.620389e-03,9.128272e-01,9.129004e-01,9.910534e-05,3.262176e-10,2.993747e+01,1.971682e+01,1.022065e+01,3.091352e+01,1.715765e+02
9.514140e+05,1.101174e+01,1.500017e+02,1.736131e-03,9.128284e-01,9.129004e-01,9.910860e-05,3.262176e-10,2.993773e+01,1.971689e+01,1.022084e+01,3.091378e+01,1.715875e+02
9.514240e+05,1.101185e+01,1.600018e+02,1.851873e-03,9.128297e-01,9.129004e-01,9.911187e-05,3.262176e-10,2.993798e+01,1.971695e+01,1.022103e+01,3.091403e+01,1.715985e+02
9.514340e+05,1.101197e+01,1.700019e+02,1.967615e-03,9.128309e-01,9.129004e-01,9.911513e-05,3.262176e-10,2.993823e+01,1.971701e+01,1.022122e+01,3.091429e+01,1.716095e+02
9.514440e+05,1.101208e+01,1.800021e+02,2.083357e-03,9.128321e-01,9.129004e-01,9.911839e-05,3.262176e-10,2.993848e+01,1.971708e+01,1.022141e+01,3.091454e+01,1.716206e+02
9.514540e+05,1.101220e+01,1.900022e+02,2.199099e-03,9.128334e-01,9.129004e-01,9.912165e-05,3.262176e-10,2.993874e+01,1.971714e+01,1.022160e+01,3.091480e+01,1.716316e+02
9.514640e+05,1.101231e+01,2.000023e+02,2.314841e-03,9.128346e-01,9.129005e-01,9.912492e-05,3.262176e-10,2.993899e+01,1.971720e+01,1.022178e+01,3.091505e+01,1.716426e+02
9.514740e+05,1.101243e+01,2.100024e+02,2.430583e-03,9.128358e-01,9.129005e-01,9.912818e-05,3.262176e-10,2.993924e+01,1.971727e+01,1.022197e+01,3.091531e+01,1.716536e+02
9.514840e+05,1.101255e+01,2.200025e+02,2.546325e-03,9.128371e-01,9.129005e-01,9.913144e-05,3.262175e-10,2.993950e+01,1.971733e+01,1.022216e+01,3.091557e+01,1.716646e+02
9.514940e+05,1.101266e+01,2.300026e+02,2.662067e-03,9.128383e-01,9.129005e-01,9.913470e-05,3.262175e-10,2.993975e+01,1.971740e+01,1.022235e+01,3.091582e+01,1.716756e+02
9.515040e+05,1.101278e+01,2.400027e+02,2.777809e-03,9.128395e-01,9.129005e-01,9.913796e-05,3.262176e-10,2.994000e+01,1.971746e+01,1.022254e+01,3.091608e+01,1.716866e+02
9.515140e+05,1.101289e+01,2.500029e+02,2.893552e-03,9.128408e-01,9.129005e-01,9.914123e-05,3.262176e-10,2.994025e+01,1.971752e+01,1.022273e+01,3.091633e+01,1.716977e+02
9.515240e+05,1.101301e+01,2.600030e+02,3.009294e-03,9.128420e-01,9.129005e-01,9.914449e-05,3.262175e-10,2.994051e+01,1.971759e+01,1.022292e+01,3.091659e+01,1.717087e+02
9.515340e+05,1.101313e+01,2.700031e+02,3.125036e-03,9.128432e-01,9.129005e-01,9.914775e-05,3.262175e-10,2.994076e+01,1.971765e+01,1.022311e+01,3.091684e+01,1.717197e+02
9.515440e+05,1.101324e+01,2.800032e+02,3.240778e-03,9.128444e-01,9.129005e-01,9.915101e-05,3.262175e-10,2.994101e+01,1.971771e+01,1.022330e+01,3.091710e+01,1.717307e+02
9.515540e+05,1.101336e+01,2.900033e+02,3.356520e-03,9.128457e-01,9.129005e-01,9.915428e-05,3.262176e-10,2.994126e+01,1.971778e+01,1.022349e+01,3.091736e+01,1.717417e+02
9.515640e+05,1.101347e+01,3.000034e+02,3.472262e-03,9.128469e-01,9.129005e-01,9.915754e-05,3.262175e-10,2.994152e+01,1.971784e+01,1.022368e+01,3.091761e+01,1.717527e+02
9.515740e+05,1.101359e+01,3.100035e+02,3.588004e-03,9.128481e-01,9.129005e-01,9.916080e-05,3.262175e-10,2.994177e+01,1.971790e+01,1.022387e+01,3.091787e+01,1.717637e+02
9.515840e+05,1.101370e+01,3.200036e+02,3.703746e-03,9.128494e-01,9.129005e-01,9.916406e-05,3.262175e-10,2.994202e+01,1.971797e+01,1.022406e+01,3.091812e+01,1.717748e+02
9.515940e+05,1.101382e+01,3.300038e+02,3.819488e-03,9.128506e-01,9.129005e-01,9.916732e-05,3.262175e-10,2.994228e+01,1.971803e+01,1.022424e+01,3.091838e+01,1.717858e+02
9.516040e+05,1.101394e+01,3.400039e+02,3.935230e-03,9.128518e-01,9.129005e-01,9.917059e-05,3.262175e-10,2.994253e+01,1.971809e+01,1.022443e+01,3.091863e+01,1.717968e+02
9.516140e+05,1.101405e+01,3.500040e+02,4.050972e-03,9.128531e-01,9.129005e-01,9.917385e-05,3.262175e-10,2.994278e+01,1.971816e+01,1.022462e+01,3.091889e+01,1.718078e+02
9.516240e+05,1.101417e+01,3.600041e+02,4.166714e-03,9.128543e-01,9.129005e-01,9.917711e-05,3.262175e-10,2.994303e+01,1.971822e+01,1.022481e+01,3.091915e+01,1.718188e+02
9.516340e+05,1.101428e+01,3.700042e+02,4.282456e-03,9.128555e-01,9.129005e-01,9.918037e-05,3.262175e-10,2.994329e+01,1.971828e+01,1.022500e+01,3.091940e+01,1.718298e+02
9.516440e+05,1.101440e+01,3.800043e+02,4.398198e-03,9.128568e-01,9.129005e-01,9.918364e-05,3.262175e-10,2.994354e+01,1.971835e+01,1.022519e+01,3.091966e+01,1.718408e+02
9.516540e+05,1.101451e+01,3.900044e+02,4.513940e-03,9.128580e-01,9.129005e-01,9.918690e-05,3.262175e-10,2.994379e+01,1.971841e+01,1.022538e+01,3.091991e+01,1.718518e+02
9.516640e+05,1.101463e+01,4.000046e+02,4.629682e-03,9.128592e-01,9.129005e-01,9.919016e-05,3.262175e-10,2.994404e+01,1.971848e+01,1.022557e+01,3.092017e+01,1.718629e+02
9.516740e+05,1.101475e+01,4.100047e+02,4.745424e-03,9.128605e-01,9.129005e-01,9.919342e-05,3.262175e-10,2.994430e+01,1.971854e+01,1.022576e+01,3.092042e+01,1.718739e+02
9.516840e+05,1.101486e+01,4.200048e+02,4.861167e-03,9.128617e-01,9.129005e-01,9.919668e-05,3.262175e-10,2.994455e+01,1.971860e+01,1.022595e+01,3.092068e+01,1.718849e+02
9.516940e+05,1.101498e+01,4.300049e+02,4.976909e-03,9.128629e-01,9.129005e-01,9.919995e-05,3.262175e-10,2.994480e+01,1.971867e+01,1.022614e+01,3.092094e+01,1.718959e+02
9.517040e+05,1.101509e+01,4.400050e+02,5.092651e-03,9.128634e-01,9.129005e-01,9.920321e-05,3.262175e-10,2.994474e+01,1.971873e+01,1.022601e+01,3.092085e+01,1.718925e+02
9.517140e+05,1.101521e+01,4.500051e+02,5.208393e-03,9.128633e-01,9.129005e-01,9.920647e-05,3.262175e-10,2.994449e+01,1.971879e+01,1.022569e+01,3.092057e+01,1.718805e+02
9.517240e+05,1.101532e+01,4.600052e+02,5.324135e-03,9.128633e-01,9.129005e-01,9.920973e-05,3.262175e-10,2.994423e+01,1.971886e+01,1.022538e+01,3.092029e+01,1.718685e+02
9.517340e+05,1.101544e+01,4.700054e+02,5.439877e-03,9.128633e-01,9.129005e-01,9.921300e-05,3.262175e-10,2.994398e+01,1.971892e+01,1.022506e+01,3.092001e+01,1.718565e+02
9.517440e+05,1.101556e+01,4.800055e+02,5.555619e-03,9.128632e-01,9.129005e-01,9.921626e-05,3.262175e-10,2.994373e+01,1.971898e+01,1.022475e+01,3.091973e+01,1.718445e+02
9.517540e+05,1.101567e+01,4.900056e+02,5.671361e-03,9.128632e-01,9.129005e-01,9.921952e-05,3.262175e-10,2.994348e+01,1.971905e+01,1.022443e+01,3.091944e+01,1.718325e+02
9.517640e+05,1.101579e+01,5.000057e+02,5.787103e-03,9.128631e-01,9.129005e-01,9.922278e-05,3.262175e-10,2.994322e+01,1.971911e+01,1.022411e+01,3.091916e+01,1.718205e+02
9.517740e+05,1.101590e+01,5.100058e+02,5.902845e-03,9.128631e-01,9.129005e-01,9.922604e-05,3.262175e-10,2.994297e+01,1.971917e+01,1.022380e+01,3.091888e+01,1.718085e+02
9.517840e+05,1.101602e+01,5.200059e+02,6.018587e-03,9.128631e-01,9.129005e-01,9.922931e-05,3.262175e-10,2.994272e+01,1.971924e+01,1.022348e+01,3.091860e+01,1.717965e+02
