Analysis by Brandon Lampe, performed on: 2016/11/04 11:27:42
Experimental results below begin at: 2016/10/15 14:24:
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
1.128384e+06,1.306000e+01,0.000000e+00,0.000000e+00,9.268002e-01,9.269310e-01,1.411717e-04,2.819041e-09,2.990196e+01,4.108297e-03,2.989785e+01,3.226333e+01,1.712000e+02
1.128484e+06,1.306116e+01,1.000976e+02,1.158537e-03,9.266472e-01,9.269313e-01,1.414538e-04,2.819040e-09,2.990703e+01,2.297485e-03,2.990474e+01,3.227427e+01,1.715714e+02
1.128584e+06,1.306232e+01,2.001951e+02,2.317073e-03,9.266506e-01,9.269315e-01,1.417360e-04,2.819039e-09,2.990069e+01,4.108297e-03,2.989658e+01,3.226716e+01,1.714000e+02
1.128684e+06,1.306348e+01,3.002927e+02,3.475610e-03,9.271769e-01,9.269318e-01,1.420182e-04,2.819039e-09,2.989228e+01,-2.222524e-03,2.989450e+01,3.224027e+01,1.707341e+02
1.128784e+06,1.306463e+01,4.003902e+02,4.634146e-03,9.268531e-01,9.269321e-01,1.423004e-04,2.819038e-09,2.991184e+01,-2.222524e-03,2.991406e+01,3.227264e+01,1.703000e+02
1.128884e+06,1.306579e+01,5.004878e+02,5.792683e-03,9.267684e-01,9.269323e-01,1.425826e-04,2.819037e-09,2.992751e+01,-2.222524e-03,2.992973e+01,3.229250e+01,1.707000e+02
1.128985e+06,1.306695e+01,6.005854e+02,6.951220e-03,9.269727e-01,9.269326e-01,1.428647e-04,2.819036e-09,2.989228e+01,-2.222524e-03,2.989450e+01,3.224738e+01,1.707000e+02
1.129085e+06,1.306811e+01,7.006829e+02,8.109756e-03,9.267769e-01,9.269328e-01,1.431469e-04,2.819035e-09,2.992593e+01,-2.222524e-03,2.992815e+01,3.229051e+01,1.711000e+02
1.129185e+06,1.306927e+01,8.007805e+02,9.268293e-03,9.267329e-01,9.269331e-01,1.434291e-04,2.819035e-09,2.991331e+01,2.858977e-03,2.991045e+01,3.227802e+01,1.711000e+02
1.129285e+06,1.307043e+01,9.008780e+02,1.042683e-02,9.270995e-01,9.269334e-01,1.437113e-04,2.819034e-09,2.990180e+01,-2.222524e-03,2.990402e+01,3.225324e+01,1.712698e+02
