Analysis by Brandon Lampe, performed on: 2016/07/15 09:57:09
Experimental results below begin at: 2015/07/09 09:38:5
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
4.102272e+05,4.748000e+00,0.000000e+00,0.000000e+00,9.230299e-01,9.257345e-01,2.925859e-03,-9.042756e-05,1.997870e+01,0.000000e+00,1.997870e+01,2.164470e+01,8.660000e+01
4.102376e+05,4.748120e+00,1.036800e+01,1.200000e-04,9.222905e-01,9.248670e-01,1.988306e-03,-1.987779e-04,1.982060e+01,0.000000e+00,1.982060e+01,2.149062e+01,8.660000e+01
4.102479e+05,4.748240e+00,2.073600e+01,2.400000e-04,9.197021e-01,9.219266e-01,-1.195999e-03,-3.730654e-04,1.928471e+01,0.000000e+00,1.928471e+01,2.096843e+01,8.653333e+01
4.102583e+05,4.748360e+00,3.110400e+01,3.600000e-04,9.165535e-01,9.177400e-01,-5.747578e-03,-3.976339e-04,1.852169e+01,0.000000e+00,1.852169e+01,2.020797e+01,8.635455e+01
4.102687e+05,4.748480e+00,4.147200e+01,4.800000e-04,9.136304e-01,9.143563e-01,-9.441336e-03,-3.721986e-04,1.790501e+01,0.000000e+00,1.790501e+01,1.959766e+01,8.623077e+01
4.102790e+05,4.748600e+00,5.184000e+01,6.000000e-04,9.101135e-01,9.106842e-01,-1.346549e-02,-3.899640e-04,1.723577e+01,0.000000e+00,1.723577e+01,1.893804e+01,8.605455e+01
4.102894e+05,4.748720e+00,6.220800e+01,7.200000e-04,9.067491e-01,9.069924e-01,-1.752763e-02,-4.122209e-04,1.656293e+01,0.000000e+00,1.656293e+01,1.826628e+01,8.600000e+01
4.102998e+05,4.748840e+00,7.257600e+01,8.400000e-04,9.030676e-01,9.029330e-01,-2.201330e-02,-4.131697e-04,1.582311e+01,0.000000e+00,1.582311e+01,1.752151e+01,8.591000e+01
4.103101e+05,4.748960e+00,8.294400e+01,9.600000e-04,8.997287e-01,8.992549e-01,-2.609511e-02,-4.075292e-04,1.515278e+01,0.000000e+00,1.515278e+01,1.684149e+01,8.571667e+01
4.103205e+05,4.749080e+00,9.331200e+01,1.080000e-03,8.964564e-01,8.953349e-01,-3.046383e-02,-4.262594e-04,1.443835e+01,0.000000e+00,1.443835e+01,1.610603e+01,8.551667e+01
4.103309e+05,4.749200e+00,1.036800e+02,1.200000e-03,8.926486e-01,8.913415e-01,-3.493403e-02,-3.954116e-04,1.371055e+01,0.000000e+00,1.371055e+01,1.535941e+01,8.540000e+01
4.103412e+05,4.749320e+00,1.140480e+02,1.320000e-03,8.895703e-01,8.880238e-01,-3.866308e-02,-3.738393e-04,1.310590e+01,0.000000e+00,1.310590e+01,1.473285e+01,8.540000e+01
4.103516e+05,4.749440e+00,1.244160e+02,1.440000e-03,8.862587e-01,8.844586e-01,-4.268596e-02,-4.160921e-04,1.245614e+01,0.000000e+00,1.245614e+01,1.405474e+01,8.530000e+01
4.103620e+05,4.749560e+00,1.347840e+02,1.560000e-03,8.829004e-01,8.803948e-01,-4.729117e-02,-4.232378e-04,1.171552e+01,0.000000e+00,1.171552e+01,1.326935e+01,8.530000e+01
4.103724e+05,4.749680e+00,1.451520e+02,1.680000e-03,8.793994e-01,8.767303e-01,-5.146222e-02,-4.320282e-04,1.104766e+01,0.000000e+00,1.104766e+01,1.256273e+01,8.520000e+01
4.103827e+05,4.749800e+00,1.555200e+02,1.800000e-03,8.751622e-01,8.725430e-01,-5.624970e-02,-4.344674e-04,1.028452e+01,0.000000e+00,1.028452e+01,1.175156e+01,8.498333e+01
4.103931e+05,4.749920e+00,1.658880e+02,1.920000e-03,8.711562e-01,8.688672e-01,-6.047134e-02,-4.174462e-04,9.614602e+00,0.000000e+00,9.614602e+00,1.103660e+01,8.486364e+01
4.104035e+05,4.750040e+00,1.762560e+02,2.040000e-03,8.672330e-01,8.650227e-01,-6.490587e-02,-4.171287e-04,8.913942e+00,0.000000e+00,8.913942e+00,1.027860e+01,8.467692e+01
4.104138e+05,4.750160e+00,1.866240e+02,2.160000e-03,8.636216e-01,8.613843e-01,-6.912092e-02,-4.024056e-04,8.250834e+00,0.000000e+00,8.250834e+00,9.553760e+00,8.456364e+01
4.104242e+05,4.750280e+00,1.969920e+02,2.280000e-03,8.595299e-01,8.578348e-01,-7.325015e-02,-3.974578e-04,7.603931e+00,0.000000e+00,7.603931e+00,8.846616e+00,8.440000e+01
4.104346e+05,4.750400e+00,2.073600e+02,2.400000e-03,8.551700e-01,8.543142e-01,-7.736260e-02,-4.037321e-04,6.962307e+00,0.000000e+00,6.962307e+00,8.141430e+00,8.437500e+01
4.104449e+05,4.750520e+00,2.177280e+02,2.520000e-03,8.508130e-01,8.506831e-01,-8.162194e-02,-4.257620e-04,6.300542e+00,0.000000e+00,6.300542e+00,7.405319e+00,8.430000e+01
4.104553e+05,4.750640e+00,2.280960e+02,2.640000e-03,8.458615e-01,8.468050e-01,-8.619120e-02,-4.479507e-04,5.593750e+00,0.000000e+00,5.593750e+00,6.613081e+00,8.430000e+01
4.104657e+05,4.750760e+00,2.384640e+02,2.760000e-03,8.405993e-01,8.428180e-01,-9.091065e-02,-4.377094e-04,4.867112e+00,0.000000e+00,4.867112e+00,5.790049e+00,8.430000e+01
4.104760e+05,4.750880e+00,2.488320e+02,2.880000e-03,8.353589e-01,8.391539e-01,-9.526755e-02,-4.087535e-04,4.199330e+00,0.000000e+00,4.199330e+00,5.026977e+00,8.425385e+01
4.104864e+05,4.751000e+00,2.592000e+02,3.000000e-03,8.292991e-01,8.357045e-01,-9.938656e-02,-3.972814e-04,3.570679e+00,0.000000e+00,3.570679e+00,4.305659e+00,8.420000e+01
