Analysis by Brandon Lampe, performed on: 2016/09/08 08:28:04
Experimental results below begin at: 2015/08/06 15:59:17
Duration (sec),Duration (day),Elapsed Time (sec),Elapsed Time (day),Interpolated Fractional Density,Fit to Fractional Density,Fit to Volume Strain,Fit to Volume Strain Rate (1/sec),Confining Pressure (MPa),Pore Pressure (MPa),Terzaghi Pressure (MPa),Solid Pressure (MPa),Temperature (C))
2.419200e+03,2.800000e-02,0.000000e+00,0.000000e+00,9.056340e-01,9.075167e-01,2.076761e-03,1.072046e-05,3.826589e+01,0.000000e+00,3.826589e+01,4.225315e+01,8.520000e+01
2.429200e+03,2.811574e-02,1.000036e+01,1.157449e-04,9.058224e-01,9.076140e-01,2.183970e-03,1.063761e-05,3.825115e+01,0.000000e+00,3.825115e+01,4.222810e+01,8.514023e+01
2.439201e+03,2.823149e-02,2.000072e+01,2.314898e-04,9.060082e-01,9.077098e-01,2.289521e-03,1.047444e-05,3.821841e+01,0.000000e+00,3.821841e+01,4.218330e+01,8.504043e+01
2.449201e+03,2.834723e-02,3.000108e+01,3.472347e-04,9.061678e-01,9.078042e-01,2.393466e-03,1.031620e-05,3.821841e+01,0.000000e+00,3.821841e+01,4.217587e+01,8.500000e+01
2.459201e+03,2.846298e-02,4.000143e+01,4.629796e-04,9.063449e-01,9.078971e-01,2.495853e-03,1.016266e-05,3.821841e+01,0.000000e+00,3.821841e+01,4.216763e+01,8.506082e+01
2.469202e+03,2.857872e-02,5.000179e+01,5.787244e-04,9.065129e-01,9.079887e-01,2.596727e-03,1.001362e-05,3.821841e+01,0.000000e+00,3.821841e+01,4.215981e+01,8.516248e+01
2.479202e+03,2.869447e-02,6.000215e+01,6.944693e-04,9.066905e-01,9.080790e-01,2.696132e-03,9.868888e-06,3.826892e+01,0.000000e+00,3.826892e+01,4.220725e+01,8.507588e+01
2.489203e+03,2.881021e-02,7.000251e+01,8.102142e-04,9.067924e-01,9.081679e-01,2.794112e-03,9.728274e-06,3.825218e+01,0.000000e+00,3.825218e+01,4.218405e+01,8.494149e+01
2.499203e+03,2.892596e-02,8.000287e+01,9.259591e-04,9.069707e-01,9.082557e-01,2.890705e-03,9.591609e-06,3.822226e+01,0.000000e+00,3.822226e+01,4.214277e+01,8.490000e+01
2.509203e+03,2.904170e-02,9.000323e+01,1.041704e-03,9.071634e-01,9.083422e-01,2.985951e-03,9.458726e-06,3.820950e+01,0.000000e+00,3.820950e+01,4.211975e+01,8.484025e+01
2.519204e+03,2.915745e-02,1.000036e+02,1.157449e-03,9.073507e-01,9.084275e-01,3.079886e-03,9.329472e-06,3.821097e+01,0.000000e+00,3.821097e+01,4.211268e+01,8.480000e+01
2.529204e+03,2.927319e-02,1.100039e+02,1.273194e-03,9.075341e-01,9.085117e-01,3.172547e-03,9.203699e-06,3.821841e+01,0.000000e+00,3.821841e+01,4.211237e+01,8.480000e+01
2.539204e+03,2.938894e-02,1.200043e+02,1.388939e-03,9.075987e-01,9.085948e-01,3.263967e-03,9.081270e-06,3.826942e+01,0.000000e+00,3.826942e+01,4.216557e+01,8.480000e+01
2.549205e+03,2.950468e-02,1.300047e+02,1.504684e-03,9.076622e-01,9.086767e-01,3.354179e-03,8.962052e-06,3.829979e+01,0.000000e+00,3.829979e+01,4.219609e+01,8.474255e+01
2.559205e+03,2.962043e-02,1.400050e+02,1.620428e-03,9.077828e-01,9.087576e-01,3.443214e-03,8.845920e-06,3.825861e+01,0.000000e+00,3.825861e+01,4.214511e+01,8.470000e+01
2.569205e+03,2.973617e-02,1.500054e+02,1.736173e-03,9.079500e-01,9.088375e-01,3.531103e-03,8.732757e-06,3.822869e+01,0.000000e+00,3.822869e+01,4.210440e+01,8.470000e+01
2.579206e+03,2.985192e-02,1.600057e+02,1.851918e-03,9.080806e-01,9.089164e-01,3.617875e-03,8.622450e-06,3.822355e+01,0.000000e+00,3.822355e+01,4.209269e+01,8.464007e+01
2.589206e+03,2.996766e-02,1.700061e+02,1.967663e-03,9.082096e-01,9.089943e-01,3.703559e-03,8.514892e-06,3.822236e+01,0.000000e+00,3.822236e+01,4.208540e+01,8.466151e+01
2.599206e+03,3.008341e-02,1.800065e+02,2.083408e-03,9.083058e-01,9.090712e-01,3.788179e-03,8.409982e-06,3.827853e+01,0.000000e+00,3.827853e+01,4.214278e+01,8.463883e+01
2.609207e+03,3.019915e-02,1.900068e+02,2.199153e-03,9.083526e-01,9.091472e-01,3.871764e-03,8.307623e-06,3.826146e+01,0.000000e+00,3.826146e+01,4.212182e+01,8.460000e+01
2.619207e+03,3.031490e-02,2.000072e+02,2.314898e-03,9.084610e-01,9.092222e-01,3.954338e-03,8.207722e-06,3.822755e+01,0.000000e+00,3.822755e+01,4.207946e+01,8.460000e+01
2.629208e+03,3.043064e-02,2.100075e+02,2.430643e-03,9.085821e-01,9.092964e-01,4.035925e-03,8.110194e-06,3.822483e+01,0.000000e+00,3.822483e+01,4.207086e+01,8.454946e+01
2.639208e+03,3.054639e-02,2.200079e+02,2.546388e-03,9.087193e-01,9.093697e-01,4.116548e-03,8.014954e-06,3.826710e+01,0.000000e+00,3.826710e+01,4.211102e+01,8.450000e+01
2.649208e+03,3.066213e-02,2.300082e+02,2.662132e-03,9.088678e-01,9.094422e-01,4.196229e-03,7.921922e-06,3.825859e+01,0.000000e+00,3.825859e+01,4.209478e+01,8.450000e+01
2.659209e+03,3.077788e-02,2.400086e+02,2.777877e-03,9.090035e-01,9.095138e-01,4.274992e-03,7.831022e-06,3.822728e+01,0.000000e+00,3.822728e+01,4.205405e+01,8.456171e+01
2.669209e+03,3.089362e-02,2.500090e+02,2.893622e-03,9.091434e-01,9.095847e-01,4.352855e-03,7.742183e-06,3.822876e+01,0.000000e+00,3.822876e+01,4.204921e+01,8.460000e+01
2.679209e+03,3.100937e-02,2.600093e+02,3.009367e-03,9.092132e-01,9.096547e-01,4.429841e-03,7.655335e-06,3.823529e+01,0.000000e+00,3.823529e+01,4.205316e+01,8.453694e+01
2.689210e+03,3.112511e-02,2.700097e+02,3.125112e-03,9.092770e-01,9.097239e-01,4.505968e-03,7.570411e-06,3.822561e+01,0.000000e+00,3.822561e+01,4.203956e+01,8.443741e+01
2.699210e+03,3.124086e-02,2.800100e+02,3.240857e-03,9.093648e-01,9.097924e-01,4.581254e-03,7.487349e-06,3.826627e+01,0.000000e+00,3.826627e+01,4.208021e+01,8.440000e+01
2.709210e+03,3.135660e-02,2.900104e+02,3.356602e-03,9.094481e-01,9.098602e-01,4.655720e-03,7.406087e-06,3.826378e+01,0.000000e+00,3.826378e+01,4.207362e+01,8.440000e+01
2.719211e+03,3.147235e-02,3.000108e+02,3.472347e-03,9.095377e-01,9.099272e-01,4.729382e-03,7.326568e-06,3.823124e+01,0.000000e+00,3.823124e+01,4.203371e+01,8.452058e+01
2.729211e+03,3.158809e-02,3.100111e+02,3.588092e-03,9.096397e-01,9.099935e-01,4.802257e-03,7.248737e-06,3.823521e+01,0.000000e+00,3.823521e+01,4.203336e+01,8.447620e+01
2.739211e+03,3.170384e-02,3.200115e+02,3.703836e-03,9.097189e-01,9.100591e-01,4.874361e-03,7.172540e-06,3.827058e+01,0.000000e+00,3.827058e+01,4.206858e+01,8.452306e+01
2.749212e+03,3.181958e-02,3.300118e+02,3.819581e-03,9.098431e-01,9.101241e-01,4.945712e-03,7.097926e-06,3.827900e+01,0.000000e+00,3.827900e+01,4.207209e+01,8.447349e+01
2.759212e+03,3.193533e-02,3.400122e+02,3.935326e-03,9.099635e-01,9.101883e-01,5.016325e-03,7.024847e-06,3.824236e+01,0.000000e+00,3.824236e+01,4.202626e+01,8.440000e+01
2.769213e+03,3.205107e-02,3.500125e+02,4.051071e-03,9.100374e-01,9.102519e-01,5.086214e-03,6.953256e-06,3.822132e+01,0.000000e+00,3.822132e+01,4.199972e+01,8.440000e+01
2.779213e+03,3.216682e-02,3.600129e+02,4.166816e-03,9.101197e-01,9.103149e-01,5.155395e-03,6.883107e-06,3.822173e+01,0.000000e+00,3.822173e+01,4.199637e+01,8.440000e+01
2.789213e+03,3.228256e-02,3.700133e+02,4.282561e-03,9.101873e-01,9.103773e-01,5.223882e-03,6.814357e-06,3.822483e+01,0.000000e+00,3.822483e+01,4.199666e+01,8.440000e+01
2.799214e+03,3.239831e-02,3.800136e+02,4.398306e-03,9.102223e-01,9.104390e-01,5.291687e-03,6.746966e-06,3.822084e+01,0.000000e+00,3.822084e+01,4.199067e+01,8.440000e+01
2.809214e+03,3.251405e-02,3.900140e+02,4.514051e-03,9.102969e-01,9.105001e-01,5.358826e-03,6.680893e-06,3.822237e+01,0.000000e+00,3.822237e+01,4.198891e+01,8.440000e+01
2.819214e+03,3.262980e-02,4.000143e+02,4.629796e-03,9.104556e-01,9.105607e-01,5.425310e-03,6.616099e-06,3.822890e+01,0.000000e+00,3.822890e+01,4.198875e+01,8.440000e+01
2.829215e+03,3.274554e-02,4.100147e+02,4.745540e-03,9.105460e-01,9.106206e-01,5.491152e-03,6.552549e-06,3.822720e+01,0.000000e+00,3.822720e+01,4.198273e+01,8.440000e+01
2.839215e+03,3.286129e-02,4.200151e+02,4.861285e-03,9.106133e-01,9.106800e-01,5.556366e-03,6.490206e-06,3.826945e+01,0.000000e+00,3.826945e+01,4.202602e+01,8.434517e+01
2.849215e+03,3.297703e-02,4.300154e+02,4.977030e-03,9.107109e-01,9.107388e-01,5.620961e-03,6.429037e-06,3.826402e+01,0.000000e+00,3.826402e+01,4.201555e+01,8.435185e+01
2.859216e+03,3.309278e-02,4.400158e+02,5.092775e-03,9.108119e-01,9.107971e-01,5.684951e-03,6.369008e-06,3.822483e+01,0.000000e+00,3.822483e+01,4.196786e+01,8.440000e+01
2.869216e+03,3.320852e-02,4.500161e+02,5.208520e-03,9.108204e-01,9.108549e-01,5.748346e-03,6.310089e-06,3.822858e+01,0.000000e+00,3.822858e+01,4.197159e+01,8.434148e+01
2.879216e+03,3.332426e-02,4.600165e+02,5.324265e-03,9.108548e-01,9.109121e-01,5.811157e-03,6.252248e-06,3.822727e+01,0.000000e+00,3.822727e+01,4.196857e+01,8.430000e+01
2.889217e+03,3.344001e-02,4.700168e+02,5.440010e-03,9.109321e-01,9.109688e-01,5.873395e-03,6.195456e-06,3.823734e+01,0.000000e+00,3.823734e+01,4.197606e+01,8.430000e+01
2.899217e+03,3.355575e-02,4.800172e+02,5.555755e-03,9.110134e-01,9.110249e-01,5.935071e-03,6.139686e-06,3.828977e+01,0.000000e+00,3.828977e+01,4.202987e+01,8.430000e+01
2.909218e+03,3.367150e-02,4.900176e+02,5.671500e-03,9.111229e-01,9.110806e-01,5.996193e-03,6.084909e-06,3.826722e+01,0.000000e+00,3.826722e+01,4.200006e+01,8.430000e+01
2.919218e+03,3.378724e-02,5.000179e+02,5.787244e-03,9.111829e-01,9.111358e-01,6.056773e-03,6.031099e-06,3.822149e+01,0.000000e+00,3.822149e+01,4.194711e+01,8.430000e+01
2.929218e+03,3.390299e-02,5.100183e+02,5.902989e-03,9.111828e-01,9.111905e-01,6.116820e-03,5.978231e-06,3.822178e+01,0.000000e+00,3.822178e+01,4.194744e+01,8.430000e+01
2.939219e+03,3.401873e-02,5.200186e+02,6.018734e-03,9.112650e-01,9.112448e-01,6.176342e-03,5.926281e-06,3.822483e+01,0.000000e+00,3.822483e+01,4.194699e+01,8.425105e+01
2.949219e+03,3.413448e-02,5.300190e+02,6.134479e-03,9.113872e-01,9.112986e-01,6.235350e-03,5.875224e-06,3.822832e+01,0.000000e+00,3.822832e+01,4.194520e+01,8.420000e+01
2.959219e+03,3.425022e-02,5.400194e+02,6.250224e-03,9.114372e-01,9.113519e-01,6.293851e-03,5.825039e-06,3.823124e+01,0.000000e+00,3.823124e+01,4.194611e+01,8.425852e+01
2.969220e+03,3.436597e-02,5.500197e+02,6.365969e-03,9.115583e-01,9.114047e-01,6.351855e-03,5.775702e-06,3.822739e+01,0.000000e+00,3.822739e+01,4.193631e+01,8.424003e+01
2.979220e+03,3.448171e-02,5.600201e+02,6.481714e-03,9.116500e-01,9.114572e-01,6.409369e-03,5.727193e-06,3.826448e+01,0.000000e+00,3.826448e+01,4.197277e+01,8.420000e+01
2.989220e+03,3.459746e-02,5.700204e+02,6.597459e-03,9.117076e-01,9.115091e-01,6.466403e-03,5.679490e-06,3.825388e+01,0.000000e+00,3.825388e+01,4.195849e+01,8.414378e+01
2.999221e+03,3.471320e-02,5.800208e+02,6.713204e-03,9.117416e-01,9.115607e-01,6.522963e-03,5.632574e-06,3.823158e+01,0.000000e+00,3.823158e+01,4.193248e+01,8.415267e+01
3.009221e+03,3.482895e-02,5.900211e+02,6.828948e-03,9.117413e-01,9.116118e-01,6.579058e-03,5.586426e-06,3.823766e+01,0.000000e+00,3.823766e+01,4.193915e+01,8.410175e+01
